postDates,tweets,sentiment_label,polarity_score
2022-12-29T21:42:57.000Z,Baasssstaaaa ya de panettone Algoritmo de Instagram deja de acosarmeeee y ahora Tía Laura x Enserio,pos,0.25
2022-12-05T23:49:11.000Z,Por culpa del algoritmo de tiktok ahora me gusta MORAT No puedo dejar de escuchar ,neg,-0.09399999999999997
2022-12-01T11:18:25.000Z,Quite mi Spoty del negocio porque me alteraban mi algoritmo Las playlist son sagradas pueden afectar el orden del universo,pos,0.367
2022-12-01T11:06:00.000Z,Viene el aguinaldo y aparecen estos tweets Lo que es el Algoritmo,pos,0.25
2022-11-30T18:51:10.000Z,Conecte mi Spotify a Alexa en casa Se fundió el algoritmo hasta Cristhian Castro en mi wrapped ,pos,0.25
2022-11-17T14:07:41.000Z,Pfffff pero que pelotudez no es fragilidad es un problema de manía y ya a mi me gusta Bronco pero no lo pongás desde mi playlist porque me cagas el algoritmo Dejen de etiquetar situaciones al pedo ,neg,-0.9060000000000001
2022-11-15T15:33:14.000Z,Algún algoritmo me escuchó decir pistacho #martes,pos,0.5
2022-11-11T02:09:19.000Z,Dios mio el twitter no tiene mada de filtro y te salta cada cosa Ni lógica tiene su algoritmo El porno te salta sin qué ni para qué ,pos,0.542
2022-11-07T20:00:38.000Z,El algoritmo de tu ano lo que te farreamos llorón,neg,-0.25
2022-11-05T15:12:18.000Z,El algoritmo de Deezer Jesúsuna canción que no escuchas habitualmente y terminas escuchando toda la discografia de Damas Gratis ,pos,0.25
2022-11-03T16:32:46.000Z,Que le gusta la foto que le gusta el video que le gusta la historia Y algunas veces puede ser una forma de coqueteo solo algunas veces Por lo general likeo varias historias antes de subir algo por el tema del algoritmo,pos,2.135
2022-11-03T00:07:15.000Z,El cf de tw me recomienda gente que no aguanto y eso pésimo algoritmo,pos,0.625
2022-10-26T09:08:20.000Z,No estoy segura como el algoritmo de mi tiktok sabe que me estoy yendo al gimnasio pero ahora el de mi contenido es de chicas haciendo rutinas de brazos Not complaining tho,pos,0.625
2022-10-17T20:22:41.000Z,Acabo de tomarme uno y me aparece este tuit Que brujería es esta del algoritmo de Twitter ,neu,0.0
2022-10-04T02:59:41.000Z,Che hay veces que estoy leyendo un tuit extenso y de onda se actualiza o qué sé yo la página y el tuit desaparece y hule ya no leo nada Gestioname la solución de ese problema en tu algoritmo por favor Gracias ,pos,0.413
2022-08-24T17:16:52.000Z,El que está tranqui tranqui hoy es el algoritmo de Twitter ,pos,0.25
2022-08-19T22:27:26.000Z,Alguien sabe porqué de repente desaparece de IG Es algún contra algoritmo o algo así ni col el buscador no aparece,pos,0.469
2022-08-16T22:50:58.000Z,Todo lo que los confronte les irrita Hablan de tolerancia pero no toleran la divergencia la diferencia… increíble No Solo se busca desacreditar y validar sus razones No es el algoritmo no les une lo que aman los une lo que destruye Silence On ,pos,0.9000000000000001
