postDate,responding
2022-12-01T20:35:22.000Z,"#SesionOrdinaria Sen @desimasi2 1/3 “Por la cual el Senado expresa su reconocimiento y agradecimiento al Senado de  en la persona del sr. Roberto Bustos, Prosecret. Gral y Tesorero x su valioso aporte p/la automatización del Proceso Legislativo Pyo.”  http://silpy.congreso.gov.py"
2022-11-23T16:05:15.000Z,"La automatización de las operaciones es un cambio inevitable para las empresas.Cómo gestionar estos procesos de transformación de manera ética, poniendo a personas y equipos en el centro.  HOY 23 nov 14.30 a 15.30  Zoom http://bit.ly/3GiCxWs #GEW2022 #GEWPY2022"
2022-10-17T11:02:29.000Z,"Continúa abierta la pre-inscripción a la Maestría en Ingeniería Eléctrica de la @fpuna con dos variantes: Planificación de Sistemas Eléctricos y Automatización y Control. Para iniciar durante 2022, el registro va hasta fines de este octubre: https://forms.gle/RWSLUsySQTNKsPmXA…"
2022-05-29T02:54:50.000Z,La automatización y educación técnica ayudan a producir más trabajando menos.
2022-05-01T16:08:17.000Z,"¿Cómo te imaginas que sería el 1 de mayo, día del trabajo, en un futuro no lejano cuando la automatización del trabajo desplazó a la fuerza humana?"
2021-11-14T13:39:57.000Z,"«Es peor sentirse inútil que estar explotado. En el siglo XX, un obrero podía ir a la huelga. Ahora, con la automatización, los obreros son prescindibles. Ir a la huelga, ¿para qué? Si nadie te necesita...». @harari_yuval. https://elcorreo.com/xlsemanal/personajes/yuval-noah-harari-tecnologia-riesgos-sapiens-pilares-civilizacion.html?ref=https%3A%2F%2Flm.facebook.com%2F…"
2021-08-20T17:09:45.000Z,"*Recepcion Digital - Fisica - Carga en el Gestor*Remision y distribucion en forma digital de expedientes, al interior del MOPC. #LogrosenMEU * Actualizacion del SGD*Automatizacion de numeracion MEU*IMPLEMENTACION DEL MEU DIGITAL."
2020-11-19T14:04:39.000Z," #Convocatoria: CPI 2021Accediendo al link te podes PRE-INSCRIBIR al Cursillo Probatorio de Ingreso de las carreras del Técnico Superior de Tic, Diseño de Moda; Mecatrónica en Automatización y Control y Mecatrónica en Robótica Industrial  http://forms.gle/JcA9ZCrW7mZg9X…"
2020-10-31T22:33:01.000Z,Automatización IndustrialYPLCSemanita intensa en examenes 
2020-09-22T00:53:42.000Z,"¡Taller gratuito en alianza con BIMS! Implementá herramientas que te permitan gestionar de manera más óptima tus negocios, con procesos de automatización e inteligencia.  Martes 22 de Septiembre a las 17:00 Sin costo. Inscribite en http://bit.ly/ASEPY-BIMS@SomosASEPY"
2020-08-05T15:56:48.000Z,Servicio de Herrería.Creación y automatización de portones para su hogar y negocio con los diseños que prefieran.Mantenimientos de todo tipo de elementos metálicos.Presupuestos sin compromiso.#portones #hogar #negocio #herrero
2020-07-28T18:32:13.000Z,Automatización de todo tipo de portones.Servicio de Herrería.Mantenimientos de todo tipo de elementos metálicos.Presupuestos sin compromiso.#portonautomatico #hogar #negocio #herrero
