postDates,tweets,sentiment_label,polarity_score
2022-12-01T20:35:22.000Z,#SesionOrdinaria Sen “Por la cual el Senado expresa su reconocimiento y agradecimiento al Senado de en la persona del sr Roberto Bustos Prosecret Gral y Tesorero x su valioso aporte pla automatización del Proceso Legislativo Pyo ” ,pos,0.688
2022-11-23T16:05:15.000Z,La automatización de las operaciones es un cambio inevitable para las empresas Cómo gestionar estos procesos de transformación de manera ética poniendo a personas y equipos en el centro HOY nov a Zoom #GEW #GEWPY,pos,0.6
2022-10-17T11:02:29.000Z,Continúa abierta la preinscripción a la Maestría en Ingeniería Eléctrica de la con dos variantes Planificación de Sistemas Eléctricos y Automatización y Control Para iniciar durante el registro va hasta fines de este octubre ,neu,0.031000000000000028
2022-05-29T02:54:50.000Z,La automatización y educación técnica ayudan a producir más trabajando menos,pos,1.167
2022-05-01T16:08:17.000Z,Cómo te imaginas que sería el de mayo día del trabajo en un futuro no lejano cuando la automatización del trabajo desplazó a la fuerza humana,pos,0.617
2021-11-14T13:39:57.000Z,«Es peor sentirse inútil que estar explotado En el siglo XX un obrero podía ir a la huelga Ahora con la automatización los obreros son prescindibles Ir a la huelga para qué Si nadie te necesita » ,neg,-0.973
2021-08-20T17:09:45.000Z,Recepcion Digital Fisica Carga en el GestorRemision y distribucion en forma digital de expedientes al interior del MOPC #LogrosenMEU Actualizacion del SGDAutomatizacion de numeracion MEUIMPLEMENTACION DEL MEU DIGITAL,pos,0.875
2020-11-19T14:04:39.000Z, #Convocatoria CPI Accediendo al link te podes PREINSCRIBIR al Cursillo Probatorio de Ingreso de las carreras del Técnico Superior de Tic Diseño de Moda Mecatrónica en Automatización y Control y Mecatrónica en Robótica Industrial ,pos,0.667
2020-10-31T22:33:01.000Z,Automatización IndustrialYPLCSemanita intensa en examenes ,neu,0
2020-09-22T00:53:42.000Z,¡Taller gratuito en alianza con BIMS Implementá herramientas que te permitan gestionar de manera más óptima tus negocios con procesos de automatización e inteligencia Martes de Septiembre a las Sin costo Inscribite en ,pos,0.494
2020-08-05T15:56:48.000Z,Servicio de Herrería Creación y automatización de portones para su hogar y negocio con los diseños que prefieran Mantenimientos de todo tipo de elementos metálicos Presupuestos sin compromiso #portones #hogar #negocio #herrero,pos,0.6
2020-07-28T18:32:13.000Z,Automatización de todo tipo de portones Servicio de Herrería Mantenimientos de todo tipo de elementos metálicos Presupuestos sin compromiso #portonautomatico #hogar #negocio #herrero,pos,0.85
2020-03-13T15:09:57.000Z,Habilitan en Ypacaraí el Instituto Técnico Superior Departamental Municipal para la carrera de montaje y mantenimiento de instalaciones de automatización industrial duración años Inscripciones en la Casa de la Cultura del al de marzo y ,pos,1.0
2019-11-25T22:20:44.000Z,Blas Cristaldo candidato a la presidencia del INCOOP por CONCOPAR FECOPROD puntualiza los ejes de su plan de trabajo basados en la profesionalización del sector La digitalización y automatización de procesos facilitará el seguimiento de las gestiones #Debate,neu,-0.040000000000000036
2019-07-30T14:26:24.000Z,Difusión de resultados del proyecto Automatización del Análisis multilocus de secuencias repetitivas en tándem de número variable MLVA para tipificación de Staphylococcus aureus de aislados nosocomiales de población pediátrica Disertante Fátima Rodríguez MSc,neg,-0.25
2019-07-27T14:06:17.000Z, Con el propósito de Trabajar por un Futuro más Prometedor estuvimos junto con la en la con un stand dedicado al #FuturoDelTrabajo donde destacamos la aplicación de la robotización automatización e informática a los empleos del futuro ,pos,0.8500000000000001
2019-07-24T00:20:48.000Z,Los aprendices del Programa de Robótica presentaron el proyecto de Automatización de procesos en la Agricultura logrando el segundo lugar,neu,0
2019-04-21T17:34:46.000Z,Parece que no hay criterio Siempre me intrigan otras verticales en las que no trabajo Retail parece tierra de nadie no hay estándar no hay automatización no hay monitoreo,pos,0.42899999999999994
2019-01-17T22:55:50.000Z,Hay veces que una llamada funciona mejor que innovaciones como Whatsapp Google Calendar y la automatización que se democratizaron después,pos,0.625
2018-12-21T02:38:14.000Z,Es geeeniaaal La capacidad de automatización es para valorarlo Y les cuento hay veces que hago algo parecido pasa todooo ,pos,0.9009999999999999
2018-11-15T18:36:51.000Z,En una sociedad sin dinero en efectivo sería mucho más difícil evadir impuestos recibir sobornos o hacer negocios ilícitos ¡Sálvese quien pueda El futuro del trabajo en la era de la automatización página ,neg,-0.06700000000000006
2018-11-02T15:32:05.000Z,Modernización de sistemas de control y protecciones de las líneas Villa AureliaTres Bocas y Villa AureliaBarrio Parque Nivel de tensión KVeXpertos en Protección Automatización… ,neu,0
2018-06-13T18:10:16.000Z, CEO emBlue exponiendo durante el Asunción sobre Automatización y Omnicanalidad,neu,0
2018-05-04T10:25:30.000Z,Quién está listo para la era de la automatización Un informe revela los países mejor preparados ,pos,0.137
2018-03-16T12:04:43.000Z,Im at Laboratorio De Neumática Electroneumatica Y Automatización Ucv in Villarrica Departamento de Guairá ,pos,0.25
2018-03-09T11:25:59.000Z,Penúltimo día de la primera semana Laboratorio De Neumática Electroneumatica Y Automatización Ucv in Villarrica Departamento de Guairá ,pos,0.25
2018-03-07T12:39:57.000Z,Mitad de semana Laboratorio De Neumática Electroneumatica Y Automatización Ucv in Villarrica Departamento de Guairá ,pos,0.25
