postDate,responding
2022-10-19T16:22:40.000Z,"Ustedes son jovenes pero antes ibamos al ciber con 20 disquets para bajar un juego pedorro y comprimir en zip en cadena pero al disquet nro 19 le encantaba irse a la mierda y cagarte el juego, el tiempo y $ del ciber"
2022-09-22T18:01:27.000Z,"Cómo estarán las cuentas anónimas, los ciber barras de Nacional, y los del programa de la 1010 ahora.- Peleando por no bajar a la C- con suplentesPaliza histórica y lección de fútbol y humildad.Orgulloso de ser de Rampla."
2022-09-16T12:50:22.000Z,"Esta nueva generación ciber, mundial es este tiempo, estaban tan calladitos todos que te vas a ver qué onda y ves esto y bueno, ya es ya jajajaja "
2022-08-10T17:45:06.000Z,Lo q se viene en la Diplo Ciber @AustralDerecho será disruptivo y nuevo! Expertos nac e internacionales. Agentes del HSI y demos en  vivo con herramientas tecnológicas en nuestro Campus en Pilar. Y muy ilusionados con nuestra última semana presencial en Barcelona!
2022-08-05T13:03:03.000Z,Ella es experta en ciber hurrerismo luego 
2022-06-07T18:11:32.000Z,@AndresLJuvinel  modus operandi del ciber robo 
2022-04-05T16:43:28.000Z,"El cajero no es ciber señor  , por favor te pido!!"
2022-02-24T11:57:13.000Z,"Guerra comercial...Ciber ataques...se lanzan contra Ucrania y hay problemas de retiros bancarios.Subirán más los combustibles en el mundo.Se venderán menos lotes de carne a Rusia. Sube precio del trigo, Ucrania y Rusia producen 30% trigo mundial. Mundo globalizado."
2022-01-16T22:51:27.000Z,Resumen del día en el Tuider1.-Novak expulsado de Australia2.-REal Madrid Campeón de España3.-NO hay fotos del nuevo telescopio4.-Putin ataca Ucrania en un ciber ataque5.-En Panjshir se sigue luchando contra los talibanes6.-Paquistan quiere anexar Afganistán7.-El Omicron
2021-11-02T00:23:28.000Z,Las cárceles son un call center de ciber estafas. Cuidado.
2021-08-13T23:25:07.000Z,En el ciber
2021-05-09T13:39:44.000Z,"China vive actuando irresponsable y criminalmente. No solo con desechos espaciales sin control sino que tb virus sin control, ciber ataques, pesca furtiva depredando el mar de otros países, artículos nocivos y de mala calidad, no respetan patentes ni respetan el medio ambiente."
2021-04-14T18:21:09.000Z,Existen todavía los ciber había sido 
2021-03-17T16:45:26.000Z,"“.. ciudadano argentino pretendió abordar un vuelo hacia su país con test de Covid ADULTERADO.Detenido, quedó a disposición de la Fiscalía y confesó q en un ciber preparó el test falso”Criminal AVIVADO argentino exponiendo al #COVID19 a pasajeros."
2020-09-27T02:48:22.000Z,"Hoy compartí con las ""nuevas generaciones"" como juntaba tres mil de mi recreo para ir al ciber una vez por semana a revisar mi correo. Era parte de la Red Latinoamericana, nos enviabamos noticias, acuerdos, saludos, consultas, tenía 60 min para responder todo"
2020-09-21T04:34:59.000Z,Si yo era dueño del ciber no le cobraba nada por el tiempo utilizado . https://twitter.com/rockandpoppy/status/1307823891331657728…
2020-08-14T00:47:44.000Z,Un wrap de hummus por favor. Ahre ciber punk
2020-06-06T23:42:02.000Z,Jajaja un bajón el ciber amor
2020-02-12T19:54:22.000Z,Si alguna vez hackearon el CNC/nic.py esta gente pio va hablar de ciber seguridad jajajaja
2020-01-27T17:38:17.000Z,En nuestros medios quienes estarían en el ranking top 10 de ciber??
2019-11-09T04:09:20.000Z,Se me borró el boomerang tan lindo se perdió en alguna parte del ciber espacio jajajajaja
2019-06-29T15:21:17.000Z,"en el mundo ciber de hoy, 20 segundos sin un like, ya es mucho!"
2019-06-17T04:45:30.000Z,Psss estas por el ciber espacio?
2019-06-13T01:59:49.000Z,Podes bajar allá en el ciber que queda en el 2007.
2019-05-01T16:30:28.000Z,2007 encargado de ciber2019 Programacion de Cursos - SNPP
2019-03-14T16:28:29.000Z,"#14Mar Según el flamante Min. de Energía Eléctrica del gobierno usurpador de Maduro, aseguró y así lo reseñó @ElNacionalWeb que el ciber-ataque que generó el #ApagonNacional y dejó días a #Venezuela  #SinLuz fue ""una vara de bambú"". @1330am @MundoVente"
2019-03-04T18:12:32.000Z,Amiga: si en el enorme mundo ciber de Netflix lo que más te gusta es #LealenNetflix en serio tenes que hacer terapia! O querete más y mira más series o las pelis 22 de julio o Vidas Privadas! Ok ?
2018-09-20T22:49:54.000Z,Contrarreste las ciber-amenazas antes de que ocurran (@ El viejo marino in Asunción) https://swarmapp.com/c/fscEX9hqyUa
2018-06-29T22:37:51.000Z,Cuando termina la tinta de tu impresora y te das cuenta a última hora (@ City Ciber in Villarrica) https://swarmapp.com/c/76dNiBRWvKE
