postDates,tweets,sentiment_label,polarity_score
2022-12-29T18:58:30.000Z,#LaNuevaRepública propone el cambio de modelo no sólo la alternancia de personas no tendremos acuerdos con quienes no busquen la reforma estructural de la tierra propiedad y título conectividad y asistencia tecnológica para el estudiante y el trabajador,pos,0.663
2022-12-13T13:54:12.000Z,Chevrolet Montana inaugura nuevo concepto de pickup compacta mediana en Sudamérica Se destaca por su diseño espacio interior seguridad conectividad y performance caja de carga inédita MultiFlex que refuerza el propósito de pickup inteligente #chevroletmontana,pos,1.229
2022-12-08T12:36:39.000Z,Durante la verificación de obras viales en Cnel Oviedo indicó que las carreteras son importantes para el comercio la conectividad con mercados y la radicación de inversionistas Que hicieron los otros Gobiernos se preguntó También hizo referencia a las internas,neu,0
2022-12-05T16:26:05.000Z,Qué pasará del mundo si algún día dejáramos de tener conectividad Internet,pos,0.25
2022-09-29T14:01:15.000Z,Aprovechando que es noticia el pedido de inversiones a Taiwan comparto una propuesta sencilla factible y de alto impacto que propusimos a la Embajada a la DINAC y a Cancillería Un vuelo de China Airlines a ASU mayor conectividad y más bodega para cargas paraguayas,pos,0.792
2022-09-28T21:02:21.000Z, Continuando con las entregas de las herramientas informáticas en el marco de los Compromisos Sociales y de la CONATEL para con la educación de nuestro país fueron entregadas notebooks con conectividad gratis por dos años a Colegios y Escuelas del Departamento Central,pos,0.743
2022-09-22T18:08:28.000Z, La integración regional y la conectividad son ejes prioritarios para el Paraguay como país sin litoral expresó el canciller Julio Arriola en reunión de Altas Autoridades de Países en Desarrollo Sin Litoral PDSL ,neu,0
2022-09-22T15:29:53.000Z, El Puente de la Integración es el segundo sobre el Río Paraná construido años después del Puente de la Amistad Esta emblemática obra es vital para la conectividad del Paraguay con el mundo #puentedelaintegración #paraguaybrasil,pos,1.214
2022-09-17T18:12:32.000Z, Hoy tuve la oportunidad de visitar el segundo puente que unirá nuestro país con el Brasil La integración y la conectividad son las vías de desarrollo y competividad de las naciones Reconocimiento para el Presidente por esta emblemática obra,neu,0
2022-09-15T15:57:29.000Z,Autoridades del Paraguay y la Argentina participaron de la V reunión del Grupo Técnico Mixto de Conectividad donde se avanzó en el proyecto de fortalecer la conectividad digital ,pos,0.292
2022-08-11T02:10:34.000Z,Dado que las carreteras representan la primera red social la accesibilidad y la movilidad en las zonas rurales son realmente importantes Vea el Día de nuestro seminario Vías rurales conectividad y accesibilidad para el desarrollo aquí,pos,1.477
2022-07-08T00:03:06.000Z,Se puso en común la importancia que tiene Paraguay en la región y se conversó acerca de los distintos proyectos de conectividad que se están realizando para potenciarnos como región ——,pos,0.354
2022-07-05T21:43:13.000Z,Por su parte el titular de la DINAC Kanazawa resaltó la resiliencia que se tuvo para sacar adelante acciones para la recuperación total del turismo y su cadena de valor señaló además que siguen trabajando por consolidar la conectividad y de esa forma beneficiar al turismo,pos,0.7269999999999999
2022-07-05T00:34:25.000Z, Se firmó una acta que es un compromiso que expresa la voluntad de trabajar en mayor conectividad entre ambos países en materia de infraestructuras — ,pos,0.32499999999999996
2022-06-30T15:36:48.000Z,Datos importantes sobre la conectividad en Paraguay Estudio del INE,neu,0
2022-06-23T20:38:23.000Z,Ing Souleman Oussiman Presidente del Comité Técnico de realiza conclusiones técnicas y agradece a cada uno de los expositores y participantes del Seminario Web Internacional sobre Caminos rurales conectividad y accesibilidad ,pos,1.084
2022-06-23T17:39:24.000Z,Inicia dando la bienvenida el último día de la jornada del Seminario Web Internacional sobre Caminos Rurales conectividad y accesibilidad para el desarrollo organizado por y ,pos,1.667
2022-06-22T18:05:18.000Z,Queres seguir la transmisión en vivo del Seminario Web Internacional “Caminos rurales conectividad y accesibilidad para el desarrollo” para #CarreterasyAlgoMas,pos,1.097
2022-06-22T17:39:22.000Z,Así inicia la segunda jornada del Seminario Web Internacional sobre Caminos Rurales conectividad y accesibilidad para el desarrollo ,pos,0.667
2022-06-21T19:00:29.000Z,El Viceministro del el Ing nos explica sobre el banco de proyectos en curso en el Seminario Web Internacional de Caminos Rurales Conectividad y Accesibilidad para el desarrollo via para #CarreterasyAlgoMas,pos,0.417
2022-06-21T12:07:38.000Z,EhmnQué es GEl G es la quinta generación de conectividad móvil Ha llovido bastante ya desde la irrupción del LTE lo que conocemos como conexión G que en países como España dio sus primeros pasos en el año ,pos,1.188
2022-05-04T23:37:20.000Z,El canciller Julio Arriola destacó que el tiene como prioridades la revisión del Anexo C del Tratado de Itaipú el apoyo a la reactivación económica la inserción de Paraguay a instancias y foros internacionales así como el desafío de cooperar con la conectividad,pos,0.571
2022-04-26T00:24:10.000Z,Trabajamos por fortalecer la formación profesional en el la Presidencia Pro Tempore del Paraguay tratamos los siguientes puntos Mapeo sobre conectividad acceso a nuevas tecnologías de la información y libre circulación en los Órganos y Foros del Mercosur,pos,0.35
2022-04-25T00:54:48.000Z,Senadora acompaña al Pte en la Visita oficial al mandatario donde Paraguay y Colombia concretan importantes acuerdos de intercambio comercial inversión conectividad aérea turismo transporte seguridad y defensa destaca la legisladora,pos,0.25
2022-04-09T11:47:03.000Z,Suscribimos un acuerdo sobre servicios aéreos que será fundamental para la conectividad paraguaya con la región se confirmó la apertura total de las fronteras que potenciará la reactivación económica y la firme voluntad de construir nuevos puentes entre #Paraguay y #Argentina,pos,1.152
2022-04-03T14:16:29.000Z,Las últimas reformas institucionales e infraestructurales del Py que buscaron transformar el sistema y la matriz productiva sólo Ptes NDF impositiva FL salud MAB vialidadconectividad físicaEl resto casi nada,pos,0.896
2022-01-07T17:40:12.000Z,El día de hoy se llevó a cabo la firma del Convenio de cooperación interinstitucional entre Nuestra Compañía y la Municipalidad de Atyrá que tiene por objeto el fortalecimiento de la conectividad en la localidad #ConectandoAlPaís #AtyráOñondive ,neg,-0.125
2022-01-05T15:54:39.000Z, Con los dos fondos universales de Conatel se podría generar conectividad anillo de redes con interface al que ya recibe para potenciar el sistema penitenciario a lo que puede ser sumado IA,pos,0.14600000000000002
2021-12-28T21:15:42.000Z,El Gobierno Nacional del Pte superó los Km de rutas en años de Gobierno no son solo números es Conectividad Desarrollo Empleos a miles de Paraguayosas Definitivamente un día histórico gran trabajo del y Empresas Nacionales ,pos,0.313
2021-12-13T19:02:33.000Z,Nuestra Compañía brindó conectividad para la transmisión del evento en la ciudad de Carmelo Peralta donde se llevó a cabo la colocación de la piedra fundamental con la presencia de y autoridades del Brasil para la construcción del #PuenteDeLaBioceánica ,neu,0
2021-12-04T13:37:58.000Z,Ultimando los trabajos de conectividad para los diferentes medios de prensa en el estadio Rogelio Livieres del Club Guaraní para el partido de hoy,pos,0.32999999999999996
2021-11-27T18:29:29.000Z,Nuestra Compañía presente en la 𝙀𝙭𝙥𝙤 𝙑𝙖𝙘𝙖𝙘𝙞𝙤𝙣𝙚𝙨 organizado por la llevado a cabo en la costanera de Asunción COPACO brindando conectividad para el evento y marcando presencia ¡Te esperamos ,pos,0.5
2021-11-25T09:12:52.000Z,Abdo y Bolsonaro abordaron obras de conectividad asuntos comerciales e Itaipúvia ,neu,0
2021-11-24T23:49:41.000Z,Tener menos en nuestras vidas trae beneficios obvios y no tan obvios para cada miembro de la familia desde menor exposición al aire contaminado y al ruido hasta la reducción del estrés crónico un aumento en la actividad física y sentimientos de conectividad social,pos,2.412
2021-11-24T00:32:16.000Z,Todos los caminos conducen a la educación el debate económico sin contemplar las nuevas habilidades que demanda el mercado es estéril el debate inversión en infraestructura que deja fuera la conectividad carece de objetividad muchos puntos a debatir Les espero,pos,0.18800000000000006
2021-11-19T17:37:48.000Z,Nop En términos de costos operativos somos altos en comparación a la región Y encima somos país mediterráneo la conectividad aerea es fundamental para nuestra competitividad,pos,0.583
