postDate,responding
2022-11-23T23:40:50.000Z,Cripto Idiotas.
2022-10-14T10:37:21.000Z,"Yo no soy seguidor del tema cripto por diversos motivos, pero este argumento me parece una estupidez.El día que un profesional plantee la idea (además de fomentar la inversión extrajera en el país) de montar una fábrica automatizada con poca “mano de obra”, eso va a ser malo?"
2021-12-19T17:11:28.000Z,Cripto starhttps://infobae.com/economia/2021/12/18/tiene-27-anos-una-fortuna-de-usd-1500-millones-es-una-estrella-cripto-global-y-vino-a-argentina-a-ver-la-inflacion-de-cerca/…
2021-06-07T10:34:54.000Z,"La Hora Cripto #60: Bitcoin Lex est, by @nelsondcg1 https://lahoracripto.substack.com/p/bitcoin-es-ley?r=58kpz&utm_campaign=post&utm_medium=email&utm_source=brusquetti…"
2021-05-31T16:44:12.000Z,"La Hora Cripto #60: Dinero globo, by @nelsondcg1 https://lahoracripto.substack.com/p/la-hora-cripto-60-dinero-globo…"
2021-05-11T00:06:32.000Z,"La Hora Cripto #58: Lean el whitepaper, by @nelsondcg1 https://lahoracripto.substack.com/p/58-lean-el-whitepaper-bicoin…"
2021-04-28T13:04:41.000Z,"La Hora Cripto #56: Sin Lloro, by @nelsondcg1 https://lahoracripto.substack.com/p/56-sin-lloro"
2021-03-31T01:24:10.000Z,La Hora Cripto #53:Just HODL (III y final) by @nelsondcg1 https://lahoracripto.substack.com/p/la-hora-cripto-53just-hodl-iii-y?r=58kpz&utm_campaign=post&utm_medium=email&utm_source=twitter…
2021-03-18T12:53:51.000Z,La Hora Cripto #51: Just HODL (II) by @nelsondcg1 https://lahoracripto.substack.com/p/hodl-bitcoin-2?utm_campaign=post&utm_medium=email&utm_source=twitter…
2020-11-03T15:14:32.000Z,La Hora Cripto #37: Ahorrar bitcoins by @nelsondcg1  https://lahoracripto.substack.com/p/la-hora-cripto-37-ahorrar-bitcoins?utm_campaign=post&utm_medium=email&utm_source=twitter… #Bitcoin #BTC
2020-06-27T14:24:03.000Z,"Tiene medio cara de boludo. Pero el boludo sos vos realmente, por que aun no entraste en cripto #Bitcoin"
