postDates,tweets,sentiment_label,polarity_score
2022-11-23T23:40:50.000Z,Cripto Idiotas,neg,-0.75
2022-10-14T10:37:21.000Z,Yo no soy seguidor del tema cripto por diversos motivos pero este argumento me parece una estupidez El día que un profesional plantee la idea además de fomentar la inversión extrajera en el país de montar una fábrica automatizada con poca “mano de obra” eso va a ser malo,neg,-1.302
2021-12-19T17:11:28.000Z,Cripto star,neu,0
2021-06-07T10:34:54.000Z,La Hora Cripto # Bitcoin Lex est by ,neu,0
2021-05-31T16:44:12.000Z,La Hora Cripto # Dinero globo by ,neu,0
2021-05-11T00:06:32.000Z,La Hora Cripto # Lean el whitepaper by ,neu,0
2021-04-28T13:04:41.000Z,La Hora Cripto # Sin Lloro by ,neg,-0.281
2021-03-31T01:24:10.000Z,La Hora Cripto #Just HODL III y final by ,neu,0
2021-03-18T12:53:51.000Z,La Hora Cripto # Just HODL II by ,neu,0
2020-11-03T15:14:32.000Z,La Hora Cripto # Ahorrar bitcoins by #Bitcoin #BTC,neu,0
2020-06-27T14:24:03.000Z,Tiene medio cara de boludo Pero el boludo sos vos realmente por que aun no entraste en cripto #Bitcoin,neu,0.0
