postDates,tweets,sentiment_label,polarity_score
2022-12-30T15:07:23.000Z, Egresados en cargos de liderazgo Gob Corp Centros tecnologicos Infraestructura digital p Alumnos Idiomas en malla Pasantías locales Pasantías internac Doble titulación Grado Doble titulación Post Grado MaestríaDoctorados Proyectos científicos,pos,0.5
2022-12-30T14:07:14.000Z,Acaba de publicar una foto en ABC Digital,neu,0
2022-12-27T07:45:33.000Z,Los operadores de redes viales utilizan cada vez más la tecnología y desarrollan infraestructura digital para gestionar las redes viales Descubra cómo se pueden utilizar esos datos para optimizar las operaciones de la red vial en #PIARC ,pos,0.25
2022-12-21T01:45:24.000Z,Hemos diseñado una campaña Política Digital buscando darles una OPCIÓN distinta a los compatriotas correligionarios bajo ejes bien definidos INNOVACIÓN TECNOLOGIA Y EMPRENDIMIENTOS que no fue simplemente un slogan,pos,0.917
2022-12-20T13:59:12.000Z,Seguimos con las “SUGERENCIAS PARA DÍAS DIFÍCILES”Acordate que podes tomar las sesiones personales al o comprar mi curso digital “DESDE EL DOLOR A LA FELICIDAD” en este link #FabiolaEspínola,neg,-0.09700000000000009
2022-12-19T11:36:11.000Z, me llegó mi factura más digital que nunca y NO veo el descuento que me hacen por una semana que pasé SIN SERVICIO Juro que si no me aplican lo que corresponde me desligo de ustedes El colmo ya son les chupa sus clientes,neu,0.0
2022-12-18T01:04:17.000Z,Campeonato Nacional Interligas Mayores La Naranja Mecánica consiguió un resultado importante de visitanteChoré y Sanjosiana igualaron en el Estadio Atanasio Villagra por la ida de los cuartos de final TV Digital San José,pos,0.25
2022-12-16T14:13:41.000Z,Que lindo sería poder firmar contratos con firma digital en nuestro querido y burocrático Paraguay,pos,1.5
2022-12-12T11:22:39.000Z,Cápsula da missão Artemis faz reentrada com sucesso na Terra assista Olhar Digital #Artemis #Orion vía ,neu,0
2022-12-11T23:07:31.000Z,Campeonato Nacional Interligas Mayores Sanjosiana entre las mejoresLa Naranja Mecánica clasificada a cuartosAquinense y Sanjosiana igualaron en el Estadio del Club de Mayo de General Aquino por la vuelta de los octavos de final TV Digital San José,pos,0.625
2022-12-09T13:47:30.000Z,terminan autoexpuestos en manos de sus pares muchas veces compañeros de escuela o colegio que normalizaron estas actitudes aprendidas de su entorno físico o digital Con niños que practican sexting a los años o que tienen acceso a violencia digital y pornografía a los años,pos,0.536
2022-12-07T23:11:23.000Z,Quiero presumir de algo al menos creador digital ñandeko AMoko,neu,0
2022-12-07T19:07:22.000Z,La violencia simbólica mediatica y digital suelen pasar desapercibidas porque nos cuesta reconocer que hay violencia más alla de lo físico Los discursos de odio el hostigamiento y los acosos tienen consecuencias negativas en la vida de las mujeres ¡Basta de #ViolenciaMachista,neg,-0.964
2022-12-06T08:32:59.000Z,Oficialmente soy Consultor en MKT DigitalAhora mismo te hago estrategias de mkt hasta para vender hielo en el polo norte,pos,0.375
