postDate,responding
2022-12-30T15:04:46.000Z,1 Oferta de Carreras2 Cantidad de Titulos Acreditados3 Convenios Internacionales4 Numero de Matriculados5 Indic de Innovacion6 Actualizacion de Malla Curricular7 Infraestructura8 Publicaciones de la Univ9 Oferta de Diplomados/Maestrias10 Trayectoria
2022-12-26T21:13:49.000Z,El 13 y 14 de diciembre se llevó a cabo las XIII Jornadas de Innovación Docente de la @una_py. Fue muy enriquecedor ver los distintos proyectos implementados y tratar de aportar de aportar mi granito de arena desde la @fceunaprensa.
2022-12-22T13:04:42.000Z,Cierre de año compartiendo con colegas que formamos parte de la @RedReip #economía #innovación
2022-12-21T01:45:24.000Z,"Hemos diseñado una campaña Política Digital, buscando darles una OPCIÓN distinta a los compatriotas correligionarios, bajo 3 ejes bien definidos: INNOVACIÓN, TECNOLOGIA Y EMPRENDIMIENTOS que no fue simplemente un slogan,"
2022-12-19T16:46:11.000Z,Nuevo integrante de la familia Mazzei!! Seguimos creyendo en la innovación y no vamos a parar!
2022-12-17T01:40:36.000Z,"Proyectemos juntos, apostemos a la innovación, tecnología y emprendimientos de bases tecnológicas.  Votá a la lista 2 opción 15 que vamos a estar mejor.  En Central VAMOS A ESTAR MEJOR! "
2022-12-03T08:40:43.000Z,"Fue un honor formar parte del evento de presentación del ""Mapeo de Inversiones ODS en Paraguay: Principales Resultados"", junto con @Haciendapy, @mreparaguay @itaipuparaguay. El mapeo es una herramienta indispensable para lograr más innovación y buscar más financiación sostenible."
2022-12-02T22:53:57.000Z,"#SimposioInternacional #CePeInnovación, Prospectiva y Estudio de Futuro; 1, 2 y 3/dic.En el marco del #DíaMundialdelosFuturos #Unesco"
2022-12-02T16:12:57.000Z,"El día de ayer estuvimos recorriendo la #ciudad de #Itauguá, llevando los proyectos de INNOVACIÓN, TECNOLOGÍA Y EMPRENDIMIENTO.Queremos ser parte de un futuro mejor, donde, innovemos la Política con proyectos concretos!"
2022-12-02T15:16:07.000Z,"#SimposioInternacional #CePeInnovación, Prospectiva y Estudio de Futuro; 1, 2 y 3/dic.En el marco del #DíaMundialdelosFuturos #UNESCO"
2022-12-02T13:22:12.000Z,"Fue un honor formar parte del evento de presentación del ""Mapeo de Inversiones ODS en Paraguay: Principales Resultados"", junto con @Haciendapy, @mreparaguay @itaipuparaguay. El mapeo es una herramienta indispensable para lograr más innovación y buscar más financiación sostenible."
2022-12-02T13:03:01.000Z," El futuro del Paraguay vamos a construir con la fuerza del trabajo de una generación que siente y palpita un Paraguay del futuro con tecnología, innovación e inversiones.#PettengillSenador #Lista3  #Opción2 #FuerzaRepublicana #LaFuerzadelTrabajo #Atodamáquina"
2022-11-30T04:14:56.000Z,"Nunca dejamos que elijan por nosotros; una lista de películas que más nos gustan, entonces: ¿porqué vas a dejar que otros decidan por vos a quién votar y determinar tu futuro?Vamos a trabajar en base a tres ejes: Innovación, Tecnología y emprendimiento."
2022-11-29T14:56:49.000Z,"Innovación, ciencia y tecnología para fortalecer la lucha contra las drogasLa @senad_paraguay recibió hoy este laboratorio móvil donado por la embajada de @TW_Paraguay. Muchas gracias al Sr. Embajador @TWambPY por apoyarnos a dar este valioso paso hacia el futuro."
2022-11-24T13:14:16.000Z,"Lambare sumándose al equipo de INNOVACIÓN, TECNOLOGÍA y EMPRENDIMIENTOS de bases tecnológicas! "
2022-11-20T15:35:06.000Z,MAAAAAN CARTELES CON QR JJAJAJAJAJAJAJ #INNOVACIÓN
2022-10-27T23:55:18.000Z,"Gestión de Proyectos -> Gestión de Calidad -> Gestión de la Innovación El mundo de los negocios avanza, y las empresas deben adaptarse con el apoyo de espacios especializados que hoy, más que nunca, están disponibles en el país @MIC_PY #MiPYMECOMPITE #UEenParaguay"
2022-10-24T19:19:40.000Z,La creatividad impulsando la innovación y el crecimiento empresarial
2022-10-24T18:14:15.000Z,"Invitados𝑫𝒓. 𝑴𝒂𝒓𝒊𝒐 𝑴𝒂𝒓𝒕𝒊́𝒏𝒆𝒛, Director General, 𝑩𝒊𝒐𝒒. 𝑨𝒓𝒊𝒆𝒍 𝑰𝒏𝒔𝒂𝒖𝒓𝒓𝒂𝒍𝒅𝒆, Asesor de Innovación e Imagen IICS-UNA  𝑴𝒂𝒈. 𝑷𝒂𝒛 𝑩𝒂𝒓𝒆𝒊𝒓𝒐, Directora de Desarrollo Capital Humano para I+D CONACYT.Por Paraguay TV https://paraguaytv.gov.py"
2022-10-20T20:36:37.000Z,"Serán encargados de guiar este circuito, profesionales de la Agencia de Innovación Urbana y FIIAPP.@UEenParaguay@FIIAPP#agencia_de_innovacion_urbana"
2022-10-18T13:07:02.000Z,"La Dra. Alicia Pomata, Dir de PRONAC, presentando en Ginebra el Proyecto #UnidosPorLaSalydYLaVida implementado por FUNCA en alianza con MSPBS gracias a la Convocatoria de Innovación Social del @conacytparaguay #deteccionprecozsalvavidas"
2022-10-18T12:15:37.000Z,"Carlitos para ser Pte de Cerro no necesitas 1 peso solo  innovación, relaciones internacionales, creatividad, la plata no va a salir del Bolsillo del Pte. Sino de las gestiones que haga con empresas. ensamos alreves equivocadamente. Xq cerro le debe a los bcos ? Se responde solo."
2022-09-20T14:32:47.000Z,Xplora brinda la oportunidad a las empresas de introducirse al mundo de la innovación abierta.Conectá a tu empresa con startups y desarrollá soluciones ágiles e innovadoras  Formato 100% virtual. Inscripción exonerada. Inscripciones en: http://opnx.org/xplora
2022-09-19T19:16:21.000Z,"Esto fue posible gracias al apoyo, la colaboración y puesta en marcha de la academia: la @UCatolicaPy sede Itapua, la Coordinadora Pya de Abogados, la @conacytparaguay a través del programa de Innovación y a nuestra Empresa Social Kuña Pepo"
2022-09-19T18:06:26.000Z,"Fecha importante en la agenda del movimiento STEM e innovación de la región este del País.Hoy es el lanzamiento del proyecto Pequeños Inventores, iniciativa liderada por Piensa (Osmar Quiñónez) y acompañamos entre los actores del ecosistema "
2022-09-19T01:37:55.000Z,"Compartimos un poco de lo vivido  en el Foro 360° ""Jóvenes y Emprendedores"" Medio ambiente, innovación, tecnología, medioambiente y finanzas son algunos de los ejes del evento ...#PatoOjedaPresidente#Lista2opcion27#SantiPeñaPresidente#HCPresidenteANR"
2022-09-17T20:59:31.000Z,"Así como a un colegio público realmente no podes imponerle una malla curricular de religión, así también las escuelas sobre todo las públicas están para el conocimiento,  ciencias de diferentes ramas, tecnología, innovación,  arte , historia etc..."
2022-09-14T19:32:45.000Z,"¡Qué gusto celebrar la innovación, el liderazgo y la trayectoria de una compañía global como @ManpowerGroupPy ! #talento #capitalhumano #soluciones"
2022-08-26T12:57:59.000Z,"El miércoles pasado, culminó el primer bootcamp exclusivo para mujeres de Penguin Academy, con un Hackathon que abarcó todo el fin de semana. El desafío de la Hackathon fue ""¿Cómo fortalecer los emprendimientos de las mujeres por medio de la innovación en tecnología?"""
2022-08-24T23:05:29.000Z,¿Cómo fortalecer los emprendimientos de las mujeres por medio de la innovación en tecnología?
2022-08-20T15:54:11.000Z,"#MateoSalvatto CEO y Co-fundador de Asteroid Technologies @asteroidtechs, Coordinador de Innovación #EscuelasORT en #Argentina @ORTArgentina, presente en Paraguay@BlancaAlderete6 @ArielZaracho92 @asalvatto @npyoficial @LaNacionPy @5diasPY @GENParaguay @Paravision5 @sntcanal9"
2022-08-19T18:18:57.000Z,"El challenge de nuestra hackathon este mes es ""¿Cómo fortalecer los emprendimientos de las mujeres por medio de la innovación en tecnología?""¿Qué es más increíble que mujeres ayudando a mujeres? "
2022-07-09T16:31:32.000Z,"Te invitamos a conocer nuestro Stand en la @ExpoMarianoPy Donde podrán participar todos los días de diversas charlas, Master Class de Cocina y cursos muy interesantes De lanzamientos de programas de formación con innovación y desarrollo Visítanos pues"
2022-07-06T12:19:49.000Z,Sin rodeos. La nueva decana no pierde un minuto y mantiene varias reuniones técnicas con el estamento docente en Quiindy. Innovación en propuestas para egresados  y nuevos paradigmas en cuanto a la  desfasada forma de evaluación de los trabajos prácticos  en la mira.
2022-07-05T18:22:58.000Z,Innovacion!!! Excelente trabajo @conacytparaguay nos vemos en la Expo!!!!
2022-07-05T13:12:44.000Z,"SBC Servicios Basados en el Conocimiento y la Innovación.Desde el @MIC_PY felicitamos, acompañamos y estamos orgullosos de la creatividad de Warani Studios.De Paraguay para el mundo, exportamos nuestra cultura, nuestros mitos y leyendas""Mala Visión""... de exportación!"
2022-06-22T19:02:12.000Z," La comitiva MIC-REDIEX recorrió las instalaciones del Instituto de Innovación SENAI (@SENAIsc) en el marco de la misión de promoción económica en las regiones de Santa Catarina y Paraná, Brasil "
2022-06-22T13:10:08.000Z,"Luego, en horas de la tarde, a las 15 horas asistirá a la ceremonia de Apertura del Seminario Internacional de ""Turismo Rural e Innovación Tecnológica"", que se desarrollará en el Centro de Convenciones de la @CONMEBOL. #1020AM"
2022-06-13T14:56:46.000Z,"La Economía del Conocimiento = cambio cultural rupturista donde:1. La innovación es continua y de esa forma se quiebra la ley de los rendimientos decrecientes de la industria + agropecuaria.2. El hombre deja de ser máquina. 3. Todo depende del capital social, no jerarquía."
2022-06-06T22:03:59.000Z,El Círculo de Innovación por primera vez en Paraguay https://youtu.be/RIrDp00tJcU #innovation360 #ISO56002 #innovacionLATAM
2022-05-17T18:37:09.000Z,"Gracias por acompañarnos y mostrar el cumplimiento de los Objetivos de Desarrollo Sostenible, la Reducción de las desigualdades, la Innovación e Infraestructura y Ciudades y comunidades sostenibles. #ODS9 #ODS10 #ODS11 #turismoinclusivo."
2022-05-11T02:03:21.000Z,"Lean bien: 25 mm de lluvias al año + innovación + tecnología + sacrificio.Nada que objetar, mucho para aprender y admirarles en esta materia."
