postDates,tweets,sentiment_label,polarity_score
2022-12-30T15:04:46.000Z, Oferta de Carreras Cantidad de Titulos Acreditados Convenios Internacionales Numero de Matriculados Indic de Innovacion Actualizacion de Malla Curricular Infraestructura Publicaciones de la Univ Oferta de DiplomadosMaestrias Trayectoria,pos,0.25
2022-12-26T21:13:49.000Z,El y de diciembre se llevó a cabo las XIII Jornadas de Innovación Docente de la Fue muy enriquecedor ver los distintos proyectos implementados y tratar de aportar de aportar mi granito de arena desde la ,pos,0.25
2022-12-22T13:04:42.000Z,Cierre de año compartiendo con colegas que formamos parte de la #economía #innovación,neu,0
2022-12-21T01:45:24.000Z,Hemos diseñado una campaña Política Digital buscando darles una OPCIÓN distinta a los compatriotas correligionarios bajo ejes bien definidos INNOVACIÓN TECNOLOGIA Y EMPRENDIMIENTOS que no fue simplemente un slogan,pos,0.917
2022-12-19T16:46:11.000Z,Nuevo integrante de la familia Mazzei Seguimos creyendo en la innovación y no vamos a parar,pos,0.575
2022-12-17T01:40:36.000Z,Proyectemos juntos apostemos a la innovación tecnología y emprendimientos de bases tecnológicas Votá a la lista opción que vamos a estar mejor En Central VAMOS A ESTAR MEJOR ,pos,0.41300000000000003
2022-12-03T08:40:43.000Z,Fue un honor formar parte del evento de presentación del Mapeo de Inversiones ODS en Paraguay Principales Resultados junto con El mapeo es una herramienta indispensable para lograr más innovación y buscar más financiación sostenible,pos,1.702
2022-12-02T22:53:57.000Z,#SimposioInternacional #CePeInnovación Prospectiva y Estudio de Futuro y dic En el marco del #DíaMundialdelosFuturos #Unesco,neu,0
2022-12-02T16:12:57.000Z,El día de ayer estuvimos recorriendo la #ciudad de #Itauguá llevando los proyectos de INNOVACIÓN TECNOLOGÍA Y EMPRENDIMIENTO Queremos ser parte de un futuro mejor donde innovemos la Política con proyectos concretos,neu,0.0
2022-12-02T15:16:07.000Z,#SimposioInternacional #CePeInnovación Prospectiva y Estudio de Futuro y dic En el marco del #DíaMundialdelosFuturos #UNESCO,neu,0
2022-12-02T13:22:12.000Z,Fue un honor formar parte del evento de presentación del Mapeo de Inversiones ODS en Paraguay Principales Resultados junto con El mapeo es una herramienta indispensable para lograr más innovación y buscar más financiación sostenible,pos,1.702
2022-12-02T13:03:01.000Z, El futuro del Paraguay vamos a construir con la fuerza del trabajo de una generación que siente y palpita un Paraguay del futuro con tecnología innovación e inversiones #PettengillSenador #Lista #Opción #FuerzaRepublicana #LaFuerzadelTrabajo #Atodamáquina,neg,-0.525
2022-11-30T04:14:56.000Z,Nunca dejamos que elijan por nosotros una lista de películas que más nos gustan entonces porqué vas a dejar que otros decidan por vos a quién votar y determinar tu futuroVamos a trabajar en base a tres ejes Innovación Tecnología y emprendimiento,pos,0.506
2022-11-29T14:56:49.000Z,Innovación ciencia y tecnología para fortalecer la lucha contra las drogasLa recibió hoy este laboratorio móvil donado por la embajada de Muchas gracias al Sr Embajador por apoyarnos a dar este valioso paso hacia el futuro,pos,1.351
2022-11-24T13:14:16.000Z,Lambare sumándose al equipo de INNOVACIÓN TECNOLOGÍA y EMPRENDIMIENTOS de bases tecnológicas ,pos,0.5940000000000001
2022-11-20T15:35:06.000Z,MAAAAAN CARTELES CON QR JJAJAJAJAJAJAJ #INNOVACIÓN,neu,0
2022-10-27T23:55:18.000Z,Gestión de Proyectos Gestión de Calidad Gestión de la Innovación El mundo de los negocios avanza y las empresas deben adaptarse con el apoyo de espacios especializados que hoy más que nunca están disponibles en el país #MiPYMECOMPITE #UEenParaguay,pos,1.8920000000000001
2022-10-24T19:19:40.000Z,La creatividad impulsando la innovación y el crecimiento empresarial,pos,0.625
2022-10-24T18:14:15.000Z,Invitados𝑫𝒓 𝑴𝒂𝒓𝒊𝒐 𝑴𝒂𝒓𝒕𝒊́𝒏𝒆𝒛 Director General 𝑩𝒊𝒐𝒒 𝑨𝒓𝒊𝒆𝒍 𝑰𝒏𝒔𝒂𝒖𝒓𝒓𝒂𝒍𝒅𝒆 Asesor de Innovación e Imagen IICSUNA 𝑴𝒂𝒈 𝑷𝒂𝒛 𝑩𝒂𝒓𝒆𝒊𝒓𝒐 Directora de Desarrollo Capital Humano para ID CONACYT Por Paraguay TV ,pos,0.781
2022-10-20T20:36:37.000Z,Serán encargados de guiar este circuito profesionales de la Agencia de Innovación Urbana y FIIAPP ,neu,0
2022-10-18T13:07:02.000Z,La Dra Alicia Pomata Dir de PRONAC presentando en Ginebra el Proyecto #UnidosPorLaSalydYLaVida implementado por FUNCA en alianza con MSPBS gracias a la Convocatoria de Innovación Social del #deteccionprecozsalvavidas,pos,0.743
2022-10-18T12:15:37.000Z,Carlitos para ser Pte de Cerro no necesitas peso solo innovación relaciones internacionales creatividad la plata no va a salir del Bolsillo del Pte Sino de las gestiones que haga con empresas ensamos alreves equivocadamente Xq cerro le debe a los bcos Se responde solo,pos,0.06299999999999994
2022-09-20T14:32:47.000Z,Xplora brinda la oportunidad a las empresas de introducirse al mundo de la innovación abierta Conectá a tu empresa con startups y desarrollá soluciones ágiles e innovadoras Formato virtual Inscripción exonerada Inscripciones en ,pos,1.448
2022-09-19T19:16:21.000Z,Esto fue posible gracias al apoyo la colaboración y puesta en marcha de la academia la sede Itapua la Coordinadora Pya de Abogados la a través del programa de Innovación y a nuestra Empresa Social Kuña Pepo,pos,1.343
2022-09-19T18:06:26.000Z,Fecha importante en la agenda del movimiento STEM e innovación de la región este del País Hoy es el lanzamiento del proyecto Pequeños Inventores iniciativa liderada por Piensa Osmar Quiñónez y acompañamos entre los actores del ecosistema ,pos,0.6
2022-09-19T01:37:55.000Z,Compartimos un poco de lo vivido en el Foro ° Jóvenes y Emprendedores Medio ambiente innovación tecnología medioambiente y finanzas son algunos de los ejes del evento #PatoOjedaPresidente#Listaopcion#SantiPeñaPresidente#HCPresidenteANR,neg,-0.5
2022-09-17T20:59:31.000Z,Así como a un colegio público realmente no podes imponerle una malla curricular de religión así también las escuelas sobre todo las públicas están para el conocimiento ciencias de diferentes ramas tecnología innovación arte historia etc ,pos,1.001
2022-09-14T19:32:45.000Z,¡Qué gusto celebrar la innovación el liderazgo y la trayectoria de una compañía global como #talento #capitalhumano #soluciones,pos,1.071
2022-08-26T12:57:59.000Z,El miércoles pasado culminó el primer bootcamp exclusivo para mujeres de Penguin Academy con un Hackathon que abarcó todo el fin de semana El desafío de la Hackathon fue Cómo fortalecer los emprendimientos de las mujeres por medio de la innovación en tecnología,neg,-0.08700000000000002
2022-08-24T23:05:29.000Z,Cómo fortalecer los emprendimientos de las mujeres por medio de la innovación en tecnología,neu,0
2022-08-20T15:54:11.000Z,#MateoSalvatto CEO y Cofundador de Asteroid Technologies Coordinador de Innovación #EscuelasORT en #Argentina presente en Paraguay ,pos,0.25
2022-08-19T18:18:57.000Z,El challenge de nuestra hackathon este mes es Cómo fortalecer los emprendimientos de las mujeres por medio de la innovación en tecnologíaQué es más increíble que mujeres ayudando a mujeres ,pos,0.7330000000000001
2022-07-09T16:31:32.000Z,Te invitamos a conocer nuestro Stand en la Donde podrán participar todos los días de diversas charlas Master Class de Cocina y cursos muy interesantes De lanzamientos de programas de formación con innovación y desarrollo Visítanos pues,pos,0.813
2022-07-06T12:19:49.000Z,Sin rodeos La nueva decana no pierde un minuto y mantiene varias reuniones técnicas con el estamento docente en Quiindy Innovación en propuestas para egresados y nuevos paradigmas en cuanto a la desfasada forma de evaluación de los trabajos prácticos en la mira,pos,0.10599999999999998
2022-07-05T18:22:58.000Z,Innovacion Excelente trabajo nos vemos en la Expo,pos,1.1
2022-07-05T13:12:44.000Z,SBC Servicios Basados en el Conocimiento y la Innovación Desde el felicitamos acompañamos y estamos orgullosos de la creatividad de Warani Studios De Paraguay para el mundo exportamos nuestra cultura nuestros mitos y leyendasMala Visión de exportación,pos,1.0
2022-06-22T19:02:12.000Z, La comitiva MICREDIEX recorrió las instalaciones del Instituto de Innovación SENAI en el marco de la misión de promoción económica en las regiones de Santa Catarina y Paraná Brasil ,pos,0.589
2022-06-22T13:10:08.000Z,Luego en horas de la tarde a las horas asistirá a la ceremonia de Apertura del Seminario Internacional de Turismo Rural e Innovación Tecnológica que se desarrollará en el Centro de Convenciones de la #AM,neg,-0.187
2022-06-13T14:56:46.000Z,La Economía del Conocimiento cambio cultural rupturista donde La innovación es continua y de esa forma se quiebra la ley de los rendimientos decrecientes de la industria agropecuaria El hombre deja de ser máquina Todo depende del capital social no jerarquía,pos,1.649
2022-06-06T22:03:59.000Z,El Círculo de Innovación por primera vez en Paraguay #innovation #ISO #innovacionLATAM,pos,0.25
2022-05-17T18:37:09.000Z,Gracias por acompañarnos y mostrar el cumplimiento de los Objetivos de Desarrollo Sostenible la Reducción de las desigualdades la Innovación e Infraestructura y Ciudades y comunidades sostenibles #ODS #ODS #ODS #turismoinclusivo,pos,1.4969999999999999
2022-05-11T02:03:21.000Z,Lean bien mm de lluvias al año innovación tecnología sacrificio Nada que objetar mucho para aprender y admirarles en esta materia,neu,0.04200000000000004
2022-05-04T02:38:12.000Z,Llevamos adelante el curso “Habilidades Gerenciales” dirigido a colaboradores de la empresa 𝐀𝐥𝐞𝐱 𝐒 𝐀 de a horas Los tutores son técnicos del Centro de Innovacion de Metodologia Avanzada del ,pos,0.471
2022-04-28T23:16:22.000Z,Yo lo único que digo Es que la sangre nueva que entra como pasante a la facultad es la que le va dando otra vez realce a las clases Ahora les pido que nos den mas espacio para seguir compartiendo conocimiento e innovación Gracias,pos,1.658
2022-04-12T17:41:40.000Z,La innovación siempre llama la atención y abre caminos,neu,0
2022-04-08T15:03:48.000Z, El informe de “Capital Social” presenta resultados que podrían convertirse en un valioso aporte de innovación social dirigido a comisiones vecinales y otras instancias de participación ciudadana Leé el estudio aquí ,pos,1.13
2022-02-26T13:27:49.000Z,Feliz día En especial para los emprendedores que trabajan en el cluster del Tereré aplicando innovación sostienen nuestra cultura y la adaptan a los nuevos tiempos ,pos,1.78
2022-02-26T01:17:37.000Z,Gracias Angela por la invitación Siempre un gusto compartir espacios para favorecer el ecosistema de Innovación de nuestro país ,pos,0.759
2022-02-23T23:34:50.000Z,Innovación #Olimpia siempre a la vanguardiaLos colores del #Bosque se translada a la ra indumentaria #Juntos,pos,0.35
2022-02-10T13:45:37.000Z,Innovación en productos Canilla Fv ya incluye una cinta teflon para la instalación de la misma Aquellas empresas o marcas que no escuchan a sus clientes están condenadas a la muerte o a ser reemplazadas ORO,pos,0.375
2022-01-29T11:54:31.000Z,Interesante artículo sobre InnovaciónHay una pregunta que cualquier innovador debe tener en mente todo el tiempo Qué futuro quieres tener Y una subpregunta igualmente importante Qué implica eso que estás creando o usando para ese futuro ,pos,1.688
2022-01-22T22:31:59.000Z,La q dice fin de la pobreza hambre saludbienestar educ de calidad igualdad de género agua limpia energía asequible trabajo decente industriainnovación reducción de desigualdades ciudades sostenibles producción responsable acción por el clima pazjusticia etc,pos,1.7169999999999999
2021-12-06T01:43:17.000Z,Contenta por formar parte de la era Red de economía de la Innovación en Py Gracias al y al se vienen grandes proyectos para fortalecer el ecosistema ,pos,0.8919999999999999
2021-12-04T12:27:10.000Z,Unrecibir el reconocimiento por la contribución interinstitucional de Alto Impacto Social a la iniciativa científica en un evento de premiación del Consejo Nacional de Ciencia y Tecnología del Paraguay a Proyectos de Innovación Social en la Temática Salud #SinDejarANadieAtras,pos,0.786
2021-12-03T14:23:01.000Z,Innovación es también estar cerca de uno cuando lo necesites Felicidades a Goods Pan por la apertura de su local en el Shopping Pinedo Muchos éxitos para ustedes ,pos,1.008
2021-12-01T17:25:58.000Z,Trabajo seleccionado para presentación en la Jornada de Innovación Docente UNA en Universidad Nacional de Asunción ,pos,1.1
2021-11-30T15:36:51.000Z,Que esperas para darle innovación y un control sumamente exhaustivo a tu empresa o emprendimientoDesde tu móvil podés acceder de forma instantánea y con resultados exactos de tu NegocioMódulos completos o selecciónados Consultoría Contable actualizado a la Resolución ,pos,2.032
2021-11-29T21:20:00.000Z,Paraguay mejora cada año su posición en el ranking global de innovación demostrando la creciente capacidad de innovación de nuestra economía,pos,0.982
2021-11-09T19:08:51.000Z,Nuestro invitado para la Semana Global del Emprendimiento es el Director de Fomento desarrollo e innovación del MIC nos explicará la importancia de emprender y cómo el emprendedurismo favorece el desarrollo de un paísTransmisión vía ,pos,0.875
2021-11-05T21:17:58.000Z,Seminario de Protocolo Estrategias e Innovación en Eventos,neu,0
2021-11-05T21:13:37.000Z,er Seminario de Protocolo Estrategias e Innovación en Eventos ,neu,0
2021-11-03T20:26:02.000Z,Las clases virtuales se encuentran a cargo de Nathalia González y Estela Riego Galeano profesionales del Centro de Innovación de Metodología Avanzada y Formación a Instructores dependiente del #SINAFOCAL,pos,0.688
