postDate,responding
2022-12-26T16:22:12.000Z,La gran sensación de la Inteligencia Artificial del 2022 #chatgtp y en tu país te sale esto cuando te decidis a inscribirte. Que frustrante. #OpenAIChatGPT
2022-12-09T17:47:37.000Z,Amontema la inteligencia artificial ... #CROACIA! 
2022-11-03T21:45:59.000Z,"Disertacion del Ing. @diego_sta en el #FIUNATECH @CEI_UNA @actiscei_una ""Desarrollo de electrocardiografo portátil basado en inteligencia artificial"""
2022-10-14T21:12:30.000Z,Ni los algoritmos de inteligencia artificial más avanzados de Google los logran descifrar
2022-08-23T01:21:43.000Z,"La gente por lo visto no conoce la ""inteligencia artificial"""
2022-07-06T20:12:41.000Z,De 6.400 millones de dólares de inteligencia artificial al mundo todo. A pesar de la crisis y a pesar del Estado.
2022-07-06T20:11:33.000Z,"Economía del conocimiento: Nos reímos de ""Argenzuela"", paraguayos que ni hablan inglés ni saben de inteligencia artificial, pero, aún reconociendo a la China, los argentinos logran atraer empresas taiwanesas (y no Paraguay) y exportan más..."
2022-06-01T19:40:19.000Z,"...que la producción de alimentos es el foco. Nadie habla de transformar la realidad hacia nuevos horizontes diferentes al escenario actual. Gastronomía, música, cine, danza, eventos, indumentaria, inteligencia artificial, plataformas en redes es la nueva vanguardia."
2022-04-13T00:58:27.000Z,Avances en la Inteligencia Artificial: Google creó un bot que entiende y puede explicar chistes - Infobae.El día que falleció el sarcasmo 
2022-03-24T23:52:14.000Z,"Inteligencia artificial, vendetta, alien, ni se te ocurra ni pensarloKe jsjsjsj"
2022-03-21T22:07:16.000Z,¿Puede la inteligencia artificial detectar malformaciones intracraneales fetales?
2022-02-08T13:53:23.000Z,Realmente nuestros móviles tienen inteligencia artificial y telepática. No puede nio saltarme todas las publicaciones acordé a mis sentimientos  que le pasaaaa martaaaaaaa
2021-08-14T11:17:49.000Z,Como va a “vender” la Publicidad en tiempos de Inteligencia Artificial y Realidad Aumentada? Con una HUMANIDAD AUMENTADA en sus conceptos y materia prima 
2021-08-11T10:49:00.000Z,Hilo de inteligencia artificial en la justicia española importante leer 
2021-08-10T18:24:30.000Z,"tecnología para agilizar exponencialmente estos controles.Creemos que el futuro de las fiscalizaciones está en incorporar sistemas de inteligencia artificial en el control, para ir más allá del trabajo actual e incluso prevenir irregularidades y actos de corrupción.”"
2021-08-01T07:56:00.000Z,La Inteligencia artificial ha tomado el control
2021-06-23T02:02:00.000Z,Una ciudad inteligente nada tiene que ver con inteligencia artificial o sensores. Una ciudad es inteligente cuando los niños pueden caminar y andar en bicicleta de manera libre y segura. La tecnología es solo un plus.
2021-05-06T15:57:14.000Z,Ahora puedes hablar con Einstein gracias a esta inteligencia artificial https://hipertextual.com/2021/04/hablar-con-albert-einstein-inteligencia-artificial…
2021-04-05T02:11:33.000Z,"Sigo aprendiendo de @harari_yuval La intuición no es un invento de las mujeres, es la capacidad neuronal de reconocimiento de patrones conductuales, basados en ensayos, errores y aciertos. Las mujeres ya usamos los algoritmos de la inteligencia artificial. Que grande somos!!"
2021-03-25T23:41:44.000Z,"El Banco de Inglaterra rinde homenaje póstumo al genio y considerado padre de la informática y visionario de la #IA (inteligencia artificial), #AlanTuring."
2021-03-16T20:09:43.000Z,La edad de oro de la inteligencia artificial by @fjjariego https://minideas.substack.com/p/la-edad-de-oro-de-la-inteligencia-artificial?utm_campaign=post&utm_medium=email&utm_source=twitter…
2021-03-16T18:54:57.000Z,Crack Bro!!  Combatir la roya de soja  con inteligencia artificial https://corporativaglobal.com/combatir-la-roya-de-soja-con-inteligencia-artificial/…
2021-03-14T20:59:36.000Z,"Para innovar en el sector público se debe romper el paradigma: ""la Inteligencia Artificial es una idea fantasiosa"" La tecnología al servicio del ciudadano y modernización del Estado."
2021-02-15T17:29:50.000Z,Nunca usen Mac ..a veces actualiza solo y ni te avisa ..ha e inteligencia artificial 
2021-02-15T16:35:17.000Z,Capisimo Bro!! Buscan combatir roya de la soja utilizando inteligencia artificial https://abc.com.py/nacionales/2021/02/15/buscan-combatir-roya-de-la-soja-utilizando-inteligencia-artificial/… vía @ABCDigital
2020-12-06T01:21:30.000Z,Proyecto sobre inteligencia artificial fue el ganador del Premio Nacional Juvenil de Ciencias “Pierre et Marie Curie”  via @conacytparaguay
2020-11-23T13:47:01.000Z,"Ha llegado la última canción escrita por un robot de Inteligencia Artificial, usando una canción del rapero Eminem.La misma se trata de un tema de rap cuya letra critica al CEO de Facebook, Mark Zuckerberg.https://urbana.com.py/un-robot-de-inteligencia-artificial-critica-a-mark-zuckerberg-al-estilo-de-eminem/…"
2020-11-16T02:13:23.000Z,"Debe haber Inteligencia artificial involucrada para diferenciar entradas ""mala leche"" de las que son sólo ""aguerridas"".....es eso ó existe marcado sesgo de los periodistas."
2020-11-07T18:18:49.000Z,La Inteligencia Artificial es el futuro
2020-11-05T19:30:49.000Z,"Beato Carlo Acutis, nuestro amado  “beato millenial” intercede por nosotros para que el avance en las tecnologías de inteligencia artificial y robótica estén al servicio del bien común. Amén "
2020-10-04T22:02:00.000Z,Un paso más hacia la Dictadura Globalista: redes sociales censuran toda  críticas a OMS Y A LA VACUNA (COVID sigla en inglés de: Certificado de Identificación de Vacunación con Inteligencia Artificial)QUE  TEMEN? LA VERDAD?
2020-09-03T01:32:36.000Z,"""Este atentado virtual, de inteligencia artificial, pretende un hombre nuevo, sin energía vital, hoy se está creando la vacuna del mal, en los laboratorios del infierno, gracias al miedo a morir, que es nuestro miedo eterno"", temón de Cordera 2020"
2020-09-02T23:10:10.000Z,"Este trabajo fue realizado a través de una cooperación gestionada por el @miticpy con la Agenda Digital. Los resultados nos permitirán  analizar el uso de tecnologías emergentes como blockchain, IOT, Inteligencia Artificial en el proceso de digitalización del Estado.#goblabpy"
2020-08-26T19:51:40.000Z,"Neuralink, la empresa de Elon Musk centrada en la integración de tecnología de inteligencia artificial en el cerebro humano, anunció una muestra del dispositivo que están desarrollando . https://clarin.com/tecnologia/elon-musk-anuncio-demostracion-neuralink-funcionara-conexion-cerebro-inteligencia-artificial_0_ccSsRYyoC.amp.html?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter&__twitter_impression=true…"
2020-08-18T02:36:43.000Z,"""Un algoritmo decide las subidas de sueldo en Google. Departamentos de atención al cliente analizan la voz del teleoperador para conocer su estado de ánimo. El trabajador es convertido en robot, y el jefe en inteligencia artificial"" https://retina.elpais.com/retina/2020/08/15/innovacion/1597514019_618132.html?utm_source=Facebook&ssm=FB_CM#Echobox=1597666594…"
2020-08-16T05:28:08.000Z,Paraguayos presentarán artículo científico en Simposio Latinoamericano sobre Inteligencia Artificial
2020-08-04T19:12:15.000Z,"Me aceptaron un paper para el CLEI 2020. XLVI LATIN AMERICAN COMPUTING CONFERENCE, voy a estar en el Simposio LA de Investigación de Operaciones e Inteligencia artificial, disertación virtual. "
2020-07-17T11:35:04.000Z,"Ayer lo decía, la inteligencia artificial va a dejar sin laburo a muchos.@titevera @getchepihttps://thenextweb.com/neural/2020/07/16/how-an-ai-graphic-designer-convinced-clients-it-was-human/…"
2020-06-18T14:49:37.000Z,People: El futuro está en la inteligencia artificial La inteligencia artificial:
2020-06-02T23:11:22.000Z,Implementan inteligencia artificial para reconstruir cuerpo post cirugía de pacientes http://nanduti.com.py/2020/06/02/implementan-inteligencia-artificial-reconstruir-cuerpo-post-cirugia-pacientes/…
2020-05-22T11:43:05.000Z,COL. Medellin. C19. Caso de éxito.  Gestión de la Alcaldía. 4.000 servidores entrenados con simulacros previamente. 40 tests x contagiado. Plataforma on line. Inteligencia artificial.
2020-04-11T21:14:08.000Z,"Conferencia sobre conducta, economía e inteligencia artificial. El caso de la BIG DATA, llevada a cabo el martes 4 de febrero del 2020 en la Universidad @unid_unida"
2020-04-03T01:42:06.000Z,Tengo miedo que ella haya escrito esto... Lo que es la inteligencia artificial
2020-03-28T18:01:22.000Z,Varias empresas chinashan creado sistemas de detección de fiebre utilizando la #inteligenciaartificial #covid19 #coronaviruspy  en Honorable Camara de Diputados https://instagram.com/p/B-SWAhVFI5m/?igshid=1rtwobin94khw…
2020-03-24T21:46:55.000Z,Lo que pasara en el mundo 2020Trump @realDonaldTrump Brexit AI (inteligencia artificial)Tokio (JJOO suspendidos)Mars (viajes a marte)Climate (cambio climático)Xi ( Xi Jimping presidente de China)Recesión Modi (Narendra Modi 1er ministro de la India)
2020-03-14T13:14:06.000Z,Carme Artigas: “La #InteligenciaArtificial ayudará a controlar a los gobiernos y grandes empresas” | Tecnología | https://elpais.com/tecnologia/2020/02/21/actualidad/1582290641_645896.html…
2020-03-08T09:28:55.000Z,La abogada de 32 años que creó la materia Inteligencia Artificial en la carrera de Derecho en la UBA https://infobae.com/tecno/2020/02/22/la-abogada-de-32-anos-que-creo-la-materia-inteligencia-artificial-en-la-carrera-de-derecho-en-la-uba/…
2020-03-07T22:37:56.000Z,"Coronavirus, inteligencia artificial y una pandemia en tiempos de vigilancia digital"
2020-01-02T18:47:33.000Z,Google dice que ha desarrollado un sistema de inteligencia artificial que puede detectar la presencia de cáncer de seno con mayor precisión que los médicos.
2019-12-29T22:31:45.000Z,"Ahora que se habla de macrodatos e IA inteligencia artificial, tomando el poder, incluso posicionando prioridades politicas, y movilizando a la sociedad, es posible reflexionar que los ""flujos de datos"" son como la electricidad.Siempre estuvieron aquí, entre nosotros. Abro hilo."
2019-12-21T11:49:11.000Z,"Esto sí es inteligencia artificial y no macana! La app traduce bien aunque la frase original esté mal escrita. He dicho, CASO CERREDO! "
2019-12-20T10:52:29.000Z,Finlandia creó un curso sobre inteligencia artificial para sus ciudadanos y ahora está disponible gratis para el resto del mundo https://genbeta.com/p/303682?utm_source=twitter&utm_medium=social&utm_campaign=botoneramobile… vía @genbeta
2019-12-17T09:26:57.000Z,"La seguridad, es la suma del talento humano, recursos materiales y tecnológicos (RRHH + RRMM + RRTT).Cuando me contaron quien estaba a cargo de la adquisición de tecnologías me expliqué porque no cerraban un polígono geográfico con inteligencia artificial en la zona del EPP."
2019-12-17T09:04:28.000Z,"La instalación el día de ayer del Centro Integrado de Operaciones de Frontera (CIOF) con inteligencia artificial en la triple frontera por parte de  modifica radicalmente el control sobre las personas en ese punto. Geopolítica, justicia transnacional.Nada es por casualidad."
2019-12-09T23:30:27.000Z,"5,6,7,8Fuerte impulsó a: sustentabilidad,autos eléctricos, internet de las cosas y la inteligencia artificial. Acentúan expediciones a Marte, Guerra de la tv streaming...."
