postDate,responding
2022-12-28T21:28:19.000Z,"@personalpy no funciona el servicio de flow, Internet y tampoco se puede reclamar por el call center, zona Ñemby Mbocayaty sería."
2022-12-28T14:45:06.000Z,"@TigoParaguay gracias por los favores recibidos, a 24 horas esperando el servicio técnico, sin internet y sin tv. Ahh pero un día de atraso con ustedes ha tai rasyicha pe poro torva"
2022-12-28T11:29:34.000Z,Mi jefa me pidió que le ancle internet  y está viendo tiktok ok ? 
2022-12-27T19:17:26.000Z,Servicio de limpieza del hogarInternetCafé https://twitter.com/labonita_sv/status/1607779343312519169…
2022-12-27T17:12:31.000Z,"La app de WhatsApp para la computadora era buena, le actualizaron y parece Internet Explorer"
2022-12-26T21:09:09.000Z,Encima que me van a cobrar el Internet que no estoy teniendo en la próxima factura y tienen el tupé de mentirme y agendan el servicio técnico cuando se les canta no cuando yo voy a estar!! Que porquería de servicio @TigoParaguay  Harta!
2022-12-26T15:32:20.000Z,"Que tedioso es el call center de @TigoParaguay 1000 opciones para que terminen no solucionándote NADA, un castigo, el servicio de internet es pésimo, la atención es horrible, todo es HORRIBLE!!!"
2022-12-24T16:39:05.000Z,Para estas cosas pago internet.Encontré el Santa tracker.
2022-12-24T14:47:49.000Z,Por esto pago Internet  https://twitter.com/GUARANIPOSTERS_/status/1606661492048531459…
2022-12-23T20:00:53.000Z,Hola @personalpy sin servicio de internet y no puedo comunicarme con atención al cliente
2022-12-23T15:34:12.000Z,"El que pidió ropa por internet,para estas fiestasPero le llega el 3 de enero recién...."
2022-12-23T13:48:13.000Z,"cosas como el suicidio, lesionarse, cortarse, irse de la casa, si antes no lo vio o no se lo sugirieron en otra parte. Internet es un 3er padre y no tiene problema en alimentarlos de violencia digital si los otros padres no hacen su trabajo.Cuiden la salud mental de sus hijos."
2022-12-23T13:48:11.000Z,"prohibiciones o límites que los padres impusieron y tenían  que ver con el uso de Internet.4) En acciones puntuales como falta de sueño, inapetencia, tristeza, que se acentúan cuando llega la hora de ir a la escuela o hacer clases digitales. Hay que prestar mucha atención al"
2022-12-23T13:48:09.000Z,"2) En las interacciones en grupos abiertos, en Internet, sobre todo en juegos, servicios de mensajería o redes sociales, donde pueden relacionarse con pedófilos, pederastas y ciberdelincuentes que fingen ser niños y que atenten contra su integridad y seguridad."
2022-12-22T15:48:32.000Z,"Los juguetes conectados a Internet son un riesgo potencial para la privacidad e intimidad de nuestros hijos. Aprendamos a configurarlos.¡Ah! Un Smartphone, no es un juguete."
2022-12-22T12:25:38.000Z,"@TigoParaguay son lo peor, cancelas el internet y no retiran su router, no pasan a retirar el router, le querés entregar en su local de Multiplaza y no quieren agarrar y ahora me llama NEXO x una deuda @sedecopy @Telefuturo @ABCDigital @UltimaHoracom @sntcanal9 @trecepy"
2022-12-21T13:08:41.000Z,"𝙁𝙄𝘽𝙀𝙍 ¡Nuestra Compañía sigue ampliando su cobertura en todo el país, llegamos a la zona de ""𝘾𝙤𝙨𝙩𝙖 𝙁𝙡𝙚𝙞𝙩𝙖𝙨"" en la ciudad de Areguá con FIBER, internet fibra óptica hasta el hogar!"
2022-12-19T03:51:12.000Z,Alguien puede organizar la colecta? @danysanchezpy @rodyrivarola y otros estan sin Internet...   
2022-12-19T02:45:43.000Z,"Sorry, pero sáquenle el internet jajaja"
2022-12-18T21:01:12.000Z,Textos: @Vernica07217584 Foto: Internet.Cdramas para aprender chino mandarín#Yushuxin #EstherYu #LuzdeLuna
2022-12-17T19:55:53.000Z,Internet explorer 
2022-12-16T23:47:56.000Z,NAVEGAREMOS POR LAS MARAVLLOSAS REDES DE LA INTERNET PROYECTO TIC 300 MILLONES UE 2002   2.020 Pandemia  DONDE ESTA LA PLATA BLANCA OVELAR
