postDates,tweets,sentiment_label,polarity_score
2022-12-28T21:28:19.000Z, no funciona el servicio de flow Internet y tampoco se puede reclamar por el call center zona Ñemby Mbocayaty sería,neu,0.0
2022-12-28T14:45:06.000Z, gracias por los favores recibidos a horas esperando el servicio técnico sin internet y sin tv Ahh pero un día de atraso con ustedes ha tai rasyicha pe poro torva,pos,0.2669999999999999
2022-12-28T11:29:34.000Z,Mi jefa me pidió que le ancle internet y está viendo tiktok ok ,pos,0.75
2022-12-27T19:17:26.000Z,Servicio de limpieza del hogarInternetCafé ,pos,0.25
2022-12-27T17:12:31.000Z,La app de WhatsApp para la computadora era buena le actualizaron y parece Internet Explorer,pos,0.6
2022-12-26T21:09:09.000Z,Encima que me van a cobrar el Internet que no estoy teniendo en la próxima factura y tienen el tupé de mentirme y agendan el servicio técnico cuando se les canta no cuando yo voy a estar Que porquería de servicio Harta,pos,0.542
2022-12-26T15:32:20.000Z,Que tedioso es el call center de opciones para que terminen no solucionándote NADA un castigo el servicio de internet es pésimo la atención es horrible todo es HORRIBLE,neg,-1.608
2022-12-24T16:39:05.000Z,Para estas cosas pago internet Encontré el Santa tracker,pos,0.25
2022-12-24T14:47:49.000Z,Por esto pago Internet ,neu,0
2022-12-23T20:00:53.000Z,Hola sin servicio de internet y no puedo comunicarme con atención al cliente,neu,0.0
2022-12-23T15:34:12.000Z,El que pidió ropa por internetpara estas fiestasPero le llega el de enero recién ,pos,0.375
2022-12-23T13:48:13.000Z,cosas como el suicidio lesionarse cortarse irse de la casa si antes no lo vio o no se lo sugirieron en otra parte Internet es un er padre y no tiene problema en alimentarlos de violencia digital si los otros padres no hacen su trabajo Cuiden la salud mental de sus hijos,pos,0.0799999999999999
2022-12-23T13:48:11.000Z,prohibiciones o límites que los padres impusieron y tenían que ver con el uso de Internet En acciones puntuales como falta de sueño inapetencia tristeza que se acentúan cuando llega la hora de ir a la escuela o hacer clases digitales Hay que prestar mucha atención al,neg,-0.95
2022-12-23T13:48:09.000Z, En las interacciones en grupos abiertos en Internet sobre todo en juegos servicios de mensajería o redes sociales donde pueden relacionarse con pedófilos pederastas y ciberdelincuentes que fingen ser niños y que atenten contra su integridad y seguridad,pos,0.434
2022-12-22T15:48:32.000Z,Los juguetes conectados a Internet son un riesgo potencial para la privacidad e intimidad de nuestros hijos Aprendamos a configurarlos ¡Ah Un Smartphone no es un juguete,neg,-1.125
2022-12-22T12:25:38.000Z, son lo peor cancelas el internet y no retiran su router no pasan a retirar el router le querés entregar en su local de Multiplaza y no quieren agarrar y ahora me llama NEXO x una deuda ,neu,0.0
2022-12-21T13:08:41.000Z,𝙁𝙄𝘽𝙀𝙍 ¡Nuestra Compañía sigue ampliando su cobertura en todo el país llegamos a la zona de 𝘾𝙤𝙨𝙩𝙖 𝙁𝙡𝙚𝙞𝙩𝙖𝙨 en la ciudad de Areguá con FIBER internet fibra óptica hasta el hogar,pos,0.6
2022-12-19T03:51:12.000Z,Alguien puede organizar la colecta y otros estan sin Internet ,pos,0.25
2022-12-19T02:45:43.000Z,Sorry pero sáquenle el internet jajaja,neu,0
2022-12-18T21:01:12.000Z,Textos Foto Internet Cdramas para aprender chino mandarín#Yushuxin #EstherYu #LuzdeLuna,neu,0
2022-12-17T19:55:53.000Z,Internet explorer ,neu,0
2022-12-16T23:47:56.000Z,NAVEGAREMOS POR LAS MARAVLLOSAS REDES DE LA INTERNET PROYECTO TIC MILLONES UE Pandemia DONDE ESTA LA PLATA BLANCA OVELAR,neu,0
2022-12-16T22:21:11.000Z, estimado hace más de horas estoy sin internet en la zona de San Lorenzo Espero que me llegue mi descuento prorrateondo las horas que no están presentando servicio porque me veré obligado a cambiar de servicio saludos ,pos,0.5
2022-12-16T20:23:32.000Z,E visto la discusión ridícula de Blanca Ovelar y Enrique Riera y esos son Senadores nada dijeron todo está en internet si uno quiere saber de la famosa donación o limosna de la UE no sirve para nada y su porquería de trans Educativa No Sirve,pos,2.5629999999999997
2022-12-16T17:03:37.000Z,Si se usara el mismo tiempo en leer pensar escuchar pensar que en tirar mierda el internet en Paraguay sería gratis,neg,-0.64
2022-12-14T12:19:29.000Z,Es una burla y una total falta de respeto los precios de packs de internet de aparte de ser los más altos te debitan tu saldo hasta por respirar No puedo creer que hasta tenga precios más bajos Creo que es hora de empezar trámites para mudar de compañía,neg,-0.896
2022-12-14T00:24:14.000Z,Hace más de horas desde ayer lunes hs sin Internet ni televisión flow Qué ocurre No hay solución aún ni explicación nada,neg,-0.25
2022-12-13T21:41:02.000Z,A excepción de mi amigo que le odia y hoy se quedo sin Internet ,neg,-1.0
