postDates,tweets,sentiment_label,polarity_score
2022-12-26T18:05:10.000Z,Alguien del MITIC para actualizar el certificado SSL de ,pos,0.563
2022-11-10T01:20:44.000Z, Millones de DÓLARES para el #CensoPy y LO MÁS creativo que se les ocurre para captar a no censados es un formulario y correo de Gmail Deeejateee de joder No pueden manejar asíY el MITIC que está direccionando la licitación de su Datacenter para variar ausente,pos,0.25
2022-10-31T15:41:50.000Z,Revisión de propuesta de modificación del proyecto de redes de telecomunicaciones del MITIC Nos juntamos en reunión técnica con la UEPP del y con su par del TIC para la revisión de la propuesta de modificación del proyecto de redes de telecomunicaciones,pos,0.292
2022-09-06T15:57:02.000Z,Enriquecedora experiencia con Mujeres en puestos Directivos y Gerenciales Gracias por la invitación Programa Asunción Resiliente es organizado en el marco de la alianza entre Fundación Avina y CITI Foundation junto con el Ministerio de Tecnologías MITICy Fund PYA,pos,1.308
2022-07-22T20:18:34.000Z,A sus secuases escondidos en MITIC lo que hay que sacar,neg,-0.39
2022-03-18T15:01:34.000Z,Sergio GodoyPorque el senador Sergio Godoy ANR plantea eliminar el rango de ministerio de Niñez y Adolescencia Desarrollo Social y agrega MITIC nos acaba de avisar Plantea que todas vuelvan a ser secretarias porque “generan un excesivo gasto en salarios de altos mandos”,pos,0.268
2022-03-13T02:46:05.000Z,Una chapa Y le pones a ministro de MITIC en Qué tavyron vd Pero soñar no cuesta nada,neu,0.0
2022-03-04T15:40:13.000Z,El Mitic posiblemente sea la institución más inútil que tiene el país,neg,-0.333
2022-02-17T23:34:34.000Z,No estuvo por ahi O esta de vacaciones en accion ,pos,0.375
2021-11-19T14:26:10.000Z,Un tremendo anuncio como la vacunación c COVID de estudiantes en escuelas no puede hacerse a la ligera Mario Abdo lo hizo de sorpresa en un discursoSalud convocó a conferencia a las hsY el MEC a conferencia las hsMITIC qué tal si nos organizamos,neg,-0.625
2021-11-19T13:06:29.000Z,Con fondos de Petropar Mitic pagará G millones por campaña provacuna años de fracaso Peralta Vierci y Saguier con presupuesto de U millones del BID pagara con dinero de PETROPAR campaña de difusion de G miillones OSOMA EL MITICPIO,neg,-0.39
2021-11-08T15:12:30.000Z,#TransformacionDigital en tanto y cuánto los estamentos de Estado publiquen informes de datos sobre los servicios que se dan en medidas sobre interrupciones tarifas seguridad de redes se podrá hablar de apertura a la transformación ,pos,0.375
2021-08-20T20:20:00.000Z,Nadie habla de los cargos politicos que tiene Desire masi de guizzio de Arregui de la cualquier cantidad de jefaturas que pone Esperanza Martinez en el Min de Salud De que años el Pte del Mitic fue Alejandro peralta Vierci cupo del grupo vierci y millon ejemplos mas,pos,0.33499999999999996
2021-07-30T20:37:26.000Z,Imaginate ser un bachiller ganar en el Mitic y encima tener que pagarle sueldo mínimo a la empleada doméstica No hay derecho lo único que falta es que le obliguen a ponerle IPS también estamos todos locos,pos,0.3079999999999999
2021-06-30T20:13:40.000Z, El problema no es MITIC como Institución Ambas alas la Tecnología y la Comunicación van de la mano Y más en el tiempo que vivimos Transmisión efectiva El problema es otro y lo afirmo con todas las letras,neg,-0.624
2021-06-08T15:01:30.000Z,Loable su buena intención Le banco El Mitic lo que no tenía una buena estrategia de comunicación ,pos,1.7000000000000002
2021-05-27T16:04:17.000Z,Asume el nuevo director de Mitic Fernando Saguier Caballero,pos,0.625
2021-03-10T23:49:44.000Z,Y que esperamos de Brunetti en el MEC nada el que fué asesor luego precandidato a intendente cambió eso por MITIC y antes de trabajar pasa al MEC es algo asi como un funcionario polifuncional donde falta alguién lo lleva,neg,-0.275
2021-03-10T19:22:59.000Z,Hijo de Bernardo Saguer C Itaipu mano derecha de JUSTO CARDENAS Indert concedio miles de pozos que no se hicieron Jose Martinez BUNQUERS designado interino del MITIC QUIEN LOS ELIGE,pos,0.42500000000000004
2021-03-10T15:40:37.000Z,Este Marito es boludo de nacimiento HC le dijo bièn que Brunetti al MEC pero le envió al MITIC menos mal ahora corrigió pero ya ligó un apysarapó ,neg,-0.5
2021-03-09T22:29:58.000Z,Abogo porque el próximo Ministro de MITIC tenga el perfil técnico y la experiencia que se requiere para el alto cargo Necesitamos técnicos con visión y capacidad de gestión pública,pos,1.912
2021-03-09T22:16:53.000Z,Villamayor vio por dos segundos la cartera del MITIC libre y quiso volver a la arena polítika,neg,-0.25
2021-02-24T17:04:24.000Z,Día histórico Seguimos trabajando Firma del convenio entre el MITIC y Convencidos que la tecnología es un elemento fundamental para lograr la transparencia y fomentar la seguridad jurídica,pos,0.856
2021-02-22T22:26:34.000Z,El MITIC es una de las instituciones mas inutiles En años sin meritos salvo un presupuesto de U millones de cuyo destino nada se sabeEl ministro Peralta Vierci fue salvado por Marito miembro de su entorno instalando a JM Brunetti en otro enroque politico a medida,neg,-0.062
2021-02-21T14:32:39.000Z,El q más sabe de los proyectos q marcarán historia ahí en es el ex Director General quien configuró el MITIC y lastimosamente Peralta Vierci se desvió de lo q él le diseñó y se cansó diciéndole que a los que trajo no entendían la visión Estado y Política,neg,-0.281
2021-02-13T17:27:02.000Z,Mitic con nuevo rumbo,neu,0
2021-02-11T02:59:05.000Z,#Politikeando #DicenQueMe contaron también que al tal uno de los principales asesores en comunicación de Nenecho le ofrecieron ser Viceministro de MITIC para abandonar al actual intendente él rechazó la propuesta,pos,0.504
2020-12-29T04:33:42.000Z,Ya no se más si Telefuturo es el espacio del Mitic o el Mitic una productora para Telefuturo ,pos,0.625
2020-11-22T02:49:59.000Z,Dos son los pelos de la fibra óptica de este tramo están destinados al MITIC A inicios del año que viene se realizará la conexión de escuelas al troncal para que tengan internet gratuito,neg,-0.281
2020-11-16T04:02:00.000Z,Que puede opinar una abortista sobre VIVIR Y RESPIRAR ahora de billetera si se nota que sabe defendiendo al gobierno corrupto de su patrón con tal de seguir saqueando a manos desde el Mitic #incendiariaDeIglesias#telofacturo,neg,-0.06700000000000006
2020-10-02T19:01:52.000Z,Combo completo de la política paraguaya hoyMarito desaparece durante las crisis en el país que gobierna pero aparece para apoyar a TrumpMarly reapareció sólo para reirse de todos yEl MITIC laburó x ra vez pero sólo para eliminar las redes de Carlitos Rejala,pos,0.43799999999999994
2020-09-09T17:35:36.000Z,Además el MITIC solicitó al Registro civil que se expida sobre la existencia o no de actas digitalizadas anteriormente a lo que respondieron por nota que no existía más nada de lo que fue digitalizado porque se perdió Por de pronto el proyecto fue suspendido,pos,0.26
2020-09-09T17:35:36.000Z,El proyecto digitalización del es un proyecto elaborado por esa institución y avalado por el quien solicita al su inclusión en la Agenda Digital El Equipo técnico del MITIC sólo evalúa que la tecnología propuesta sea acorde HILO,pos,0.8860000000000001
2020-09-05T20:41:23.000Z,Alguien debería demandarle a Peralta Vierci por el papelón del MITIC En todo caso que ponga de su bolsillo lo que se perdió bajo su gestión Que carajos les pasa a Uds que piensan hacer vito del dinero público En estarías fuera y procesado por la justicia ,pos,1.0959999999999999
2020-09-04T02:04:45.000Z,Cc Alejandro Peralta Vierci MITIC y al farandulero Lucas Balmelli,neu,0
2020-07-12T16:17:59.000Z,funcionariodelmiticdapositivoacoronavirusypidenautorreportedecontactos,neu,0
2020-07-10T23:03:15.000Z,unsegundocontagiadodecoronavirusseconfirmaenelsenodelmitic,neu,0
2020-07-09T19:09:56.000Z,#URGENTE Un funcionario de MITIC con funciones en predio de la TV Pública dio positivo a COVID Otros funcionarios fueron sometidos a la prueba y se aguardan los resultados MITIC decidió el cierre de esta dependencia por un plazo de hs ,pos,0.28200000000000003
2020-06-29T23:42:23.000Z,El Viceministro del MITIC Martin disfrutando ayer en la Costanera de un dia soleado y sin las precauciones ordenadas por el propio gobierno Si ellos no cumplen con#quedateencasa Como se le exige al comun que lo haga,pos,1.052
2020-06-16T15:57:49.000Z,El debate se desarrolla estudiantes proveedoras MEC MH MITIC CONATEL Uno de los pytos fue presentado por quien dijo q tiene por objetivo incentivar mediante del acceso gratuito a internet el uso de plataformas online pcapacitaciones formación y educación,neg,-0.10800000000000004
2020-04-21T04:28:02.000Z,Cuanto lo que cuesta tenerles en el MITIC,neu,0
2020-04-20T03:13:49.000Z,Según dijo hoy Carla Bacigalupo el sector textil se levantó y está mejor que antes por la posibilidad de hacer tapabocas Asusta lo desorientadas que están las carteras de Trabajo Industria y Comecio Educación y el MITIC en el momento en que más se necesitan sus acciones,pos,1.35
2020-04-18T12:04:13.000Z,Ya tienen MITIC por eso no les afecta mucho Pero la justicia tarda pero llega ,pos,0.25
2020-04-16T13:51:12.000Z,Viceministro de Mitic sigue desarrollando nuevas funcionalidades de plataforma virtual para realizar un seguimiento eficiente y cercano a las personas que deben guardar cuarentena por #COVID en Paraguay ,pos,1.267
2020-04-15T00:35:40.000Z,Fundación Paraguaya ofreció canal online para desarrollar contenido gratuito pero recibió portazo del MEC y MITIC,neg,-0.281
