postDate,responding
2022-12-16T12:35:32.000Z,"Hay otros captchas mucho más divertidos que en nuestro caso, podría ser una pregunta jurídica con selección múltiple, así demostramos que no somos robots y de paso, aprender y repasar nuestro conocimiento.Además, el que no puede abrir, no merece entrar luego."
2022-12-15T18:23:59.000Z,"Es horrible... basta con poner el de ""no soy un robot"" y tildar y listo"
2022-12-15T13:41:48.000Z,Como cuesta hacer las cosas cuando uno está triste !! Ando tan modo robot por que si hablo mucho.. lloro.. 
2022-12-09T17:38:03.000Z,"Son robots los Croatas boludo, no puede ser que no se cansen y estén corriendo con el mismo ritmo por 2 horas."
2022-12-09T01:02:27.000Z,"Tengo un robot, yo lo hago fun cio nar"
2022-11-29T14:26:03.000Z,"Y pensar que solo unos años atrás su vida eran fotos de fans, admiración, cámaras, bailarinas, D&J hasta el pasito del robot..... todo eso años de trabajo honesto tiro a la basura, gran visionario el @pionerodj de lo que zafó "
2022-11-22T10:31:00.000Z,Ese robot está emputeciendo el fulvo
2022-11-13T17:43:30.000Z,Frito el robot https://twitter.com/AlertaNews24/status/1591843190013054977…
2022-10-08T23:05:13.000Z,"No hay otro como el, el es un robot? Se viene un 2023 con muchos goles a los equipos de barrio!y avenida  @diegofer_02  felicidades apa! Feliz año gracias por todo "
2022-10-01T18:16:14.000Z,Hoy es un buen día para sorprender a los chicos con autitos o robot de madera !!!Aprovecha este lindo #sabado y pasá por la Feria de la Asacivapa en Plaza Oleary en el centro de #Asuncion 
2022-10-01T16:51:55.000Z,Pero cuál es el robot?
2022-09-30T00:08:40.000Z,"Boludo es un Robot con Fallas, no hay otra explicación "
2022-09-18T18:37:41.000Z,Un robot buceador humanoide explora naufragios en el fondo del océano https://cnnespanol.cnn.com/2022/07/30/un-robot-buceador-humanoide-explora-naufragios-en-el-fondo-del-oceano/… #RobotHumanoide #BuceadorHumanoide
2022-09-05T17:47:29.000Z,Robots constructores.El futuro es mejor o peor?A mi todavía me gusta el trabajo artesanal de un buen albañil.Pero el avance tecnológico es imparable.
2022-09-01T20:01:19.000Z,"""Casi el 75% de cada página del diario #5Días lo puede hacer un robot, con los datos públicos, como el del @BCP_PY, la de la @bvaoficial"", @JacintoERuiz."
2022-08-03T05:09:02.000Z,"Hoy me olvidé de que día era, solo se de fechas, porque tengo que cerrar infórmes y ser robot, trabajar para trabajar"
2022-08-01T10:13:25.000Z,"Según la Biblia, somos robots "
2022-07-31T23:23:06.000Z,"31 de julio de 2022 nació George Jetson, quedan 40 años para que nos movamos por el cielo y usemos robots como algo muy normal "
2022-07-29T21:51:25.000Z,From full stuck to full stack...Ahre tranquilo Mr.Robot
2022-07-26T11:04:58.000Z,La otra semana empiezo el gym y me sopla viento00⁰000000 parezco un robot 
2022-07-25T17:21:30.000Z,Mi sueño: tener personales que sean robots 
2022-07-24T21:01:05.000Z,Robots fueron detectados.  Se mantienen resultados anteriores.El OSINT detectó.Le bajan a Euclides y le suben a Soledad.
2022-07-24T19:25:11.000Z,Los robots votaron por Beltran Macchi y le dejan a Duarte de la UIP más atrás. Pero fue detectado por el OSINT. Seguimos...
2022-07-23T17:36:13.000Z,En este almacén de Londres trabaja un ejército de 2.000 robots
2022-07-21T13:45:53.000Z,Un robot de concreto https://twitter.com/Mariano_FdB/status/1550006977283112960…
2022-07-12T12:10:55.000Z,"Hoy lo tuve que ver forzado con papá - aclaro -, y ahora mi comentario: cada vez más ridículo el bloque deportivo de las 7:30 horas en canal 4. 0 simpatía, ese relleno de fútbol argentino con los nombres, apellidos, apodos y marcantes ya no da. Y ese robot gua'u que saluda. "
2022-06-28T22:26:59.000Z,Volveré a cantar Robot y Scars en el Kilkfest  Dios permita
2022-06-25T01:21:28.000Z,"Perseverance, que nombre más acertado (Aunque yo voté por otro nombre).En unas décadas más, si todo sale bien la humanidad estará caminando sobre la superficie rocosa de Marte. Y todo eso gracias al esfuerzo de Perseverance y otros robots que trabajan y trabajaron ahí."
2022-06-24T15:32:56.000Z,"Porque Love, Dead + Robots era quien traía la vara alta, pero de esta temporada solamente le salva Jibaro"
2022-06-24T10:35:20.000Z,"Utopía, Proyecto, deseo o plan ideal, atrayente y beneficioso, generalmente para la comunidad, que es muy improbable que suceda o que en el momento de su formulación es irrealizable.*A no ser de que sea entre robots, suprimiendo el libre albedrío."
2022-06-19T19:40:45.000Z,"Les recomiendo 1000 la serie Love, Death & Robots, en Netflix... Por fin encontré entretenimiento de nuevo en esa plataforma"
2022-06-04T00:42:05.000Z,Tengo en la cabeza solo el coro de la canción de Shak hablando como robot... Te fe li ci to que bien ac tu as
2022-05-30T03:26:35.000Z,"Obsesionada MAL con la serie Love, Death and Robots "
2022-05-22T23:50:14.000Z,"Love, Death & Robot es lo mejor de netflix en animación. Te explota la cabeza."
2022-04-13T21:48:34.000Z,"Ahora viendo el noticiero dw @nhk_news, la explicación de las noticias los hace un robot con AI... Solo los presentadores son humanos "
2022-04-13T02:52:58.000Z,Se tenía que quedar a hacer el pasito robot nomas  https://twitter.com/2Dooodles2/status/1514061124022509572…
2022-04-03T05:36:39.000Z,estoy llorando viéndole a marina en el lollapalooza brasil cantando ‘i am not a robot’ pensando que nunca la voy a ver en concierto.
2022-03-08T11:55:23.000Z,"Para @FOXDeportes, @FOXDeportesNews y producción. #MLBenFD. En este día, si particularmente fuera el comisionado, incluiría a mujeres como umpires que esos robots desde las Menores en adelante y devolvería la esencia del béisbol."
2022-03-05T21:32:01.000Z,Yo sé que el cliente no tiene la culpa de que no me vaya a la cancha pero como un sábado de tarde me van a enviar facturas y romperme los huevos con algo que se puede solucionar en mi horario de oficina?NO ESTOY DE HUMOR Y TAMPOCO SOY UN ROBOT QUE TRABAJA 24HS DE LUNES A LUNES
2022-02-10T20:14:18.000Z,Robot o pescaditos celestes
2022-02-05T19:14:07.000Z,El robot para Paraguay
2022-02-04T13:53:47.000Z,"Arcoiris, la empresa del sector alimentos, está cerca de dar un paso gigantesco al implementar el uso de robots en los procesos de producción, que ayudará a cumplir con la alta demanda de sus productos a nivel local e internacional. Revista @RevistaFocoPy"
2022-02-04T12:07:08.000Z,"No hay necesidad de que me llamen a las 11 de la noche para decirme que el timbrado de su factura ""ESTÁ POR VENCER"" Odio que no respeten el horario en mi corazón me duele que me llamen fuera del horario de oficina, SOY UN SER HUMANO NO UN ROBOT QUE FUNCIONA 24HS"
2022-01-17T13:52:03.000Z,"@ItauParaguay Que verguenza la atención del call center ,aparte de que te colocan un asesor de cuentas, el tipo no responde ni aparece  y llamas al call y te atiende un robot , el procedimiento dicen, que mal estamos burocracia hasta en la banca privada agante me va tocar."
2022-01-08T01:07:13.000Z,Perdón robots.txt
2021-12-26T17:39:46.000Z,Jena es espectacular. Pide que no le tengan miedo a los robots.
2021-12-23T15:54:55.000Z,Cual es la marca del robot aspiradora ?
2021-12-10T21:36:11.000Z,"Una vez más aplazados en SALUD MENTAL! LOS MEDICOS SON PERSONAS NO ROBOTS, BASTA DE ABUSOS CON LA CARGA HORARIA!"
