postDates,tweets,sentiment_label,polarity_score
2022-12-16T12:35:32.000Z,Hay otros captchas mucho más divertidos que en nuestro caso podría ser una pregunta jurídica con selección múltiple así demostramos que no somos robots y de paso aprender y repasar nuestro conocimiento Además el que no puede abrir no merece entrar luego,pos,0.9690000000000001
2022-12-15T18:23:59.000Z,Es horrible basta con poner el de no soy un robot y tildar y listo,neg,-0.41700000000000004
2022-12-15T13:41:48.000Z,Como cuesta hacer las cosas cuando uno está triste Ando tan modo robot por que si hablo mucho lloro ,neg,-0.79
2022-12-09T17:38:03.000Z,Son robots los Croatas boludo no puede ser que no se cansen y estén corriendo con el mismo ritmo por horas,neg,-0.531
2022-12-09T01:02:27.000Z,Tengo un robot yo lo hago fun cio nar,neg,-0.375
2022-11-29T14:26:03.000Z,Y pensar que solo unos años atrás su vida eran fotos de fans admiración cámaras bailarinas DJ hasta el pasito del robot todo eso años de trabajo honesto tiro a la basura gran visionario el de lo que zafó ,pos,1.8259999999999998
2022-11-22T10:31:00.000Z,Ese robot está emputeciendo el fulvo,neu,0
2022-11-13T17:43:30.000Z,Frito el robot ,neu,0
2022-10-08T23:05:13.000Z,No hay otro como el el es un robot Se viene un con muchos goles a los equipos de barrioy avenida felicidades apa Feliz año gracias por todo ,pos,1.277
2022-10-01T18:16:14.000Z,Hoy es un buen día para sorprender a los chicos con autitos o robot de madera Aprovecha este lindo #sabado y pasá por la Feria de la Asacivapa en Plaza Oleary en el centro de #Asuncion ,pos,1.401
2022-10-01T16:51:55.000Z,Pero cuál es el robot,neu,0
2022-09-30T00:08:40.000Z,Boludo es un Robot con Fallas no hay otra explicación ,neg,-0.375
2022-09-18T18:37:41.000Z,Un robot buceador humanoide explora naufragios en el fondo del océano #RobotHumanoide #BuceadorHumanoide,neg,-0.687
2022-09-05T17:47:29.000Z,Robots constructores El futuro es mejor o peorA mi todavía me gusta el trabajo artesanal de un buen albañil Pero el avance tecnológico es imparable,pos,1.803
2022-09-01T20:01:19.000Z,Casi el de cada página del diario #Días lo puede hacer un robot con los datos públicos como el del la de la ,pos,0.376
2022-08-03T05:09:02.000Z,Hoy me olvidé de que día era solo se de fechas porque tengo que cerrar infórmes y ser robot trabajar para trabajar,pos,0.7
2022-08-01T10:13:25.000Z,Según la Biblia somos robots ,neu,0
2022-07-31T23:23:06.000Z, de julio de nació George Jetson quedan años para que nos movamos por el cielo y usemos robots como algo muy normal ,pos,0.393
2022-07-29T21:51:25.000Z,From full stuck to full stack Ahre tranquilo Mr Robot,neu,0
2022-07-26T11:04:58.000Z,La otra semana empiezo el gym y me sopla viento⁰ parezco un robot ,neg,-0.375
2022-07-25T17:21:30.000Z,Mi sueño tener personales que sean robots ,neu,0
2022-07-24T21:01:05.000Z,Robots fueron detectados Se mantienen resultados anteriores El OSINT detectó Le bajan a Euclides y le suben a Soledad,neu,0
2022-07-24T19:25:11.000Z,Los robots votaron por Beltran Macchi y le dejan a Duarte de la UIP más atrás Pero fue detectado por el OSINT Seguimos ,pos,0.6
2022-07-23T17:36:13.000Z,En este almacén de Londres trabaja un ejército de robots,neu,-0.025000000000000022
2022-07-21T13:45:53.000Z,Un robot de concreto ,neg,-0.375
2022-07-12T12:10:55.000Z,Hoy lo tuve que ver forzado con papá aclaro y ahora mi comentario cada vez más ridículo el bloque deportivo de las horas en canal simpatía ese relleno de fútbol argentino con los nombres apellidos apodos y marcantes ya no da Y ese robot guau que saluda ,pos,0.10399999999999998
2022-06-28T22:26:59.000Z,Volveré a cantar Robot y Scars en el Kilkfest Dios permita,neu,0
2022-06-25T01:21:28.000Z,Perseverance que nombre más acertado Aunque yo voté por otro nombre En unas décadas más si todo sale bien la humanidad estará caminando sobre la superficie rocosa de Marte Y todo eso gracias al esfuerzo de Perseverance y otros robots que trabajan y trabajaron ahí,pos,2.6750000000000003
2022-06-24T15:32:56.000Z,Porque Love Dead Robots era quien traía la vara alta pero de esta temporada solamente le salva Jibaro,neu,0
2022-06-24T10:35:20.000Z,Utopía Proyecto deseo o plan ideal atrayente y beneficioso generalmente para la comunidad que es muy improbable que suceda o que en el momento de su formulación es irrealizable A no ser de que sea entre robots suprimiendo el libre albedrío,pos,1.488
2022-06-19T19:40:45.000Z,Les recomiendo la serie Love Death Robots en Netflix Por fin encontré entretenimiento de nuevo en esa plataforma,pos,0.531
2022-06-04T00:42:05.000Z,Tengo en la cabeza solo el coro de la canción de Shak hablando como robot Te fe li ci to que bien ac tu as,pos,1.142
2022-05-30T03:26:35.000Z,Obsesionada MAL con la serie Love Death and Robots ,neg,-0.375
2022-05-22T23:50:14.000Z,Love Death Robot es lo mejor de netflix en animación Te explota la cabeza,pos,0.625
2022-04-13T21:48:34.000Z,Ahora viendo el noticiero dw la explicación de las noticias los hace un robot con AI Solo los presentadores son humanos ,neg,-0.375
2022-04-13T02:52:58.000Z,Se tenía que quedar a hacer el pasito robot nomas ,neu,0
2022-04-03T05:36:39.000Z,estoy llorando viéndole a marina en el lollapalooza brasil cantando ‘i am not a robot’ pensando que nunca la voy a ver en concierto,neg,-0.14
2022-03-08T11:55:23.000Z,Para y producción #MLBenFD En este día si particularmente fuera el comisionado incluiría a mujeres como umpires que esos robots desde las Menores en adelante y devolvería la esencia del béisbol,neg,-0.25
2022-03-05T21:32:01.000Z,Yo sé que el cliente no tiene la culpa de que no me vaya a la cancha pero como un sábado de tarde me van a enviar facturas y romperme los huevos con algo que se puede solucionar en mi horario de oficinaNO ESTOY DE HUMOR Y TAMPOCO SOY UN ROBOT QUE TRABAJA HS DE LUNES A LUNES,neg,-1.775
2022-02-10T20:14:18.000Z,Robot o pescaditos celestes,pos,0.25
2022-02-05T19:14:07.000Z,El robot para Paraguay,neu,0
2022-02-04T13:53:47.000Z,Arcoiris la empresa del sector alimentos está cerca de dar un paso gigantesco al implementar el uso de robots en los procesos de producción que ayudará a cumplir con la alta demanda de sus productos a nivel local e internacional Revista ,neg,-0.13399999999999995
2022-02-04T12:07:08.000Z,No hay necesidad de que me llamen a las de la noche para decirme que el timbrado de su factura ESTÁ POR VENCER Odio que no respeten el horario en mi corazón me duele que me llamen fuera del horario de oficina SOY UN SER HUMANO NO UN ROBOT QUE FUNCIONA HS,neg,-0.375
2022-01-17T13:52:03.000Z, Que verguenza la atención del call center aparte de que te colocan un asesor de cuentas el tipo no responde ni aparece y llamas al call y te atiende un robot el procedimiento dicen que mal estamos burocracia hasta en la banca privada agante me va tocar,neg,-1.125
2022-01-08T01:07:13.000Z,Perdón robots txt,neu,0
2021-12-26T17:39:46.000Z,Jena es espectacular Pide que no le tengan miedo a los robots,pos,0.75
2021-12-23T15:54:55.000Z,Cual es la marca del robot aspiradora ,neu,0
2021-12-10T21:36:11.000Z,Una vez más aplazados en SALUD MENTAL LOS MEDICOS SON PERSONAS NO ROBOTS BASTA DE ABUSOS CON LA CARGA HORARIA,pos,1.0
2021-11-29T14:11:57.000Z,No pueden ponerle un nombre mas dramático y menos hollywodiense a la variedad esta del virusÓmicron le pusieron Cual robot de Transformers,neg,-0.09999999999999998
2021-11-11T19:32:34.000Z, qué pasó con el Chat online No quiero escribirme con el robot de WhatsApp ,neu,0.0
2021-11-02T23:14:34.000Z,Soy el esposo de jill ya lo sabemos mr robot jaja,pos,0.25
2021-10-28T02:05:26.000Z,Poco se habla de Mr Robot Esa es LA serie,neg,-0.375
2021-10-26T14:47:00.000Z,El #Robot de al intentar leer la receta del Doctor ,neu,0
2021-10-24T01:08:38.000Z,La NASA busca genios que consteuyan ROBOTS para cavar la luna Acà no podemos tapar un bache,neg,-0.375
2021-10-04T22:26:47.000Z,Eres tú Mr Robot,neu,0
2021-10-01T02:12:50.000Z,ROBOTS ESTA EN DISNEY ,neu,0
2021-09-24T20:33:27.000Z,Kawhi es un robot un robot con autismo ,neg,-1.0
2021-09-17T18:29:47.000Z,Una de las mejores inversiones de mi vida fue mi robot aspiradora Esperancito es parte de la familia ,pos,0.35
2021-09-16T13:20:35.000Z,En la gobernación Central hay una faltante de dinero y nuestro gobernador sigue haciendo el pasito del Robot Hay gente que entra con moto y sale con caminota Increíble lo permisivo que somos,pos,0.558
2021-09-02T04:16:10.000Z,Mazinger Z episodio el robot Génova M antes inminente derrota se dispara un tiro a la cabeza No lo recordaba para nada Que fuerte para la época en que lo veíamos #reportenostalgico,neg,-0.765
2021-08-31T16:49:30.000Z,Listen to the most recent episode of my podcast Esclavos o robot ,neu,0
2021-08-25T14:49:49.000Z,Dejarías que un abogado robot te defienda ,neg,-0.625
2021-08-17T23:16:50.000Z,Con tal que ni sea el pasito del robots del Nro todo bien ,pos,1.417
2021-08-01T02:29:16.000Z,Sábado tomando té y mirando Mr Robot ,neu,0
2021-07-29T12:05:07.000Z,No hace ko frío heí pero parece robot caminando con tanto abrigo puesto,neg,-0.292
2021-07-19T12:40:07.000Z,Parezco robot con toda la ropa que tengo puesta para abrigarme,pos,0.25
2021-07-07T17:00:46.000Z,Alguien sabe cuando Asena le va a pagar a sus robots#babaolmak,pos,0.25
2021-06-29T17:56:32.000Z,#Ereshkigal asesina de Chanchos Robot alto carrito por el evento #FateGrandOrder #GudaGudaFinalHonnouji #LancerClassServant #KurKigalIrkalla en Barrio Sajonia ,neg,-0.25
2021-06-25T14:13:22.000Z,De los creadores de Spider Dog acabo de descubrir a Robot Cat ,neu,0
2021-06-17T13:35:04.000Z,AstroRobot que atiende mesas en Miami Sabe donde están ubicadas las mesas Por falta de personal,neg,-0.5
2021-05-16T17:23:33.000Z,Estuvo bueno este nuevo volumen de Love death robots pero un episodio estuve flojito normal por ahí,pos,0.518
2021-05-14T14:18:13.000Z,Yo quería desayunar en silencio y con Love Death Robots pero los gatos eligieron el camino del parkour,neu,0
2021-05-02T05:34:06.000Z,Es que los robots no se embarazan no presentan reposo no tienen problemas de llegar aunque caiga nieve y encima no pagan impuestos Prefieren invertir en máquinas deshumanizar y empobrecer cada vez más,neg,-0.43700000000000006
2021-05-02T05:22:41.000Z,Ni soñando van a superar a las manos humanas Siguen con los robots para desemplear a peluqueras y no pagar impuestos les pillé pillín ,neg,-0.15000000000000002
2021-04-28T18:29:07.000Z,Robot that can cook a paella is causing quite a stir in Spain ,pos,0.25
2021-04-24T12:32:32.000Z,Top de las mejores series que vieron Breaking Bad Game of Thrones Sons of Anarchy mr robot TWD,neu,0
2021-04-21T06:57:41.000Z,Los robots que podrían asumir tareas básicas de atención médica para respaldar el trabajo de médicos y enfermeras pueden ser el camino del futuro ,pos,0.625
2021-04-20T09:59:45.000Z,En Ruanda hasta tienen doctores robots para cuidar a su primera línea Ellos tienen millones de habitantes y llegaron a fallecidos Un país africano pobre que está llevando mejor esta pandemia que nuestro país ,neu,0.0
