Tweet,Sentiment Label
baasssstaaaa panetton algoritmo instagram deja acosarmeee ahora tía laura x enserio,Negative
culpa algoritmo tiktok ahora gusta morat puedo dejar escuchar,Negative
quit spoti negocio porqu alteraban algoritmo playlist sagrada pueden afectar orden universo,Negative
vien aguinaldo aparecen tweet algoritmo,Neutral
conect spotifi alexa casa fundió algoritmo cristhian castro wrap,Negative
pfffff pelotudez fragilidad problema manía gusta bronco pongá desd playlist porqu caga algoritmo dejen etiquetar situacion pedo,Negative
algún algoritmo escuchó decir pistacho mart,Neutral
dio mio twitter tien mada filtro salta cada cosa lógica tien algoritmo porno salta,Negative
algoritmo ano farreamo llorón,Negative
algoritmo deezer jesúsuna canción escucha habitualment termina escuchando toda discografia dama grati,Positive
gusta foto gusta video gusta historia alguna vece pued ser forma coqueteo solo alguna vece gener likeo varia historia ant subir tema algoritmo,Positive
cf tw recomienda gent aguanto pésimo algoritmo,Negative
segura algoritmo tiktok sabe yendo gimnasio ahora contenido chica haciendo rutina brazo not complain tho,Positive
acabo tomarm aparec est tuit brujería algoritmo twitter,Negative
che vece leyendo tuit extenso onda actualiza sé página tuit desaparec hule leo gestionam solución problema algoritmo favor gracia,Negative
tranqui tranqui hoy algoritmo twitter,Positive
alguien sabe porqué repent desaparec ig algún algoritmo así col buscador aparec,Negative
confront irrita hablan tolerancia toleran divergencia diferencia… increíbl solo busca desacreditar validar razon algoritmo une aman une destruy silenc on,Negative
crea inlfuenc contesta comentario interé solo aumenta engag comentario instagram mientra má comentario respuesta aparezcan publicacion algoritmo tomará interesant aumentará alcanc,Neutral
facebook convirtió red social tan soret mismo algoritmo spoilea meme,Negative
odio algoritmo instagramqu piko pasaaaaa,Negative
bueno pued llegar ser algoritmo rede social últimament ando medio bajón desmotivado hoy entrando ver tiktok video motivacional impresionant levantó ánimo,Positive
querido algoritmo twitter dónde persona sigo si quería consejo seguir pedía serio pará na recomendado monopolizan tl,Negative
últimament siento único entiend algoritmo soundcloud,Positive
según nuevo algoritmo youtub part má vista vídeo super bowl sonel danc break jlo anilloqu calorjlo cantando let get loud junto hija emm jlo shakira cantando let get loud waka waka junta,Neutral
obviament importa tre hectárea censo argentino quedo re enganchada toda historia meme surgieron…encima di gusta algoritmo muestra,Negative
algoritmo detecta amenaza,Neutral
algoritmo permit decir vacu,Negative
algoritmo red jodido predec falta fuerza voluntad nomá juntando,Negative
¡me chupa huevo algoritmo ponem fuck precio puta parió,Negative
uber tien problema país depend característica eeuu europa poca ganancia d emo conductor algoritmo hace trabajar varia hora penaliza autoexplotan caso acoso asesinato etc lado,Negative
sad song for cri for an hour gracia algoritmo youtub ayuda,Negative
ahora burn twitter burnla verdad pedo escandalo vé pikachu solo vello púbico recortado detecta algoritmo mierda instagram,Negative
impr algoritmo instagram realment censura segun estética hegemónica,Negative
cómo puta algoritmo vida real así cuenta quiero reventar beso ah,Positive
quiero algoritmo instagram muestr animalito noma vez random puto pelando fisico gym,Negative
sé cómo algoritmo facebook sugirió diplomado provida bueno defensor vida desd visión agustín laje,Negative
sigo toda cuenta asado ig algoritmo hace trabajo luego,Positive
nunca voy terminar agradec algoritmo youtub ponerm frent vídeo niña hermoso rulo bonita sonrisa haciendo llamada hater iba creer ahora año despué admiraría tan orgullosa vo,Positive
vece da miedo algoritmo,Negative
ayer revancha algoritmo puedo explicar satisfactorio,Positive
algoritmo diagnóstico,Neutral
regla important si estudian alguna ingeniería nunca digan algoritmo programación va servir nunca,Negative
jjaaaajaaa algoritmo googl translat okañi gueterí hina,Negative
literalment algoritmo inaguant ko va ser si vuelvo llevar puta,Negative
cerebro vacacion cómo hago entend todavía pasé algoritmo,Negative
vida manejanel algoritmo spotifyel algoritmo instagrami estómago falta chip vacuna vida resuelta,Negative
materia mierda nm sobra algoritmo hdp,Negative
instant crush fondo mientra hago pausa seguir entrenando maldito algoritmo youtub,Negative
algoritmo prohiba publicidad política rede social,Negative
declaro fan profe algoritmo día anga rompo pelota error sistema encontraba entra meet transmitim pantalla ko dijoo nadi ningún profe nunca amo,Positive
investigando sobr universidad extranjero motivan má estudiar algoritmo mierda pued ser pueda conmigo,Negative
tik tok decir aguant algoritmo solo tira cosa michi anim danzateatro,Positive
fulano hecho comentario sobr parcial algoritmono quería entrar ver agradecido arriba xd,Positive
desgraciado algoritmo saltaron nota hacen ipad pro onenot demasiado quiero ser morra plumon digit hepyeterei,Negative
man wtf tik tok pura mina sacándos tanga algoritmo jodido jajaja messirv,Positive
controlarlo diseñen función impacto sobr persona algoritmo,Negative
algoritmo perverso verdad sabian tenia q decir,Negative
bodrio eliminar foto vieja drive recién exist algoritmo sepa sirven así pierdo tiempo rompo corazón nuevo viendo foto vieja,Negative
aclaracionest asunto top preferencia tiempo vece interacción algoritmo automático ¡todo excepcionales¡mbaret,Positive
algoritmo facebook jura puedo comprar departamento km mil adelant pura publicidad sale mark acá poniendol agua shampoo,Negative
muerta quis buscar vestido negro corto permitió porqu consideró racista creo pulir algoritmo llame,Negative
recuerdo habilité spotifi pc negocio reventaron playlist música soret tard montón arreglar algoritmo escuchando tema entenderían,Negative
mientra má republicano recinto má voto quita trump condado demócrata quito má voto congresista condado republicano peor demócrata ahí aplica algoritmo,Negative
descubren algoritmo pasaba porcentaj voto trump biden llegaba cierta cantidad mientra mejor iba trump má quitaban voto dar celo biden,Negative
