postDates,tweets,sentiment_label,polarity_score
2022-12-30T19:18:05.000Z,La tecnología en la educación y en la ciencia nunca van a ser un error,neg,-0.125
2022-12-30T18:48:50.000Z,Para tener en cuenta el número Para nosotros tal vez es muy obvio que es una estafa pero piensen en la gente mayor que no está muy familiarizada con la tecnología y si pueden adviertanles sobre este tipo de sms,pos,1.025
2022-12-29T17:27:39.000Z, no eras que ibas a estar desconectado cero tecnólogia ANDA DISFRUTA TUS VACACIONES chorena rey,pos,1.182
2022-12-27T15:16:38.000Z,Las estaciones de servicio de Paraguay usan tecnología más de punta otra vez que todas las puntas y esto jamás va a pasar,pos,0.5
2022-12-27T09:49:48.000Z,de padres y docentes y sobre todo en estas Fiestas entender que el celular NO es un juguete ni debe ser entregado como tal La tecnología necesita profundos procesos de humanización en su desarrollo y relación con los niños El estudio en el link,pos,1.417
2022-12-27T07:45:33.000Z,Los operadores de redes viales utilizan cada vez más la tecnología y desarrollan infraestructura digital para gestionar las redes viales Descubra cómo se pueden utilizar esos datos para optimizar las operaciones de la red vial en #PIARC ,pos,0.25
2022-12-21T16:47:34.000Z,Alli hace falta tecnología y entonces llevaron y colocaron un gran aparato ,neg,-0.5369999999999999
2022-12-21T13:14:44.000Z,Por qué lo que ir a Identificaciones tiene que ser un calvario siempreTerrible la infraestructura burocracia al pedo inoperancia falta de tecnología y encima funcionarios desagradables Nunca luego avanzar y mejorar mbae,neg,-0.719
2022-12-21T01:45:26.000Z,Hemos apostado a capacitar a las compatriotas mujeres independientemente al partido político al que pertenecían Hicimos uso de la tecnología para acercarnos a los correligionarios cuidando así al medio ambiente y evitando la polución visual a los compatriotas,pos,0.48
2022-12-21T01:45:24.000Z,Hemos diseñado una campaña Política Digital buscando darles una OPCIÓN distinta a los compatriotas correligionarios bajo ejes bien definidos INNOVACIÓN TECNOLOGIA Y EMPRENDIMIENTOS que no fue simplemente un slogan,pos,0.917
2022-12-19T12:39:29.000Z, Capacitación capacitación capacitación en iglesias supermercados shopping en todos lados para que la ciudadanía sepa votar y pierda el miedo a la tecnología O sino en abril de nuevo tendremos personas designadas votando por candidatos con estructura y ,pos,0.10999999999999999
2022-12-19T00:00:48.000Z,Hoy quedó demostrado que con tecnología no solucionás problemas de seguridad Hoy el voto asistido de la mano de la ruindad de los punteros políticos hizo votar a falsos enfermos abuelos de años analfabetos de ocasión y vendedores de voluntades,neg,-1.119
2022-12-14T10:46:38.000Z,La infancia de los son las mejores esas navidades recorriendo los pesebres de los vecinos tomando de vez en cuando el clerico explotar fosfórico compartiendo en familia de verdad CERO TECNOLOGIA Que linda época,pos,1.15
2022-12-12T23:51:09.000Z,Acaba de publicar una foto en Codex Tecnología Médica,neu,0
2022-12-12T23:26:38.000Z,Acaba de publicar una foto en Codex Tecnología Médica,neu,0
2022-12-12T21:36:55.000Z,Acaba de publicar una foto en Codex Tecnología Médica,neu,0
2022-12-03T15:42:09.000Z,RentAPal disecciona el terror a un estudio del doble filo de la tecnología la soledad y relaciones sociales Tiene una premisa realmente interesante que se mantiene en constante tensión y ojo que tiene uno de los villanos más inusuales del género reciente Joyita,pos,0.863
2022-12-03T01:00:34.000Z,#ElFuturodelTrabajo incertidumbre habilidades y desafíos para la educación universitaria Trilogía Ciencia Tecnología Sociedad,pos,0.40399999999999997
2022-12-02T16:12:57.000Z,El día de ayer estuvimos recorriendo la #ciudad de #Itauguá llevando los proyectos de INNOVACIÓN TECNOLOGÍA Y EMPRENDIMIENTO Queremos ser parte de un futuro mejor donde innovemos la Política con proyectos concretos,neu,0.0
2022-12-02T13:03:01.000Z, El futuro del Paraguay vamos a construir con la fuerza del trabajo de una generación que siente y palpita un Paraguay del futuro con tecnología innovación e inversiones #PettengillSenador #Lista #Opción #FuerzaRepublicana #LaFuerzadelTrabajo #Atodamáquina,neg,-0.525
2022-12-01T21:18:58.000Z,Y acá se fue a la p… la narrativa de FIFA sobre su tecnología el VAR y la interpretación,pos,0.375
2022-12-01T15:42:43.000Z,La y su tecnología de mierda,neg,-0.39
2022-12-01T14:47:01.000Z,El lápiz Revolution cuenta con una tecnología que consigue comprimir grafitos en nanopartículas de grafeno que es un material más resistente que el grafito natural,neg,-0.375
2022-12-01T14:27:25.000Z, Ya pasaste por nuestro espacio en la Expo Pick ups y lo último en tecnología Ford para vos ¡Te esperamos hasta el de Diciembre,neu,0
2022-11-30T04:14:56.000Z,Nunca dejamos que elijan por nosotros una lista de películas que más nos gustan entonces porqué vas a dejar que otros decidan por vos a quién votar y determinar tu futuroVamos a trabajar en base a tres ejes Innovación Tecnología y emprendimiento,pos,0.506
2022-11-25T01:06:24.000Z,Una moderna Planta Solar fue inaugurada en el Frigorífico Guaraní en Limpio con presencia de El empresario dijo q se trata de un sistema de paneles de alta tecnología q captará la energía renovable y q representa el futuro en generación de energía,pos,1.3780000000000001
2022-11-24T13:14:16.000Z,Lambare sumándose al equipo de INNOVACIÓN TECNOLOGÍA y EMPRENDIMIENTOS de bases tecnológicas ,pos,0.5940000000000001
2022-11-23T23:03:31.000Z,Juegos Universitarios FUO Facultad de Ciencias y Tecnología de la UNCA Campeón de Fútbol de CampoFinal del partidoFCYT UNCA UNISAL PT Víctor Ibarra FCYT#Finalísima #FútbolDeCampo #Masculino #JuegosUniversitarios #FUO,pos,0.625
2022-11-23T20:27:39.000Z,No hace falta hoy día con la tecnología todo se sabe y más los mitaiLo que sí se ve es que están a muerte con el y eso es lo importante hoy no donde estuvo,neg,-0.5
2022-11-23T14:07:10.000Z, Con la convicción de colaborar al desarrollo sustentable del Paraguay inauguramos hoy nuestra Planta Solar en la sede del Frigorífico Guaraní S A C I de Limpio Con estos paneles móviles de alta tecnología estaremos captando energía solar y ayudando a un ambiente más sano,pos,1.4130000000000003
2022-11-22T15:22:42.000Z,Descripción del Twitter No estamos a la altura de la tecnología ,neu,0.0
2022-11-22T10:57:39.000Z,Déjense de joder con esto Si ya hay tecnología fina al menos saquen que hasta el hombro no sea parte para cobrar offside,neg,-0.39
2022-11-22T10:41:01.000Z,Que porquería su tecnología ,neu,0
2022-11-22T10:35:20.000Z,Que mierda esta tecnología lgm,neg,-0.39
2022-11-21T15:51:07.000Z,Emoción de estar lejos pero cerca por la tecnología #TodosJuntos vamos AR,neg,-0.5
2022-11-20T22:03:10.000Z,La tecnología ,neu,0
2022-11-16T16:05:26.000Z,Una nueva generación de colchones de espuma paraguaya con un diseño multicapa inteligente y tecnología viscoelástica conocé más en nuestra web ,pos,0.22899999999999998
2022-11-16T14:05:49.000Z,Amando esta entrada Un poco de lo que es Vaquita por dentro Recomendadísimo para los interesados en el mundo de la programación y tecnología,pos,0.25
2022-11-15T14:32:07.000Z,Increíblemente las materias que más me estresan con Gonza en la escuela son danza música y Trabajo y tecnología No es luego matemática o que keloko ,pos,0.35
2022-11-15T11:29:14.000Z,Hay buenas analogías para crear solucionar y persistir en una idea La serie caps sobre el nacimiento de aplica a otros ámbitos no solo la tecnología si no a los intereses de las personas #ThePlaylist,pos,0.5
2022-11-13T15:15:21.000Z,SEGÚN EL #VAR HUBO MANO LA TECNOLOGÍA ENTENDEÁ ,neu,0
2022-11-13T03:02:01.000Z,Todos los que fueron al concierto ayer sorprendiéndose por las pulseras y su tecnología se nota que no fueron al illusion Music fest en donde ya usaron las Xyloband en el ,pos,0.125
2022-11-09T23:19:29.000Z,Pero que INUTILES son Porque no usan la tecnología Con palos verdes pones un satélite en órbita I N U T I L É S,neg,-0.375
2022-11-09T21:21:57.000Z,El uso de la tecnología es para acelerar los procesos mejorar la calidad de datos no repudio consistencia de datos mejorar inversión y tener datos que van a agregar valor en el tiempo más corto posible,pos,1.312
2022-11-09T21:21:57.000Z,Tan sencillo con el uso de la tecnología El día del Censo podrían los censistas visitar las casas y solicitar los códigos o identificación para validar los datos NO se va a necesitar meses o mas para tener los datos,pos,0.844
2022-11-09T19:39:01.000Z,Con tanta tecnología no sé porque no crearon un programa para hacer el censo y ahí automáticamente ir filtrando Los censistas tienen que hacer a mano con lápiz de papel y luego cargar todos los datos a una computadora Qué trabajo de esclavo al pedo Ni una buena el gobierno,pos,0.825
2022-11-09T13:53:03.000Z,Son las es mi ta Casa Dios mío aplazados en tecnología Nadie quiere trabajar mis sencistas me dejaron plantado #CensoPy #Censo #CensoNacional #Paraguay,neu,-0.040000000000000036
2022-11-09T13:44:40.000Z,#CensoPy con papel y lápiz Pudiendo tecnología con georeferenciacion cruza de datos en linea foto de fachada del hogar resultados inmediatos reducción de errores de transcripción reducción de pérdida de datos papeles extraviados adulteraciomes control del censista,neu,0
2022-11-02T19:40:32.000Z,Si los hilos sobre tecnología de alimentos gastronomía de Dalmi te parecen interesantes imagínate uno de su vida personal Denle like para llegar a la meta,pos,0.563
2022-11-01T22:08:38.000Z,El Science Journalism Forum sigue muy desafiante y útil Uno de los temas que más tratamos hoy con y fue cómo hacer atractivos los temas del sur global en materia de ciencia y tecnologia Gran evento #SJF #sciencejournalism,pos,1.5350000000000001
2022-10-31T15:11:29.000Z,#Tecnología ▏TWITTER BLUELa red social recientemente adquirida por Elon Musk planea cobrar por la insignia de verificación de cuentas,pos,0.393
2022-10-31T00:32:17.000Z,Tecnología de impresión profesional Impresora Fotográfica Epson SureColor P Adquirila en cuotas de Gs WApp Directo #Impresora #Fotografica #Epson #SureColorP #TecnocenterPy,pos,0.26
2022-10-20T11:56:32.000Z,El Ing Mario L Noste en este momento inicia su ponencia sobre con el tema “Rehabilitación de pavimentos con tecnología Rubblizing sobre hormigón Experiencia en Argentina” en el #toCPVyT organizado por la ,neu,5.551115123125783e-17
2022-10-18T22:17:20.000Z,La incorporación de la tecnología nos abre nuevas oportunidades es por eso que nuestro país necesita aplicar modelos exitosos de implementación tecnológica para así mejorar la calidad de vida de nuestra gente #PatoOjedaSenador#VotaListaopcion#Vamosaestarmejor,pos,2.094
2022-10-18T13:38:07.000Z,Así q manos a la obra y dejen de seguirle el juego uds mismos a los fundamentalistas ignorantesLos estudiantes merecen una educación adecuada a la ciencia y tecnología actualq les ofrezca un futuro mejor además q incluya a todos los niños en igualdad de condiciones,pos,1.688
2022-10-17T22:39:02.000Z,Año y terminando… a esta altura ya no es “adaptación tardía” ya es negacionismo o racionalización puro seguir cuestionando lo del diseño y tecnología aplicada a las zapatillas de running Por mi como siempre lo que los haga felices ,pos,1.7279999999999998
2022-10-17T20:47:48.000Z,No se gasten yendo a estados unidos a comprar tecnología apple vengan a paraguay,neu,0.0
2022-10-17T14:37:18.000Z,La tecnología que debería guiar dicha ampliación es la solar fotovoltaica PV extraído de El Plan Maestro de Generación de ANDE proyecta centrales PV de gran porte en Loma Plata MWp Carayaó MWp y Valenzuela MWp,pos,1.088
2022-10-09T14:56:42.000Z,También nos reuniremos con autoridades del Ministerio de Educación Ambiente y Tecnología además de maestros y estudiantes Finlandia tiene uno de los mejores sistemas educativos del mundo ,pos,0.813
2022-10-08T16:35:20.000Z,Hermosa la banca digital que la tecnología que QR que te atiende un holograma dinero imaginario bla bla pero te quedas sin tarjeta de débito que es algo inventado hace más de años y no haces un carajo aquí en la aldea ,neg,-1.415
2022-10-07T23:48:42.000Z,El estacionamiento tarifado brindará reglas y trazabilidad No más extorsión No más precios s hora zona o cara del cliente No más reserva con cajas Si al uso de tecnología amigable que permita identificar lugares pagar en línea por fracción utilizada,pos,0.542
2022-10-07T21:49:41.000Z,Perdió la vista a los años y hoy a los y con la idea de volver a ver creyendo en la ciencia y en la tecnología filma y saca fotos creando su propio archivo para ver esas imágenes en el futuro,neg,-0.53
