postDate,responding
2022-12-29T11:03:22.000Z,#Invitación La DGEU-UNA invita al lanzamiento virtual del volumen I de la 𝗥𝗲𝘃𝗶𝘀𝘁𝗮 𝗖𝗶𝗲𝗻𝘁𝗶́𝗳𝗶𝗰𝗮 𝗜𝗻𝘁𝗲𝗿𝗳𝗮𝘇 29 de diciembre de 2022 10:00 Transmisión vía Facebook Live - Universidad Nacional de Asunción#SomosDeLaUNA
2022-12-26T12:13:40.000Z,"a todxs los que quieran la rifa me pueden  escribir al privado desde ya les agradezco a  por la ayuda y apoyo de siempre , la rifa se sorteará de manera virtual PD: Ayúdenme a compartir ."
2022-12-25T01:06:53.000Z,"#Charla_virtual sobre ""Nociones generales de la Norma de Requisitos Mínimos (NRM) para el Control Interno en Instituciones Públicas"". Realizada el lunes 12 de diciembre de 2022, de 13:30 a 15:30 horas. Organizada por el #ITSL_HCD y la #FIA_UNVES. Instructor: #Juan_Carlos_Rojas."
2022-12-24T23:42:37.000Z,"Apertura de la #Charla_virtual sobre ""Nociones generales de la Norma de Requisitos Mínimos (NRM) para el Control Interno en Instituciones Públicas"". Realizada el lunes 12 de diciembre de 2022, de 13:30 a 15:30 horas. Organizada por el @itslhcdparaguay y la #FIA_UNVES."
2022-12-20T16:50:49.000Z,"Marido me regalo para mi asistente virtual y hasta a ella le pido por favor, que buena persona que ya soy "
2022-12-20T13:39:57.000Z,Inicia en la Sala de Sesiones de @SenadoresPy la Sesión Extraordinaria de la fecha presidida por el Señor Senador @cachitosalomon con la asistencia presencial/virtual de 38 Senadores y con 3 puntos en el orden del día  http://odd.senado.gov.py/indice/orden-del-d-a-martes-20-de-diciembre-de-2022-extraordinaria-virtual-i827…
2022-12-13T21:48:16.000Z,"En sesión virtual liderada por el presidente del consejo de administración del FEEI (CAFFEI), Ministro de @Haciendapy, @OscarLlamosas, le acompaña nuestra directora ejecutiva, Carmen Romero, junto con los miembros del consejo e invitados para tratar diversos temas. MH"
2022-12-13T17:46:47.000Z,Y que tal esta cachetada virtual para darte cuenta? De nada 
2022-12-13T17:06:44.000Z,Me gustaría saber porque krj uds todavía hacen sesión virtual? @SenadoresPy @tonyapuril @cachitosalomon @NaniArrua @arevalo_martin @FilizzolaRafael @ro_friedmann y los demás zánganos que mantenemos por hacer nada! que país generoso el nuestro! Añarakopeguare 
2022-12-13T12:45:35.000Z,Inicia en la Sala de Sesiones de @SenadoresPy la Sesión Extraordinaria de la fecha presidida por el Señor Senador @cachitosalomon con la asistencia presencial/virtual de 38 Senadores y con 19 puntos en el orden del día  http://odd.senado.gov.py/indice/orden-del-d-a-martes-13-de-diciembre-de-2022-extraordinaria-virtual-i824…
2022-12-11T22:13:27.000Z,"Estamos cerca de la primera película con guión, personajes y mundo virtual enteramente creado por la AI"
2022-12-08T18:56:35.000Z,"#Defensa_Virtual de tesina de los universitarios: #Belén_Barboza y #Marco_RuízDíaz para optar por el título de Lic. en #Ciencias_de_la_Comunicación_UNA. Realizada el 18/11Mesa Examinadora:-Prof. #Pedro_Caballero, Pdte.-Prof. #Diego_Irala, Miemb.-Prof. #Haydée_Galeano, Miemb."
2022-12-06T19:54:27.000Z,𝗫𝗜𝗜𝗜 𝗝𝗢𝗥𝗡𝗔𝗗𝗔𝗦 𝗗𝗘 𝗜𝗡𝗡𝗢𝗩𝗔𝗖𝗜𝗢́𝗡 𝗗𝗢𝗖𝗘𝗡𝗧𝗘 𝗗𝗘 𝗟𝗔 𝗨𝗡𝗔 III EDICIÓN VIRTUAL 13 y 14 de diciembre 09:00 a 12:00 Transmisión vía Facebook Live - Universidad Nacional de Asunción http://innova.una.py#SomosDeLaUNA
2022-12-04T21:07:19.000Z,PLAN NACIONAL DE EMPLEO  vacancias laborales ofrecidas por empresas del sector privado para esta semana. ¿ Cómo postularse?   Virtual A través del siguiente enlace a:https://buff.ly/3LyMvU7 
2022-11-12T13:00:37.000Z,#EscuelitaPyhare022 virtual arranca 16/11. 19:30.hs. Aprende a cocinar desde cero sin salir de tu casa!Solo cuesta 80.000 gs/mensuales. Una ganga.http://bit.ly/SoyKureDumas para info.
2022-11-11T14:13:26.000Z," Esta mañana compartimos nuestros proyectos y nuestros sueños con la audiencia de “El Este Al Día, Diario y Radio Virtual” con la conducción de Daniel Samudio.Juntos vamos a construir el desarrollo del Alto Paraná con inversiones y trabajo.#PettengillSenador"
