postDates,tweets,sentiment_label,polarity_score
2022-12-29T11:03:22.000Z,#Invitación La DGEUUNA invita al lanzamiento virtual del volumen I de la 𝗥𝗲𝘃𝗶𝘀𝘁𝗮 𝗖𝗶𝗲𝗻𝘁𝗶́𝗳𝗶𝗰𝗮 𝗜𝗻𝘁𝗲𝗿𝗳𝗮𝘇 de diciembre de Transmisión vía Facebook Live Universidad Nacional de Asunción#SomosDeLaUNA,pos,0.313
2022-12-26T12:13:40.000Z,a todxs los que quieran la rifa me pueden escribir al privado desde ya les agradezco a por la ayuda y apoyo de siempre la rifa se sorteará de manera virtual PD Ayúdenme a compartir ,pos,1.788
2022-12-25T01:06:53.000Z,#Charlavirtual sobre Nociones generales de la Norma de Requisitos Mínimos NRM para el Control Interno en Instituciones Públicas Realizada el lunes de diciembre de de a horas Organizada por el #ITSLHCD y la #FIAUNVES Instructor #JuanCarlosRojas,pos,0.09400000000000003
2022-12-24T23:42:37.000Z,Apertura de la #Charlavirtual sobre Nociones generales de la Norma de Requisitos Mínimos NRM para el Control Interno en Instituciones Públicas Realizada el lunes de diciembre de de a horas Organizada por el y la #FIAUNVES,pos,0.09400000000000003
2022-12-20T16:50:49.000Z,Marido me regalo para mi asistente virtual y hasta a ella le pido por favor que buena persona que ya soy ,pos,1.9129999999999998
2022-12-20T13:39:57.000Z,Inicia en la Sala de Sesiones de la Sesión Extraordinaria de la fecha presidida por el Señor Senador con la asistencia presencialvirtual de Senadores y con puntos en el orden del día ,neu,0.0
2022-12-13T21:48:16.000Z,En sesión virtual liderada por el presidente del consejo de administración del FEEI CAFFEI Ministro de le acompaña nuestra directora ejecutiva Carmen Romero junto con los miembros del consejo e invitados para tratar diversos temas MH,pos,0.938
2022-12-13T17:46:47.000Z,Y que tal esta cachetada virtual para darte cuenta De nada ,pos,0.688
2022-12-13T17:06:44.000Z,Me gustaría saber porque krj uds todavía hacen sesión virtual y los demás zánganos que mantenemos por hacer nada que país generoso el nuestro Añarakopeguare ,pos,1.157
2022-12-13T12:45:35.000Z,Inicia en la Sala de Sesiones de la Sesión Extraordinaria de la fecha presidida por el Señor Senador con la asistencia presencialvirtual de Senadores y con puntos en el orden del día ,neu,0.0
2022-12-11T22:13:27.000Z,Estamos cerca de la primera película con guión personajes y mundo virtual enteramente creado por la AI,pos,0.313
2022-12-08T18:56:35.000Z,#DefensaVirtual de tesina de los universitarios #BelénBarboza y #MarcoRuízDíaz para optar por el título de Lic en #CienciasdelaComunicaciónUNA Realizada el Mesa ExaminadoraProf #PedroCaballero Pdte Prof #DiegoIrala Miemb Prof #HaydéeGaleano Miemb,pos,0.25
2022-12-06T19:54:27.000Z,𝗫𝗜𝗜𝗜 𝗝𝗢𝗥𝗡𝗔𝗗𝗔𝗦 𝗗𝗘 𝗜𝗡𝗡𝗢𝗩𝗔𝗖𝗜𝗢́𝗡 𝗗𝗢𝗖𝗘𝗡𝗧𝗘 𝗗𝗘 𝗟𝗔 𝗨𝗡𝗔 III EDICIÓN VIRTUAL y de diciembre a Transmisión vía Facebook Live Universidad Nacional de Asunción ,pos,0.313
2022-12-04T21:07:19.000Z,PLAN NACIONAL DE EMPLEO vacancias laborales ofrecidas por empresas del sector privado para esta semana Cómo postularse Virtual A través del siguiente enlace a ,pos,0.563
2022-11-12T13:00:37.000Z,#EscuelitaPyhare virtual arranca hs Aprende a cocinar desde cero sin salir de tu casaSolo cuesta gsmensuales Una ganga para info,pos,0.313
2022-11-11T14:13:26.000Z, Esta mañana compartimos nuestros proyectos y nuestros sueños con la audiencia de “El Este Al Día Diario y Radio Virtual” con la conducción de Daniel Samudio Juntos vamos a construir el desarrollo del Alto Paraná con inversiones y trabajo #PettengillSenador,pos,1.326
2022-11-11T00:04:50.000Z, Jornada Internacional sobre la Justicia Penal del Paraguay Jueves hs a hs Participan expositoresas de Argentina y ParaguayModalidad Presencial y Virtual Aula Magna de la ,pos,0.396
2022-11-10T16:51:07.000Z,Mi mayor fantasía es tener a alguien que me ayude a copiar en el examen virtual ,pos,0.8380000000000001
2022-11-01T21:57:47.000Z,El equipo paraguayo de alumnas logró una medalla de plata y otra de bronce en la Olimpiada Panamericana Femenil de Matemáticas PAGMO que se realizó de manera virtual Compitieron países,pos,0.8440000000000001
2022-11-01T15:13:10.000Z,Bajo la presidencia del senador se reúne la Comisión de Derechos Humanos del Senado para tratar los puntos establecidos en su orden del día La sesión del órgano asesor se desarrolla de manera virtual a través de la plataforma zoom,pos,0.563
2022-11-01T12:30:35.000Z,Sesión de la Comisión de Hacienda de la Cámara Alta presidida por el senador desde la sala de sesiones del Senado y a través de la plataforma zoom presencial y virtual,pos,0.313
2022-10-30T23:13:39.000Z,Comparen población e PJC y Brasil En Brasil ya le dieron ganador a Lula Y acá Acevedo es todavía virtual ganador ,pos,1.563
2022-10-30T19:14:01.000Z,PLAN NACIONAL DE EMPLEO vacancias laborales ofrecidas por empresas del sector privado para esta semana Cómo postularse Virtual A través del siguiente enlace a,pos,0.563
2022-10-27T16:16:23.000Z,#ReuniónVirtual con funcionarias del área de #Planificación de la Administración Nacional de Navegación y Puertos ANNP con vistas a concretar una alianza estratégica entre el #ITSLHCD y la #ANNP en pos de la formación y capacitación del talento humano de ambas instituciones,pos,0.708
