username,handle,postDate,responding,retweets,likes
David Gauto,@Tagetech,2022-11-21T16:29:54.000Z,"Replying to 
@EspinolaEspnol1",,2
Luis Hörschgens #56603,@Horschgens,2022-10-19T16:22:40.000Z,"Ustedes son jovenes pero antes ibamos al ciber con 20 disquets para bajar un juego pedorro y comprimir en zip en cadena pero al disquet nro 19 le encantaba irse a la mierda y cagarte el juego, el tiempo y $ del ciber",,
Mar en Libertad,@MarleneGo7,2022-10-13T16:32:20.000Z,"Replying to 
@EdQuintana
 and 
@AsuncionMuni",,
Rodrigo,@rodriuypy,2022-09-22T18:01:27.000Z,"Cómo estarán las cuentas anónimas, los ciber barras de Nacional, y los del programa de la 1010 ahora.

- Peleando por no bajar a la C
- con suplentes

Paliza histórica y lección de fútbol y humildad.

Orgulloso de ser de Rampla.",,
Carlitosbenitez,@Calibenitez5,2022-09-16T12:50:22.000Z,"Esta nueva generación ciber, mundial es este tiempo, estaban tan calladitos todos que te vas a ver qué onda y ves esto y bueno, ya es ya jajajaja ",1,13
Daniela Dupuy,@danydupuyok,2022-08-10T17:45:06.000Z,"Lo q se viene en la Diplo Ciber 
@AustralDerecho
 será disruptivo y nuevo! Expertos nac e internacionales. Agentes del HSI y demos en  vivo con herramientas tecnológicas en nuestro Campus en Pilar. Y muy ilusionados con nuestra última semana presencial en Barcelona!",4,17
Miss Atomic Bomb,@Aggi_Flo,2022-08-05T13:03:03.000Z,Ella es experta en ciber hurrerismo luego ,,
atilio castillo ruiz,@aticastillo68,2022-06-11T12:20:54.000Z,"Replying to 
@DrTinahones
 @CristobMorales
 and 7 others",,
Arq Marta.,@ArquiMarta,2022-06-07T18:11:32.000Z,"@AndresLJuvinel
  modus operandi del ciber robo ",,
Please im a Star,@melancolico94,2022-04-05T16:43:28.000Z,"El cajero no es ciber señor  , por favor te pido!!",,
wtf,@fabrizionissen,2022-03-28T20:27:56.000Z,"Replying to 
@felixcaeliporta
 and 
@LaSupremaOkBACK",,1
Víctor Raúl Benítez González,@victoraulb,2022-02-24T11:57:13.000Z,"Guerra comercial...

Ciber ataques...se lanzan contra Ucrania y hay problemas de retiros bancarios.

Subirán más los combustibles en el mundo.

Se venderán menos lotes de carne a Rusia. 

Sube precio del trigo, Ucrania y Rusia producen 30% trigo mundial. 

Mundo globalizado.",5,6
@fercazo ( Varon de guerra ),@fercazo ( Varon de guerra ),2022-01-16T22:51:27.000Z,"Resumen del día en el Tuider
1.-Novak expulsado de Australia
2.-REal Madrid Campeón de España
3.-NO hay fotos del nuevo telescopio
4.-Putin ataca Ucrania en un ciber ataque
5.-En Panjshir se sigue luchando contra los talibanes
6.-Paquistan quiere anexar Afganistán
7.-El Omicron",,
Juan Ca Rojas,@JuanCaRojas86,2021-11-02T00:23:28.000Z,Las cárceles son un call center de ciber estafas. Cuidado.,,2
Raúl,@raulfranjeado,2021-08-13T23:25:07.000Z,En el ciber,,1
Octavio,@OctaMelga,2021-08-04T20:00:53.000Z,"Replying to 
@CandadiniOK",,1
Santiago,@larocanrolSM,2021-05-09T13:39:44.000Z,"China vive actuando irresponsable y criminalmente. No solo con desechos espaciales sin control sino que tb virus sin control, ciber ataques, pesca furtiva depredando el mar de otros países, artículos nocivos y de mala calidad, no respetan patentes ni respetan el medio ambiente.",2,4
Juanda,@JuanBareiro,2021-04-14T18:21:09.000Z,Existen todavía los ciber había sido ,,1
ilexparaguayensis,@panyquepanyque,2021-04-04T13:50:32.000Z,"Replying to 
@m1r33v",,1
Hugo Lesme,@LesmeHalo,2021-03-17T16:45:26.000Z,"“.. ciudadano argentino pretendió abordar un vuelo hacia su país con test de Covid ADULTERADO.
Detenido, quedó a disposición de la Fiscalía y confesó q en un ciber preparó el test falso”
Criminal AVIVADO argentino exponiendo al #COVID19 a pasajeros.",,
Rotela,@Rotela_Denis,2021-01-14T02:41:58.000Z,"Replying to 
@fofi1989
 @juanjoccp1912
 and 
@santinovera89",,1
Maricel Thomen,@LaThomen_soy,2021-01-05T17:19:23.000Z,"Replying to 
@MigueGaspar
 and 
@nanduti",,1
Nelida Victoria Lizza,@LizzNelida,2020-10-10T19:03:45.000Z,"Replying to 
@JuntosRecemos",,
pamela,@pamesosa2007,2020-09-30T17:36:41.000Z,"Replying to 
@vyropamavoi_",,1
Linda,@lindamarchuk,2020-09-27T02:48:22.000Z,"Hoy compartí con las ""nuevas generaciones"" como juntaba tres mil de mi recreo para ir al ciber una vez por semana a revisar mi correo. 
Era parte de la Red Latinoamericana, nos enviabamos noticias, acuerdos, saludos, consultas, tenía 60 min para responder todo",,1
Roland,@Rolan_Santander,2020-09-21T04:34:59.000Z,Si yo era dueño del ciber no le cobraba nada por el tiempo utilizado . https://twitter.com/rockandpoppy/status/1307823891331657728…,,1
Rodri Fleitas,@Rodri_Fleitas16,2020-08-14T23:03:39.000Z,"Replying to 
@sayorijoestar
 and 
@pogomosh",,
Javi López Ⓥ,@jaloverde,2020-08-14T00:47:44.000Z,Un wrap de hummus por favor. Ahre ciber punk,,7
Ariel Arenas,@ArielAr40330884,2020-08-12T22:36:45.000Z,"Replying to 
@tapachula_2017",,
Cami Casal,@CamiCasal1,2020-06-06T23:42:02.000Z,Jajaja un bajón el ciber amor,,
,@GabrielaPinazo,2020-06-06T17:00:00.000Z,"Replying to 
@Cristian_1590
 and 
@paul_lando",,
Nelson,@nelsoncabralpy,2020-03-06T03:11:20.000Z,"Replying to 
@Alitadecarton
 @rodrigogaray98
 and 
@OscarMatto2",,
riki,@_rikisan,2020-02-12T19:54:22.000Z,Si alguna vez hackearon el CNC/nic.py esta gente pio va hablar de ciber seguridad jajajaja,1,9
héctor ramírez,@hectorcito86,2020-02-11T16:25:17.000Z,"Replying to 
@MiguelRed1912",,
Roy Appel #25034,@appel_roy,2020-01-27T17:38:17.000Z,En nuestros medios quienes estarían en el ranking top 10 de ciber??,1,1
Alejandro Duarte Viveros,@aduvi22,2020-01-08T15:16:34.000Z,"Replying to 
@imajumoran",,2
Josefina,@Josefin00646715,2020-01-03T13:52:55.000Z,"Replying to 
@Josefin00646715
 and 
@sntcanal9",,
Darline Caballero,@darli_victoria,2019-11-09T04:09:20.000Z,Se me borró el boomerang tan lindo se perdió en alguna parte del ciber espacio jajajajaja,,
Fernando,@fer_drunky,2019-08-06T13:56:21.000Z,"Replying to 
@ceecitapy
 and 
@PilsenLa",1,1
Juan Buda Gónzalez,@bloodgeando,2019-06-29T15:21:17.000Z,"en el mundo ciber de hoy, 20 segundos sin un like, ya es mucho!",,1
Labui,@ml_lawii,2019-06-28T12:35:22.000Z,"Replying to 
@parapapaz
 and 
@sa_villalba",,3
EL DUQUE ESPINOZO,@eev_28,2019-06-17T04:45:30.000Z,Psss estas por el ciber espacio?,,
ʀᴏᴅʀᴏ,@fidotico,2019-06-13T01:59:49.000Z,Podes bajar allá en el ciber que queda en el 2007.,,
riki,@_rikisan,2019-05-01T16:30:28.000Z,"2007 encargado de ciber

2019 Programacion de Cursos - SNPP",1,
Nahem Reyes,@Nahem_360,2019-03-14T16:28:29.000Z,"#14Mar Según el flamante Min. de Energía Eléctrica del gobierno usurpador de Maduro, aseguró y así lo reseñó 
@ElNacionalWeb
 que el ciber-ataque que generó el #ApagonNacional y dejó días a #Venezuela  #SinLuz fue ""una vara de bambú"". 
@1330am
 @MundoVente",1,1
Javiercito,@javierolcelli,2019-03-04T18:12:32.000Z,Amiga: si en el enorme mundo ciber de Netflix lo que más te gusta es #LealenNetflix en serio tenes que hacer terapia! O querete más y mira más series o las pelis 22 de julio o Vidas Privadas! Ok ?,,
anahi acosta,@campos_anahi,2018-09-20T22:49:54.000Z,Contrarreste las ciber-amenazas antes de que ocurran (@ El viejo marino in Asunción) https://swarmapp.com/c/fscEX9hqyUa,,1
Guillén.MD,@_Yerbamate,2018-06-29T22:37:51.000Z,Cuando termina la tinta de tu impresora y te das cuenta a última hora (@ City Ciber in Villarrica) https://swarmapp.com/c/76dNiBRWvKE,,
Raul Gulino,@RaulGulino,2018-04-16T17:56:32.000Z,"Replying to 
@RaulGulino
 and 
@Johasenpai",,
