username,handle,postDate,responding,retweets,likes
Marcio Ocariz,@marcheloocar,2022-11-28T16:05:58.000Z,"Replying to 
@Paraguayparagu6
 and 
@Ragnar_MCMXII",,
David Gauto,@Tagetech,2022-11-23T23:40:50.000Z,Cripto Idiotas.,1,1
Carlos Osuna,@carlososuna86,2022-11-15T12:15:04.000Z,"Replying to 
@bxragingbullyo
 @bxragingbull
 and 
@LPNational",,
R.,@rodtorresgarzon,2022-10-25T23:34:16.000Z,"Replying to 
@criptoboi
 @cryptosummitsur
 and 
@cripto_py",,
Juan Arce,@alone_akaede,2022-10-15T19:23:05.000Z,"Replying to 
@angatupyrytau
 @KattyaGonzalez9
 and 11 others",,
César Rodas,@crodas,2022-10-14T23:44:59.000Z,"Replying to 
@lcmencia
 and 
@tavogabriel",,
Azu,@jose_azuaga,2022-10-14T10:37:21.000Z,"Yo no soy seguidor del tema cripto por diversos motivos, pero este argumento me parece una estupidez.
El día que un profesional plantee la idea (además de fomentar la inversión extrajera en el país) de montar una fábrica automatizada con poca “mano de obra”, eso va a ser malo?",2,4
Víctor Raúl Benítez González,@victoraulb,2021-12-19T17:11:28.000Z,"Cripto star

https://infobae.com/economia/2021/12/18/tiene-27-anos-una-fortuna-de-usd-1500-millones-es-una-estrella-cripto-global-y-vino-a-argentina-a-ver-la-inflacion-de-cerca/…",,
Angel Finn,@algne,2021-10-20T22:22:15.000Z,"Replying to 
@rafyala3",,
Angel Finn,@algne,2021-10-20T21:43:05.000Z,"Replying to 
@rafyala3",,
Angel Finn,@algne,2021-10-20T16:20:47.000Z,"Replying to 
@algne
 @adiazarce
 and 
@rafyala3",,
peliginger,@c_marisu,2021-07-15T13:45:52.000Z,"Replying to 
@c_marisu
 and 
@mb_ins",,
Roberto Brusquetti,@robrus_,2021-06-07T10:34:54.000Z,"La Hora Cripto #60: Bitcoin Lex est, by 
@nelsondcg1
 https://lahoracripto.substack.com/p/bitcoin-es-ley?r=58kpz&utm_campaign=post&utm_medium=email&utm_source=brusquetti…",,
Roberto Brusquetti,@robrus_,2021-05-31T16:44:12.000Z,"La Hora Cripto #60: Dinero globo, by 
@nelsondcg1
 https://lahoracripto.substack.com/p/la-hora-cripto-60-dinero-globo…",1,1
Roberto Brusquetti,@robrus_,2021-05-11T00:06:32.000Z,"La Hora Cripto #58: Lean el whitepaper, by 
@nelsondcg1
 https://lahoracripto.substack.com/p/58-lean-el-whitepaper-bicoin…",1,
Roberto Brusquetti,@robrus_,2021-04-28T13:04:41.000Z,"La Hora Cripto #56: Sin Lloro, by 
@nelsondcg1
 https://lahoracripto.substack.com/p/56-sin-lloro",1,3
Roberto Brusquetti,@robrus_,2021-03-31T01:24:10.000Z,"La Hora Cripto #53:Just HODL (III y final) by 
@nelsondcg1
 https://lahoracripto.substack.com/p/la-hora-cripto-53just-hodl-iii-y?r=58kpz&utm_campaign=post&utm_medium=email&utm_source=twitter…",1,2
Enzo Iriarte Venialgo,@iriarteenzo92,2021-03-18T12:53:51.000Z,"La Hora Cripto #51: Just HODL (II) by 
@nelsondcg1
 https://lahoracripto.substack.com/p/hodl-bitcoin-2?utm_campaign=post&utm_medium=email&utm_source=twitter…",3,3
Milciades Balbuena,@Mil90,2021-03-10T22:49:54.000Z,"Replying to 
@nelsondcg1
 @Capiweber
 and 
@crodas",,
Carlos G. Becker,@carlosbecker01,2020-12-14T23:52:57.000Z,"Replying to 
@criptoboi
 and 
@carlos_purzel",,
Roberto Brusquetti,@robrus_,2020-11-03T15:14:32.000Z,"La Hora Cripto #37: Ahorrar bitcoins by 
@nelsondcg1
  https://lahoracripto.substack.com/p/la-hora-cripto-37-ahorrar-bitcoins?utm_campaign=post&utm_medium=email&utm_source=twitter… #Bitcoin #BTC",1,1
angatupyrytau,@angatupyrytau,2020-06-27T14:24:03.000Z,"Tiene medio cara de boludo. Pero el boludo sos vos realmente, por que aun no entraste en cripto #Bitcoin",5,9
K1000a,@camilamgb_,2020-02-05T13:14:42.000Z,"Replying to 
@lumibenber",,1
Seba Garcia,@sebagar8,2019-12-12T21:13:21.000Z,"Replying to 
@LaetitiaFerrum
 and 
@jorgeangulo1",,1
Sebastian Ortiz Chamorro,@sebastianpy,2019-09-06T04:35:06.000Z,"Replying to 
@sebagar8",,1
Nicolás,@_nico_ayala,2019-09-06T02:57:19.000Z,"Replying to 
@gabrielagalilea
 and 
@Cripex_py",,3
Sebastian Ortiz Chamorro,@sebastianpy,2019-09-05T23:24:29.000Z,"Replying to 
@angatupyrytau
 and 
@app_muv",,2
