username,handle,postDate,responding,retweets,likes
Rocio M,@lau_roma80,2022-12-29T15:43:38.000Z,"Hace 13 días la 
@ANDEOficial
 podo un árbol al costado de mi casa t corto mi cable de fibra óptica de 
@TigoParaguay
 más de una semana la compañía tigo jugo con mi tiempo que iban pasar, no pasaban, me cambiaron varias veces , para después decirme que el 6 de enero pasarían. ",1,1
COPACO,@COPACO_SA,2022-12-21T13:08:41.000Z,"𝙁𝙄𝘽𝙀𝙍 

¡Nuestra Compañía sigue ampliando su cobertura en todo el país, llegamos a la zona de ""𝘾𝙤𝙨𝙩𝙖 𝙁𝙡𝙚𝙞𝙩𝙖𝙨"" en la ciudad de Areguá con FIBER, internet fibra óptica hasta el hogar!",,
COPACO,@COPACO_SA,2022-12-15T11:38:40.000Z,"Sabías que..? 

𝙁𝙄𝘽𝙀𝙍 es un servicio de internet a través de fibra óptica hasta el hogar, con velocidades de hasta 200 Megas, donde además podés incluir multiservicios cómo IPTV  , línea IP e IP Pública  ",1,1
David Molinas PY.,@DavidMolinasPY,2022-12-07T12:00:43.000Z,"Replying to 
@juanayal
 @garay_esteban
 and 3 others",,
David Molinas PY.,@DavidMolinasPY,2022-12-06T20:03:09.000Z,"Replying to 
@juanayal
 @HoracioGimenezG
 and 2 others",,
Federico Ferreira,@FeFerreira23,2022-12-01T16:54:01.000Z,"Aca tenes! Promociones exclusivas con nuevas velocidades 
 INTERNET 100% FIBRA OPTICA, cableado con router incluido, sin entrega inicial
 contacto 0972906505 directo con mi amigo 
@pompito_1912
 ",4,16
Lilian Servian,@lilian_servian,2022-11-03T23:17:21.000Z,"Que pasa con 
@personalpy
. No me solucionan el servicio de WiFi. Un cable no más cayó. Y no capaces de venir a poner bien su ""Fibra Óptica""",,
marianoel,@andypessolani,2022-11-01T21:24:24.000Z,"justo recién pasó la gente de 
@claropy
 a mostrarme su plan de fibra óptica, le doy 1 día más a 
@personalpy
 para que aparezcan sus técnicos a arreglarme el tema de mi internet",,2
COPACO,@COPACO_SA,2022-10-25T12:05:01.000Z,"𝙁𝙄𝘽𝙀𝙍 

Con fiber tenés internet a través de fibra óptica hasta el hogar, un servicio exclusivo con el cual navegas con velocidades de hasta 200 megas, además, podés tener multiservicios como  IPTV, telefonía IP entre otros.

 Planes desde 65 mil gs ",3,12
Javier Noguera,@javieronlive,2022-10-15T20:31:26.000Z,"Replying to 
@vallesesante",,
