username,handle,postDate,responding,retweets,likes
maria elena rivarola,@pupirivarola,2022-12-26T16:22:12.000Z,La gran sensación de la Inteligencia Artificial del 2022 #chatgtp y en tu país te sale esto cuando te decidis a inscribirte. Que frustrante. #OpenAIChatGPT,,1
Rosanna Menchaca,@RosannaMenchaca,2022-12-09T17:47:37.000Z,Amontema la inteligencia artificial ... #CROACIA! ,,
Elias,@eliascardozo6,2022-11-03T21:45:59.000Z,"Disertacion del Ing. 
@diego_sta
 en el #FIUNATECH 
@CEI_UNA
 @actiscei_una
 
""Desarrollo de electrocardiografo portátil basado en inteligencia artificial""",1,3
@FernandoAlonsoParaguay,@FernandoAlonsoParaguay,2022-10-14T21:12:30.000Z,Ni los algoritmos de inteligencia artificial más avanzados de Google los logran descifrar,,1
Vero Pessoa,@veroacosta___,2022-08-23T01:21:43.000Z,"La gente por lo visto no conoce la ""inteligencia artificial""",,
Víctor Raúl Benítez González,@victoraulb,2022-07-17T16:06:48.000Z,"Replying to 
@estebanjvrbgrn",,1
Víctor Raúl Benítez González,@victoraulb,2022-07-06T20:12:41.000Z,"De 6.400 millones de dólares de inteligencia artificial al mundo todo. 

A pesar de la crisis y a pesar del Estado.",1,4
Víctor Raúl Benítez González,@victoraulb,2022-07-06T20:11:33.000Z,"Economía del conocimiento: 

Nos reímos de ""Argenzuela"", paraguayos que ni hablan inglés ni saben de inteligencia artificial, pero, aún reconociendo a la China, los argentinos logran atraer empresas taiwanesas (y no Paraguay) y exportan más...",19,49
Víctor Raúl Benítez González,@victoraulb,2022-06-01T19:40:19.000Z,"...que la producción de alimentos es el foco. 

Nadie habla de transformar la realidad hacia nuevos horizontes diferentes al escenario actual. 

Gastronomía, música, cine, danza, eventos, indumentaria, inteligencia artificial, plataformas en redes es la nueva vanguardia.",,3
Víctor Raúl Benítez González,@victoraulb,2022-05-31T15:32:21.000Z,"Replying to 
@victoraulb
 and 
@jualtorres",,4
Ismael_py,@IsmaelFromSpace,2022-04-13T00:58:27.000Z,"Avances en la Inteligencia Artificial: Google creó un bot que entiende y puede explicar chistes - Infobae.

El día que falleció el sarcasmo ",,
ivan,@IvanEscurra,2022-03-24T23:52:14.000Z,"Inteligencia artificial, vendetta, alien, ni se te ocurra ni pensarlo
Ke jsjsjsj",,
Orlando Alfonso S,@oalfonsos,2022-03-21T22:07:16.000Z,¿Puede la inteligencia artificial detectar malformaciones intracraneales fetales?,,1
Alann Téllez ® ,@tellez_alan,2022-02-08T13:53:23.000Z,"Realmente nuestros móviles tienen inteligencia artificial y telepática. 
No puede nio saltarme todas las publicaciones acordé a mis sentimientos  que le pasaaaa martaaaaaaa",,3
Alfonso Sosa,@porundiezmil,2021-10-31T00:44:07.000Z,"Replying to 
@AnniaRodriguez",,2
Luis,@LuisDuarteAyala,2021-08-14T11:17:49.000Z,"Como va a “vender” la Publicidad en tiempos de Inteligencia Artificial y Realidad Aumentada? 

Con una HUMANIDAD AUMENTADA en sus conceptos y materia prima ",,2
Verónica Barrios,@Vernica07217584,2021-08-11T10:49:00.000Z,Hilo de inteligencia artificial en la justicia española importante leer ,2,1
Mecha Vera,@mechavera07,2021-08-10T18:24:30.000Z,"tecnología para agilizar exponencialmente estos controles.

Creemos que el futuro de las fiscalizaciones está en incorporar sistemas de inteligencia artificial en el control, para ir más allá del trabajo actual e incluso prevenir irregularidades y actos de corrupción.”",1,2
wilson aldama,@wilsonaldama,2021-08-01T07:56:00.000Z,La Inteligencia artificial ha tomado el control,1,1
Carlos Osuna,@carlososuna86,2021-07-31T23:18:51.000Z,"Replying to 
@JOSEESCAURIZA",,1
