username,handle,postDate,responding,retweets,likes
Guille,@willtallpear,2022-12-26T18:05:10.000Z,Alguien del MITIC para actualizar el certificado SSL de http://nomolestar.gov.py ?,,
Marlie,@emedemar__,2022-11-18T01:38:04.000Z,"Replying to 
@lithium_ox",,
Seba Garcia,@sebagar8,2022-11-10T01:20:44.000Z,"43 Millones de DÓLARES para el #Censo2022Py y LO MÁS creativo que se les ocurre para captar a no censados es un formulario y correo de Gmail!! Deeejateee de joder! No pueden manejar así!!
Y el MITIC, que está direccionando la licitación de su Datacenter, para variar ausente!!",169,247
Feeipy,@feeipy,2022-10-31T15:41:50.000Z,"Revisión de propuesta de modificación del proyecto de redes de telecomunicaciones del MITIC.

Nos juntamos en reunión técnica con la UEPP del 
@Miticpy
 y con su par del TIC 
@MECpy
 para la revisión de la propuesta de modificación del proyecto de redes de telecomunicaciones.",3,3
Gisselle Barrail Barrios,@GisselleBarrail,2022-09-06T15:57:02.000Z,"Enriquecedora experiencia con Mujeres en puestos Directivos y Gerenciales.
Gracias por la invitación.
""Programa Asunción Resiliente 2022"" es organizado en el marco de la alianza entre Fundación Avina y CITI Foundation, junto con el Ministerio de Tecnologías (MITIC)y Fund. PYA.",1,2
irma rojas,@irmarojas29,2022-07-22T20:18:34.000Z,A sus secuases escondidos en MITIC lo que hay que sacar,,1
Adrián Céspedes,@randallflagg,2022-04-25T22:38:15.000Z,"Replying to 
@sebagar8
 @Miticpy
 and 
@AsuncionMuni",,6
Pato Ortiz,@patogrosopy,2022-03-28T17:26:07.000Z,"Replying to 
@MatiDiez1
 and 
@diegomarini",,
Carlos M. Talavera,@CarlosMTala,2022-03-23T15:19:23.000Z,"Replying to 
@AncamposTonia
 @nani_juan
 and 2 others",,3
Pablo Portillo,@pabloportillo75,2022-03-18T18:54:29.000Z,"Replying to 
@Rocio_La_Negra
 and 
@AM_1080",,1
¿Por qué es tendencia?,@tendenciaporque,2022-03-18T15:01:34.000Z,"""Sergio Godoy"":

Porque el senador Sergio Godoy (ANR) plantea eliminar el rango de ministerio de Niñez y Adolescencia, Desarrollo Social y agrega MITIC nos acaba de avisar. Plantea que todas vuelvan a ser secretarias porque “generan un excesivo gasto en salarios de altos mandos”.",12,71
Norman Rey Egusquiza,@normanrey9,2022-03-13T03:53:06.000Z,"Replying to 
@christianchena
 @Hugobie
 and 2 others",,2
