username,handle,postDate,responding,retweets,likes
Arnaldo De la cueva,@ArnaldoDelacuev,2022-12-29T15:30:13.000Z,"Replying to 
@Miguel_CardonaH",,
Universidad Nacional de Asunción,@una_py,2022-12-29T11:03:22.000Z,"#Invitación 
La DGEU-UNA invita al lanzamiento virtual del volumen I de la 𝗥𝗲𝘃𝗶𝘀𝘁𝗮 𝗖𝗶𝗲𝗻𝘁𝗶́𝗳𝗶𝗰𝗮 𝗜𝗻𝘁𝗲𝗿𝗳𝗮𝘇

 29 de diciembre de 2022
 10:00
 Transmisión vía Facebook Live - Universidad Nacional de Asunción

#SomosDeLaUNA",3,6
Juan Grassi,@JuanGrassiPy,2022-12-27T16:44:33.000Z,"Replying to 
@sebaalvareza
 and 
@PalavecinoON",,1
Emanuel Benitez,@Ema29032002,2022-12-26T12:13:40.000Z,"a todxs los que quieran la rifa me pueden  escribir al privado desde ya les agradezco a  por la ayuda y apoyo de siempre , la rifa se sorteará de manera virtual 
PD: Ayúdenme a compartir .",1,
Diego Irala,@dieirala,2022-12-25T01:06:53.000Z,"#Charla_virtual sobre ""Nociones generales de la Norma de Requisitos Mínimos (NRM) para el Control Interno en Instituciones Públicas"". Realizada el lunes 12 de diciembre de 2022, de 13:30 a 15:30 horas. Organizada por el #ITSL_HCD y la #FIA_UNVES. Instructor: #Juan_Carlos_Rojas.",1,1
Diego Irala,@dieirala,2022-12-24T23:42:37.000Z,"Apertura de la #Charla_virtual sobre ""Nociones generales de la Norma de Requisitos Mínimos (NRM) para el Control Interno en Instituciones Públicas"". Realizada el lunes 12 de diciembre de 2022, de 13:30 a 15:30 horas. Organizada por el 
@itslhcdparaguay
 y la #FIA_UNVES.",1,1
𝐉𝐮𝐚𝐧 𝐒𝐞𝐛𝐚𝐬𝐭𝐢𝐚́𝐧,@JuanSebasCabral,2022-12-20T16:50:49.000Z,"Marido me regalo para mi asistente virtual y hasta a ella le pido por favor, que buena persona que ya soy ",,4
Sala de Sesiones del Congreso Nacional,@SalaSesiones_CN,2022-12-20T13:39:57.000Z,"Inicia en la Sala de Sesiones de 
@SenadoresPy
 la Sesión Extraordinaria de la fecha presidida por el Señor Senador 
@cachitosalomon
 con la asistencia presencial/virtual de 38 Senadores y con 3 puntos en el orden del día  http://odd.senado.gov.py/indice/orden-del-d-a-martes-20-de-diciembre-de-2022-extraordinaria-virtual-i827…",,2
Feeipy,@feeipy,2022-12-13T21:48:16.000Z,"En sesión virtual liderada por el presidente del consejo de administración del FEEI (CAFFEI), Ministro de 
@Haciendapy
, 
@OscarLlamosas
, le acompaña nuestra directora ejecutiva, Carmen Romero, junto con los miembros del consejo e invitados para tratar diversos temas.

 MH",1,
Fáti Galeano,@fati_galeano,2022-12-13T17:46:47.000Z,Y que tal esta cachetada virtual para darte cuenta? De nada ,,
