username,handle,postDate,responding,retweets,likes
Veri,@Verilez,2022-12-29T21:42:57.000Z,Baasssstaaaa ya de panettone!  Algoritmo de Instagram deja de acosarmeeee  y ahora Tía Laura 2x1??!! Enserio????,,3
Ratun Montón usease The Punisher,@blogdepunisher,2022-12-10T14:33:18.000Z,"Replying to 
@Franysonic",,
Eliana Ayala Musa,@Elitamusa,2022-12-05T23:49:11.000Z,"Por culpa del algoritmo de tiktok ahora me gusta MORAT  

No puedo dejar de escuchar ",,
Normi,@NegraNor,2022-12-01T11:18:25.000Z,"Quite mi Spoty del negocio porque me alteraban mi algoritmo.
Las playlist son sagradas, pueden afectar el orden del universo.",,
Santiago Ferreira,@shinken_otacon,2022-12-01T11:06:00.000Z,"Viene el aguinaldo y aparecen estos tweets. 
Lo que es el Algoritmo",,1
mauri rivas,@mauri_rivas,2022-11-30T18:51:10.000Z,"Conecte mi Spotify a Alexa en casa. Se fundió el algoritmo, hasta Cristhian Castro en mi wrapped ",,1
Domingo Duarte,@DomingoDuarte10,2022-11-17T22:36:25.000Z,"Replying to 
@rosevoladora
 and 
@Mariomirca83",,
Rose,@rosevoladora,2022-11-17T21:57:17.000Z,"Replying to 
@DomingoDuarte10
 and 
@Mariomirca83",,
Sr.Nutriales,@ottercito,2022-11-17T14:07:41.000Z,"Pfffff pero que pelotudez, no es fragilidad, es un problema de manía y ya... a mi me gusta Bronco pero no lo pongás desde mi playlist porque me cagas el algoritmo. Dejen de etiquetar situaciones al pedo...",,
Raúl Vega,@nosoyneo,2022-11-15T15:33:14.000Z,Algún algoritmo me escuchó decir pistacho #martes,,2
Campanita,@Pidulito,2022-11-11T02:09:19.000Z,"Dios mio, el twitter no tiene mada de filtro y te salta cada cosa!! Ni lógica tiene su algoritmo.. El porno te salta sin qué ni para qué. ",,
Fercho FaRcry,@ferchofaria1,2022-11-07T20:00:38.000Z,El algoritmo de tu ano lo que te farreamos llorón!,1,14
Cubishero Skywalker,@martincubilla,2022-11-05T15:12:18.000Z,"El algoritmo de Deezer, Jesús,una canción que no escuchas habitualmente y terminas escuchando toda la discografia de Damas Gratis. https://twitter.com/gabsentista/status/1588377840340193281…",,1
