username,handle,postDate,responding,retweets,likes
PDP Progresista,@pdpprogresista,2022-12-01T20:35:22.000Z,"#SesionOrdinaria Sen 
@desimasi2
 1/3 “Por la cual el Senado expresa su reconocimiento y agradecimiento al Senado de  en la persona del sr. Roberto Bustos, Prosecret. Gral y Tesorero x su valioso aporte p/la automatización del Proceso Legislativo Pyo.”  http://silpy.congreso.gov.py",,
GEN Paraguay,@GENParaguay,2022-11-23T16:05:15.000Z,"La automatización de las operaciones es un cambio inevitable para las empresas.
Cómo gestionar estos procesos de transformación de manera ética, poniendo a personas y equipos en el centro.

  HOY 23 nov 14.30 a 15.30 

 Zoom

 http://bit.ly/3GiCxWs 
#GEW2022 #GEWPY2022",1,2
Daniel Rios,@daniel_riosf,2022-10-17T11:02:29.000Z,"Continúa abierta la pre-inscripción a la Maestría en Ingeniería Eléctrica de la 
@fpuna
 con dos variantes: Planificación de Sistemas Eléctricos y Automatización y Control. Para iniciar durante 2022, el registro va hasta fines de este octubre: https://forms.gle/RWSLUsySQTNKsPmXA…",3,1
M,@chelo_villalba,2022-05-29T02:54:50.000Z,La automatización y educación técnica ayudan a producir más trabajando menos.,,5
Carlos Alberto Valdez,@3CAV,2022-05-01T16:08:17.000Z,"¿Cómo te imaginas que sería el 1 de mayo, día del trabajo, en un futuro no lejano cuando la automatización del trabajo desplazó a la fuerza humana?",,1
Carlos Alberto Valdez,@3CAV,2021-11-14T13:39:57.000Z,"«Es peor sentirse inútil que estar explotado. En el siglo XX, un obrero podía ir a la huelga. Ahora, con la automatización, los obreros son prescindibles. Ir a la huelga, ¿para qué? Si nadie te necesita...». 
@harari_yuval
. 
https://elcorreo.com/xlsemanal/personajes/yuval-noah-harari-tecnologia-riesgos-sapiens-pilares-civilizacion.html?ref=https%3A%2F%2Flm.facebook.com%2F…",,
Stella Azuaga,@stella_azuaga,2021-08-20T17:09:45.000Z,"*Recepcion Digital - Fisica - Carga en el Gestor
*Remision y distribucion en forma digital de expedientes, al interior del MOPC.

 #LogrosenMEU 

* Actualizacion del SGD
*Automatizacion de numeracion MEU
*IMPLEMENTACION DEL MEU DIGITAL.",,1
SNPP - Paraguay,@SNPP_Paraguay,2020-11-19T14:04:39.000Z," #Convocatoria: CPI 2021
Accediendo al link te podes PRE-INSCRIBIR al Cursillo Probatorio de Ingreso de las carreras del Técnico Superior de Tic, Diseño de Moda; Mecatrónica en Automatización y Control y Mecatrónica en Robótica Industrial 

 http://forms.gle/JcA9ZCrW7mZg9X…",3,10
enrique gamarra,@enrigama,2020-10-31T22:33:01.000Z,"Automatización Industrial
Y
PLC

Semanita intensa en examenes ",,
Liz Grütter,@lizgrutter,2020-09-22T00:53:42.000Z,"¡Taller gratuito en alianza con BIMS! Implementá herramientas que te permitan gestionar de manera más óptima tus negocios, con procesos de automatización e inteligencia. 
 Martes 22 de Septiembre a las 17:00
 Sin costo.
 Inscribite en http://bit.ly/ASEPY-BIMS
@SomosASEPY",9,16
HerreriaRD,@herreriard1,2020-08-05T15:56:48.000Z,"Servicio de Herrería.
Creación y automatización de portones para su hogar y negocio con los diseños que prefieran.
Mantenimientos de todo tipo de elementos metálicos.
Presupuestos sin compromiso.
#portones #hogar #negocio #herrero",,
HerreriaRD,@herreriard1,2020-07-28T18:32:13.000Z,"Automatización de todo tipo de portones.
Servicio de Herrería.
Mantenimientos de todo tipo de elementos metálicos.
Presupuestos sin compromiso.
#portonautomatico #hogar #negocio #herrero",,
Aníbal Coronel,@ANIBALCORO,2020-03-13T15:09:57.000Z,"Habilitan en Ypacaraí el Instituto Técnico Superior Departamental Municipal, para la carrera de montaje y mantenimiento de instalaciones de automatización industrial, duración 2 años. Inscripciones en la Casa de la Cultura, del 16 al 21 de marzo.
 0513-4320106 y 0513- 432 267",1,2
CONCOPAR,@PYCONCOPAR,2019-11-25T22:20:44.000Z,"Blas Cristaldo, candidato a la presidencia del INCOOP por CONCOPAR/ FECOPROD, puntualiza los ejes de su plan de trabajo, basados 100% en la profesionalización del sector: ""La digitalización y automatización de procesos facilitará el seguimiento de las gestiones"" #Debate",1,7
Silvio Aguilar,@silvioaguilarv,2019-08-21T23:39:30.000Z,"Replying to 
@arturocaballer
 and 
@naokisosa",,
Conacyt Paraguay,@conacytparaguay,2019-07-30T14:26:24.000Z,"Difusión de resultados del proyecto: ""Automatización del Análisis multilocus de secuencias repetitivas en tándem de número variable (MLVA) para tipificación de Staphylococcus aureus de aislados nosocomiales de población pediátrica."" 
Disertante: Fátima Rodríguez, MSc.",,4
"Ministerio de Trabajo, Empleo y Seguridad Social",@MTESS_PY,2019-07-27T14:06:17.000Z," Con el propósito de ""Trabajar por un Futuro más Prometedor"" estuvimos, junto con la 
@ilo
, en la @expomariano2019 con un stand dedicado al #FuturoDelTrabajo donde destacamos la aplicación de la robotización, automatización e informática a los empleos del futuro 
@OITconosur",13,17
SNPP - Paraguay,@SNPP_Paraguay,2019-07-24T00:20:48.000Z,"Los aprendices del Programa de Robótica, presentaron el proyecto de Automatización de procesos en la Agricultura, logrando el segundo lugar.",3,4
Ciro Iriarte,@ciroiriarte,2019-04-21T17:34:46.000Z,"Parece que no hay criterio. Siempre me intrigan otras verticales en las que no trabajo.  Retail parece tierra de nadie, no hay estándar?, no hay automatización?, no hay monitoreo?",,
Milciades Balbuena,@Mil90,2019-01-17T22:55:50.000Z,"Hay veces que una llamada funciona mejor que innovaciones como Whatsapp, Google Calendar y la automatización que se democratizaron después.",,
Lic.,@jowiiis,2018-12-21T02:38:14.000Z,"Es geeeniaaal! La capacidad de automatización es para valorarlo!!! Y les cuento hay veces que hago algo parecido, pasa todooo https://twitter.com/PaisajesGeo/status/1075803358315900928…",,1
Carlos Alberto Valdez,@3CAV,2018-11-15T18:36:51.000Z,"En una sociedad sin dinero en efectivo, sería mucho más difícil evadir impuestos, recibir sobornos o hacer negocios ilícitos"".
@oppenheimera
, ¡Sálvese quien pueda! El futuro del trabajo en la era de la automatización, página 141.",,
XPAC SAS,@XPACSAS,2018-11-02T15:32:05.000Z,"Modernización de sistemas de control y protecciones de las líneas Villa Aurelia-Tres Bocas y Villa Aurelia-Barrio Parque. 
Nivel de tensión 66KV
eXpertos en Protección Automatización… https://instagram.com/p/Bprt6QPHxf3/?utm_source=ig_twitter_share&igshid=13wj9a192fsdz…",,
emBlue Latam,@emBlueLatam,2018-06-13T18:10:16.000Z,"@danitosoldan
, CEO emBlue, exponiendo durante el 
@eCommerceDay
 Asunción sobre Automatización y Omnicanalidad!",,1
Danilo Rodríguez,@DaniloRodrguez5,2018-05-04T10:25:30.000Z,¿Quién está listo para la era de la automatización? Un informe revela los 25 países mejor preparados https://observatorio.itesm.mx/edu-news/top-25-paises-mejor-preparados-para-la-era-automatizacion-ia#.Wuw1FMjlOoQ.twitter…,,
angatupyrytau,@angatupyrytau,2018-04-17T19:01:10.000Z,"Replying to 
@danicricco
 and 
@pereyra",1,1
