username,handle,postDate,responding,retweets,likes
Arielinux,@Arielinux,2022-08-23T19:29:57.000Z,"@TigoParaguay
 que problema tienen, en todos los canales sale esa codificacion... y en todos los decos",,
Radio Cámara Py,@Radiocamarapy,2022-05-09T15:09:44.000Z,"En estos momentos se desarrolla la reunión ordinaria de la Comisión de LEGISLACIÓN y CODIFICACIÓN que preside el Dip. 
@JorgeAvalosDip
. Los legisladores analizan el proyecto de ley Del Servicio Diplomático, Consular, Administrativo y Técnico del 
@mreparaguay",2,2
Radio Cámara Py,@Radiocamarapy,2022-04-25T12:29:43.000Z,"Feliz lunes para todos! Compartimos con ustedes la agenda de las Comisiones Asesoras de  
@DiputadosPy
 Hoy se reúnen: Presupuesto, Legislación y Codificación y Defensa de los Derechos de las Personas con Discapacidad. 
@tadeorojasm
 @JorgeAvalosDip
 @HugoRamirezANR",,1
Gvstaf,@Gvstaff,2022-03-23T16:27:48.000Z,"Replying to 
@camilaservin07
 @Juanctpy
 and 
@jualtorres",,1
Gvstaf,@Gvstaff,2022-03-22T23:52:15.000Z,"Replying to 
@celsoromeropy
 and 
@dar_duarte",,3
Radio Cámara Py,@Radiocamarapy,2022-03-14T09:56:17.000Z,"AGENDA LEGISLATIVA

Hoy Lunes, 14 de Marzo, a partir de las 10:30 se reunirá la Comisión de LEGISLACIÓN Y CODIFICACIÓN cuyo presidente es el  Diputado 
@JorgeAvalosDip
 Tema: Proyecto de Ley ""De provisión gratuita de elementos para la gestión menstrual"".",1,1
OAC_Senado,@oac_senado,2021-09-01T13:15:11.000Z,"COMISIÓN DE LEGISLACIÓN, CODIFICACIÓN, JUSTICIA Y TRABAJO.

Orden del dia",,
OAC_Senado,@oac_senado,2021-07-07T12:41:24.000Z,"Comisión de #Legislación, Codificación, Justicia y Trabajo

A las 17:00 hs se reúne hoy para analizar estos temas.

En el primer punto se reúne en forma conjunta con la Comisión de Industria.",,
OAC_Senado,@oac_senado,2021-07-06T12:22:00.000Z,"Comisión de #Legislación, Codificación, Justicia y Trabajo.

A las 08:45 hs llevará a cabo su reunión extraordinaria para analizar estos temas.",,
OAC_Senado,@oac_senado,2021-06-23T14:44:03.000Z,"La Comisión de #Legislación, Codificación, Justicia y Trabajo de 
@SenadoresPy
 se reúne hoy 17:00 hs.

Aquí el orden del día...
@sergiogodoyc
 @FSilvaFacetti
 @anchoramirez
 @javierolcelli
 @pattyvegasosa",,2
OAC_Senado,@oac_senado,2021-06-09T14:10:10.000Z,"La Comisión de #Legislación, Codificación, Justicia y Trabajo de 
@SenadoresPy
 se reúne hoy 17:00 hs.

Aquí el orden del día...
@sergiogodoyc
 @FSilvaFacetti
 @anchoramirez
 @javierolcelli
 @pattyvegasosa",3,
OAC_Senado,@oac_senado,2021-05-26T12:57:30.000Z,"La Comisión de #Legislación, Codificación, Justicia y Trabajo de 
@SenadoresPy
 se reúne hoy 17:00 hs.

Aquí el orden del día...
@sergiogodoyc
 @FSilvaFacetti
 @anchoramirez
 @javierolcelli
 @pattyvegasosa",,1
