username,handle,postDate,responding,retweets,likes
Stan Canova,@STANCDV,2022-12-30T15:07:23.000Z,"11 Egresados en cargos de liderazgo
12 Gob Corp
13 Centros tecnologicos
14 Infraestructura digital p/ Alumnos 
15 Idiomas en malla
16 Pasantías locales 
17 Pasantías internac
18 Doble titulación Grado 
19 Doble titulación Post Grado Maestría/Doctorados 
20 Proyectos científicos",,4
Nadia Cano,@NadCano,2022-12-30T14:07:14.000Z,Acaba de publicar una foto en ABC Digital,,
Jorge Daniel,@jorgedges,2022-12-30T12:10:53.000Z,"Replying to 
@EnlaTeclaPY
 @SantiPenap
 and 2 others",1,8
Miguel Ángel Gaspar,@MigueGaspar,2022-12-29T17:07:04.000Z,"Replying to 
@lecowista28
 @LilileGonzalez
 and 
@oscar_marandu",,4
Emito Mormish,@emosanabria,2022-12-28T09:08:40.000Z,"Replying to 
@FlorenciaT17",,1
Miguel Ángel Gaspar,@MigueGaspar,2022-12-27T21:04:22.000Z,"Replying to 
@TatiDiputado
 @edu_nakayama
 and 
@TSJE_Py",1,6
#Carreterasyalgomas Andrea Peris,@Perisandru,2022-12-27T07:45:33.000Z,"Los operadores de redes viales utilizan cada vez más la tecnología y desarrollan infraestructura digital para gestionar las redes viales.

Descubra cómo se pueden utilizar esos datos para optimizar las operaciones de la red vial en  #PIARC : http://t.ly/g6x9",,2
Aditardo Vázquez,@aditardo,2022-12-21T01:45:24.000Z,"Hemos diseñado una campaña Política Digital, buscando darles una OPCIÓN distinta a los compatriotas correligionarios, bajo 3 ejes bien definidos: INNOVACIÓN, TECNOLOGIA Y EMPRENDIMIENTOS que no fue simplemente un slogan,",1,2
Fabiola Espinola,@fespinola78,2022-12-20T13:59:12.000Z,"Seguimos con las “SUGERENCIAS PARA DÍAS DIFÍCILES”
Acordate que podes tomar las sesiones personales al  0982-275320 o comprar mi curso digital “DESDE EL DOLOR A LA FELICIDAD” en este link 
https://linktr.ee/fespinola78 
#FabiolaEspínola",,
Phatty Achu,@PhattyAchu,2022-12-19T11:36:11.000Z,"@personalpy
 me llegó mi factura ""más digital que nunca"" y NO veo el descuento que me hacen por una semana que pasé SIN SERVICIO. 
@PersonalFlow_At
 
Juro que si no me aplican lo que corresponde me desligo de ustedes! El colmo ya son, les chupa sus clientes!!!",,
Olga Torres,@olgatorres540,2022-12-18T01:23:32.000Z,"Replying to 
@LISTA1_CUR",,
Fútbol Ovetense,@futbolovetense,2022-12-18T01:04:17.000Z,"Campeonato Nacional Interligas Mayores 

 La Naranja Mecánica consiguió un resultado importante de visitante

Choré y Sanjosiana igualaron 0-0 en el Estadio Atanasio Villagra, por la ida de los cuartos de final.

TV Digital San José",,1
victor yegros,@victoryegros7,2022-12-16T23:33:15.000Z,"Replying to 
@py_elige
 @HonorColoradook
 and 10 others",,
victor yegros,@victoryegros7,2022-12-16T23:32:37.000Z,"Replying to 
@py_elige
 @HonorColoradook
 and 10 others",,
Ara,@aramirezjv,2022-12-16T15:28:10.000Z,"Replying to 
@ossanchezo
 @Mil90
 and 
@creala_",1,5
Hugo E. Cabral.,@Hugodryas,2022-12-16T14:13:41.000Z,Que lindo sería poder firmar contratos con firma digital en nuestro querido y burocrático Paraguay,,7
Daniel Camperchioli,@dcamperchioli,2022-12-15T09:29:34.000Z,"Replying to 
@LISTA1_CUR",1,2
Marithe,@marithe85,2022-12-15T04:34:08.000Z,"Replying to 
@Marze_Perez",,
Miriam Acosta F.,@MiriamAcostaF,2022-12-15T00:51:54.000Z,"Replying to 
@LISTA1_CUR",,2
Miguel Ángel Gaspar,@MigueGaspar,2022-12-12T22:11:29.000Z,"Replying to 
@MandrilesTown
 @weareDMNTRs
 and 5 others",,6
Alethia Duisberg,@alethiaduisberg,2022-12-12T13:54:12.000Z,"Replying to 
@EssapSA",1,
Miriam Draghichevich,@piaseca,2022-12-12T11:22:39.000Z,"Cápsula da missão Artemis 1 faz reentrada com sucesso na Terra; assista - Olhar Digital https://olhardigital.com.br/2022/12/11/ciencia-e-espaco/capsula-da-missao-artemis-1-faz-reentrada-com-sucesso-assista/… #Artemis #Orion vía 
@OlharDigital",,1
Miguel Ángel Gaspar,@MigueGaspar,2022-12-11T23:15:33.000Z,"Replying to 
@rleon_mx",2,18
Fútbol Ovetense,@futbolovetense,2022-12-11T23:07:31.000Z,"Campeonato Nacional Interligas Mayores 

 Sanjosiana entre las 8 mejores

La Naranja Mecánica clasificada a cuartos

Aquinense y Sanjosiana igualaron 0-0 en el Estadio del Club 24 de Mayo de General Aquino, por la vuelta de los octavos de final.

TV Digital San José",,5
Miguel Ángel Gaspar,@MigueGaspar,2022-12-09T13:47:30.000Z,"terminan autoexpuestos en manos de sus pares, muchas veces compañeros de escuela o colegio, que normalizaron estas actitudes aprendidas de su entorno físico o digital. Con niños que practican sexting a los 11 años o que tienen acceso a violencia digital y pornografía a los 9 años",1,8
Rodrigo Peralta,@RodriiiPeralta,2022-12-07T23:11:23.000Z,"Quiero presumir de algo al menos.
(creador digital ñandeko. AMoko)",,4
Doña,@asuma1992,2022-12-07T19:07:22.000Z,"La violencia simbólica, mediatica y digital suelen pasar desapercibidas porque nos cuesta reconocer que hay violencia más alla de lo físico. Los discursos de odio, el hostigamiento y los acosos tienen consecuencias negativas en la vida de las mujeres.¡Basta de #ViolenciaMachista",,1
Gustavo Medina ,@gmedinapy,2022-12-06T08:32:59.000Z,"Oficialmente soy Consultor en MKT Digital
Ahora mismo te hago estrategias de mkt hasta para vender hielo en el polo norte",,2
Andrea Velazquez,@andrea_vvm,2022-12-05T14:41:00.000Z,"Amo de amar las libretas de calificación de los niños, DIGITAL se envía por correo a los padres! MUERO  en mi época, reunion de padres, todos afuera esperando..  MIEDASO!!  Por la cara de tu mamá o papá ya sabías si ligabas o no al llegar a casa ",1,7
Santiago Santander,@57Santander,2022-12-05T12:36:07.000Z,"Replying to 
@aliciapuchetapy
 @SantiPenap
 and 3 others",,
Santiago Santander,@57Santander,2022-12-05T12:35:38.000Z,"Replying to 
@aliciapuchetapy
 @SantiPenap
 and 3 others",,
_Peppero_,@Migue_Aquino,2022-12-04T17:02:15.000Z,"Replying to 
@antonbaron
 and 
@florencePpy",,1
jaime,@trashumante87,2022-12-04T13:26:55.000Z,Spain plans to launch Digital Nomad Visa in January 2023.,,
Oscar A. Galeano Quevedo ★,@ogaleanoquevedo,2022-12-03T19:09:14.000Z,"Replying to 
@aliciapuchetapy
 @SantiPenap
 and 3 others",1,2
Alicia Pucheta,@aliciapuchetapy,2022-12-03T14:46:59.000Z,"Los paraguayos y paraguayas saben que vamos a estar mejor y las estadísticas asi lo demuestran.
¡Avanzando! 
¡A 15 días de la Gran Victoria  
El 18/12 votá  Lista 2  Opción  15 
 
@SantiPenap
 @Horacio_Cartes
 @PrensaHonor
 @Honor_Digital 
@Multitarget1",26,113
Veronica Franco,@veritodfranco,2022-12-02T19:54:48.000Z,"Legalmente me parece mal la manera en que la Sra. le respondía a la clienta. Deberían haber tenido contrato de por medio. Pero la chica no entiende que el trabajo del fotógrafo es digital y que si le manda todo sin que haya pagado probablemente ya no cobre 
@ZethRivarola
 https://twitter.com/Johanna10722045/status/1598511357187346433…",,
Gordi por accidente,@gordiporerror,2022-12-02T16:44:08.000Z,"Mmmmm pero claro que está mal intimidar o aplicar violencia digital cuando es a un periodista.. 
Issh.. solo los periodistas pueden hacer eso, con el resto de los mortales y está todo bien, porque ellos están ""informando"" la fuente puede ser de sopa, pero ""informando"" al fin.",11,20
