username,handle,postDate,responding,retweets,likes
Preciosa Cristaldo,@CristaldoMiryan,2022-12-17T10:24:03.000Z,"Replying to 
@BNF_Py
 and 
@NarvajaTeresa",,3
Cheng Kuo,@ChengKuo,2022-12-16T12:35:32.000Z,"Hay otros captchas mucho más divertidos que en nuestro caso, podría ser una pregunta jurídica con selección múltiple, así demostramos que no somos robots y de paso, aprender y repasar nuestro conocimiento.
Además, el que no puede abrir, no merece entrar luego.",3,28
Emito Mormish,@emosanabria,2022-12-15T18:23:59.000Z,"Es horrible... basta con poner el de ""no soy un robot"" y tildar y listo",,1
Dianita RuizDiaz,@Dianita_rd,2022-12-15T13:41:48.000Z,"Como cuesta hacer las cosas cuando uno está triste !! 

Ando tan modo robot por que si hablo mucho.. lloro.. ",,
Walter.,@Tate21__,2022-12-09T17:38:03.000Z,"Son robots los Croatas boludo, no puede ser que no se cansen y estén corriendo con el mismo ritmo por 2 horas.",,
Nico,@nicoale771,2022-12-09T01:02:27.000Z,"Tengo un robot, yo lo hago fun cio nar",,2
GUSARAM,@gustavoarambulo,2022-11-29T14:26:03.000Z,"Y pensar que solo unos años atrás su vida eran fotos de fans, admiración, cámaras, bailarinas, D&J hasta el pasito del robot..... todo eso años de trabajo honesto tiro a la basura, gran visionario el 
@pionerodj
 de lo que zafó ",,
Nati T.,@Nati_Tpy,2022-11-24T20:49:29.000Z,"Replying to 
@TigoParaguay",,
Carlos1990,@Rivarola1990,2022-11-22T10:31:00.000Z,Ese robot está emputeciendo el fulvo,,
a tope,@alesosavillar,2022-11-13T17:43:30.000Z,Frito el robot https://twitter.com/AlertaNews24/status/1591843190013054977…,,
Carlitosbenitez,@Calibenitez5,2022-10-08T23:05:13.000Z,"No hay otro como el, el es un robot? Se viene un 2023 con muchos goles a los equipos de barrio!y avenida  
@diegofer_02
  felicidades apa! Feliz año gracias por todo ",4,51
Ludicos Ecologicos Paraguay,@ludicos_py,2022-10-01T18:16:14.000Z,"Hoy es un buen día para sorprender a los chicos con autitos o robot de madera !!!
Aprovecha este lindo #sabado y pasá por la Feria de la Asacivapa en Plaza Oleary en el centro de #Asuncion ",,1
Martín,@MartinMaldo_96,2022-10-01T16:51:55.000Z,Pero cuál es el robot?,,
Gregor Colmán,@Gcolman92,2022-09-30T00:08:40.000Z,"Boludo es un Robot con Fallas, no hay otra explicación ",,
Olga Torres,@olgatorres540,2022-09-20T12:54:23.000Z,"Replying to 
@celsonunez",,2
Ciencia y Tecnología HCD,@CyT_Diputados,2022-09-18T18:37:41.000Z,"Un robot buceador humanoide explora naufragios en el fondo del océano https://cnnespanol.cnn.com/2022/07/30/un-robot-buceador-humanoide-explora-naufragios-en-el-fondo-del-oceano/… 
#RobotHumanoide #BuceadorHumanoide",,
Dr Arq Diego Sotomayor,@ArqSotomayor,2022-09-05T17:47:29.000Z,"Robots constructores.
El futuro es mejor o peor?
A mi todavía me gusta el trabajo artesanal de un buen albañil.
Pero el avance tecnológico es imparable.",2,4
